"","tdna001","tdna002","tdna003","tdna004","tdna005","tdna006","tdna007","tdna008","tdna009","tdna010","tdna011","tdna012","tdna013","tdna014","tdna015","tdna016","tdna017","tdna018","tdna019","tdna020","tdna021","tdna022","tdna023","tdna024","tdna025","tdna026","tdna027","tdna028","tdna029","tdna030","tdna031","tdna032","tdna033","tdna034","tdna035","tdna036","tdna037","tdna038","tdna039","tdna040","tdna041","tdna042","tdna044","tdna045","tdna046","tdna047","tdna048","tdna049","tdna050","tdna051","tdna052","tdna053","tdna054","tdna055","tdna056","tdna057"
"ASV1",0.84494599660919,0.999964824659757,0.997465736353275,0.84494599660919,0.997465736353275,0.997465736353275,0.84494599660919,0.84494599660919,0.84494599660919,0.999964824659757,0.84494599660919,0.070154650924668,0.070154650924668,0.999964824659757,0.997465736353275,0.999964824659757,0.999964824659757,0.999964824659757,0.999964824659757,0.997465736353275,0.84494599660919,0.999964824659757,0.999964824659757,0.999964824659757,0.999964824659757,0.999964824659757,0.999964824659757,0.999964824659757,0.999964824659757,0.997465736353275,0.999964824659757,0.84494599660919,0.999964824659757,0.999964824659757,0.997465736353275,0.999964824659757,0.997465736353275,0.997465736353275,0.999964824659757,0.999964824659757,0.997465736353275,0.999964824659757,0.999964824659757,0.999964824659757,0.997465736353275,0.999964824659757,0.84494599660919,0.999964824659757,0.999964824659757,0.999964824659757,0.999964824659757,0.999964824659757,0.999964824659757,0.999964824659757,0.999964824659757,0.999964824659757
"ASV2",0.990408780416487,0.999714283650041,0.0825161164956808,0.752932529614914,0.752932529614914,0.752932529614914,0.0825161164956808,0.0825161164956808,0.0825161164956808,0.990408780416487,0.0825161164956808,0.0825161164956808,0.999714283650041,0.752932529614914,0.0825161164956808,0.999714283650041,0.0825161164956808,0.752932529614914,0.0825161164956808,0.990408780416487,0.990408780416487,0.0825161164956808,0.752932529614914,0.752932529614914,0.752932529614914,0.990408780416487,0.990408780416487,0.999714283650041,0.999714283650041,0.999714283650041,0.752932529614914,0.752932529614914,0.990408780416487,0.999714283650041,0.752932529614914,0.990408780416487,0.999714283650041,0.990408780416487,0.999714283650041,0.0825161164956808,0.999714283650041,0.999714283650041,0.0825161164956808,0.999714283650041,0.999714283650041,0.752932529614914,0.999714283650041,0.752932529614914,0.990408780416487,0.990408780416487,0.999714283650041,0.752932529614914,0.999714283650041,0.990408780416487,0.999714283650041,0.990408780416487
"ASV3",0.999980980968512,0.999980980968512,0.999980980968512,0.999980980968512,0.999980980968512,0.999980980968512,0.997851748347187,0.999980980968512,0.997851748347187,0.997851748347187,0.997851748347187,0.0349840752826499,0.804057474956039,0.999980980968512,0.997851748347187,0.999980980968512,0.999980980968512,0.999980980968512,0.999980980968512,0.997851748347187,0.999980980968512,0.999980980968512,0.999980980968512,0.0349840752826499,0.999980980968512,0.999980980968512,0.999980980968512,0.999980980968512,0.999980980968512,0.999980980968512,0.997851748347187,0.997851748347187,0.999980980968512,0.999980980968512,0.997851748347187,0.804057474956039,0.997851748347187,0.997851748347187,0.999980980968512,0.804057474956039,0.999980980968512,0.999980980968512,0.804057474956039,0.999980980968512,0.999980980968512,0.999980980968512,0.997851748347187,0.999980980968512,0.999980980968512,0.999980980968512,0.999980980968512,0.997851748347187,0.999980980968512,0.999980980968512,0.999980980968512,0.999980980968512
"ASV4",0.0268999542319859,0.0268999542319859,0.0268999542319859,0.0268999542319859,0.0268999542319859,0.0268999542319859,0.0268999542319859,0.568224304954696,0.0268999542319859,0.999664835764958,0.999664835764958,0.0268999542319859,0.0268999542319859,0.568224304954696,0.0268999542319859,0.999664835764958,0.984289369500989,0.984289369500989,0.999664835764958,0.999664835764958,0.999664835764958,0.984289369500989,0.984289369500989,0.568224304954696,0.0268999542319859,0.568224304954696,0.984289369500989,0.984289369500989,0.984289369500989,0.999664835764958,0.0268999542319859,0.568224304954696,0.568224304954696,0.568224304954696,0.568224304954696,0.0268999542319859,0.984289369500989,0.999664835764958,0.0268999542319859,0.568224304954696,0.999664835764958,0.984289369500989,0.0268999542319859,0.999664835764958,0.0268999542319859,0.0268999542319859,0.999664835764958,0.0268999542319859,0.999664835764958,0.984289369500989,0.999664835764958,0.984289369500989,0.999664835764958,0.984289369500989,0.999664835764958,0.984289369500989
"ASV5",0.99000284327396,0.738150698170029,0.0742855480482247,0.0742855480482247,0.0742855480482247,0.738150698170029,0.0742855480482247,0.0742855480482247,0.0742855480482247,0.99000284327396,0.738150698170029,0.0742855480482247,0.0742855480482247,0.99000284327396,0.0742855480482247,0.999712625049967,0.99000284327396,0.99000284327396,0.99000284327396,0.738150698170029,0.0742855480482247,0.738150698170029,0.99000284327396,0.738150698170029,0.999712625049967,0.99000284327396,0.999712625049967,0.999712625049967,0.999712625049967,0.0742855480482247,0.99000284327396,0.99000284327396,0.738150698170029,0.738150698170029,0.0742855480482247,0.0742855480482247,0.99000284327396,0.99000284327396,0.99000284327396,0.738150698170029,0.738150698170029,0.999712625049967,0.738150698170029,0.0742855480482247,0.99000284327396,0.999712625049967,0.738150698170029,0.999712625049967,0.999712625049967,0.999712625049967,0.999712625049967,0.99000284327396,0.999712625049967,0.0742855480482247,0.999712625049967,0.999712625049967
"ASV6",0.00627464678059155,0.00627464678059155,0.00627464678059155,0.00627464678059155,0.00627464678059155,0.999079180402403,0.00627464678059155,0.00627464678059155,0.00627464678059155,0.00627464678059155,0.259829665916091,0.00627464678059155,0.00627464678059155,0.00627464678059155,0.00627464678059155,0.00627464678059155,0.00627464678059155,0.00627464678059155,0.259829665916091,0.00627464678059155,0.00627464678059155,0.00627464678059155,0.00627464678059155,0.00627464678059155,0.00627464678059155,0.00627464678059155,0.00627464678059155,0.00627464678059155,0.00627464678059155,0.259829665916091,0.00627464678059155,0.00627464678059155,0.00627464678059155,0.00627464678059155,0.00627464678059155,0.00627464678059155,0.00627464678059155,0.00627464678059155,0.00627464678059155,0.259829665916091,0.00627464678059155,0.951257597600862,0.00627464678059155,0.00627464678059155,0.00627464678059155,0.999079180402403,0.00627464678059155,0.999079180402403,0.00627464678059155,0.259829665916091,0.951257597600862,0.00627464678059155,0.951257597600862,0.259829665916091,0.00627464678059155,0.00627464678059155
"ASV7",0.00731037646676281,0.00731037646676281,0.00731037646676281,0.00731037646676281,0.00731037646676281,0.00731037646676281,0.00731037646676281,0.00731037646676281,0.00731037646676281,0.00731037646676281,0.00731037646676281,0.00731037646676281,0.00731037646676281,0.305459957837836,0.00731037646676281,0.00731037646676281,0.00731037646676281,0.00731037646676281,0.00731037646676281,0.305459957837836,0.00731037646676281,0.00731037646676281,0.00731037646676281,0.305459957837836,0.00731037646676281,0.00731037646676281,0.963323781987792,0.00731037646676281,0.00731037646676281,0.963323781987792,0.00731037646676281,0.00731037646676281,0.305459957837836,0.963323781987792,0.999362904188045,0.999362904188045,0.305459957837836,0.999362904188045,0.305459957837836,0.00731037646676281,0.963323781987792,0.999362904188045,0.999362904188045,0.305459957837836,0.305459957837836,0.999362904188045,0.963323781987792,0.963323781987792,0.999362904188045,0.999362904188045,0.999362904188045,0.963323781987792,0.999362904188045,0.963323781987792,0.999362904188045,0.999362904188045
"ASV8",0.0807267359901996,0.000804258933003525,0.000804258933003525,0.000804258933003525,0.000804258933003525,0.0807267359901996,0.000804258933003525,0.000804258933003525,0.000804258933003525,0.000804258933003525,0.000804258933003525,0.999044221934778,0.905488879385177,0.000804258933003525,0.000804258933003525,0.000804258933003525,0.0807267359901996,0.000804258933003525,0.000804258933003525,0.905488879385177,0.000804258933003525,0.000804258933003525,0.905488879385177,0.999044221934778,0.000804258933003525,0.000804258933003525,0.000804258933003525,0.000804258933003525,0.0807267359901996,0.000804258933003525,0.000804258933003525,0.000804258933003525,0.000804258933003525,0.000804258933003525,0.000804258933003525,0.000804258933003525,0.000804258933003525,0.999044221934778,0.000804258933003525,0.000804258933003525,0.000804258933003525,0.000804258933003525,0.000804258933003525,0.000804258933003525,0.000804258933003525,0.000804258933003525,0.000804258933003525,0.0807267359901996,0.999044221934778,0.999044221934778,0.999044221934778,0.0807267359901996,0.999044221934778,0.0807267359901996,0.999044221934778,0.999044221934778
"ASV9",0.281833246869516,0.281833246869516,0.76645857850402,0.281833246869516,0.281833246869516,0.281833246869516,0.281833246869516,0.281833246869516,0.281833246869516,0.281833246869516,0.281833246869516,0.281833246869516,0.281833246869516,0.281833246869516,0.281833246869516,0.99566217970344,0.76645857850402,0.76645857850402,0.76645857850402,0.76645857850402,0.76645857850402,0.76645857850402,0.281833246869516,0.281833246869516,0.281833246869516,0.281833246869516,0.964845950004081,0.76645857850402,0.281833246869516,0.281833246869516,0.281833246869516,0.76645857850402,0.281833246869516,0.964845950004081,0.76645857850402,0.76645857850402,0.76645857850402,0.964845950004081,0.281833246869516,0.76645857850402,0.281833246869516,0.76645857850402,0.99566217970344,0.76645857850402,0.281833246869516,0.281833246869516,0.281833246869516,0.76645857850402,0.76645857850402,0.281833246869516,0.281833246869516,0.76645857850402,0.964845950004081,0.281833246869516,0.964845950004081,0.76645857850402
"ASV10",0.00763502426733225,0.994043762259531,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.00763502426733225,0.999959318064388,0.00763502426733225,0.00763502426733225,0.994043762259531,0.999959318064388,0.531209044702281,0.994043762259531,0.00763502426733225,0.999959318064388,0.531209044702281,0.994043762259531,0.00763502426733225,0.994043762259531,0.00763502426733225,0.994043762259531
