"","tdna001","tdna002","tdna003","tdna004","tdna005","tdna006","tdna007","tdna008","tdna009","tdna010","tdna011","tdna012","tdna013","tdna014","tdna015","tdna016","tdna017","tdna018","tdna019","tdna020","tdna021","tdna022","tdna023","tdna024","tdna025","tdna026","tdna027","tdna028","tdna029","tdna030","tdna031","tdna032","tdna033","tdna034","tdna035","tdna036","tdna037","tdna038","tdna039","tdna040","tdna041","tdna042","tdna044","tdna045","tdna046","tdna047","tdna048","tdna049","tdna050","tdna051","tdna052","tdna053","tdna054","tdna055","tdna056","tdna057"
"ASV1",0.998385727775335,0.999981698361678,0.999981698361678,0.999981698361678,0.998385727775335,0.999981698361678,0.998385727775335,0.998385727775335,0.998385727775335,0.998385727775335,0.999981698361678,0.0734245654454609,0.875010843119161,0.998385727775335,0.998385727775335,0.875010843119161,0.999981698361678,0.999981698361678,0.999981698361678,0.999981698361678,0.999981698361678,0.999981698361678,0.999981698361678,0.998385727775335,0.999981698361678,0.999981698361678,0.999981698361678,0.999981698361678,0.999981698361678,0.999981698361678,0.999981698361678,0.998385727775335,0.999981698361678,0.999981698361678,0.998385727775335,0.875010843119161,0.998385727775335,0.999981698361678,0.998385727775335,0.0734245654454609,0.998385727775335,0.999981698361678,0.999981698361678,0.998385727775335,0.999981698361678,0.998385727775335,0.875010843119161,0.999981698361678,0.999981698361678,0.999981698361678,0.999981698361678,0.999981698361678,0.999981698361678,0.875010843119161,0.999981698361678,0.999981698361678
"ASV2",0.994919495011083,0.815193158304432,0.994919495011083,0.815193158304432,0.815193158304432,0.815193158304432,0.0903784036739317,0.0903784036739317,0.815193158304432,0.994919495011083,0.994919495011083,0.999884991374443,0.999884991374443,0.994919495011083,0.0903784036739317,0.999884991374443,0.994919495011083,0.994919495011083,0.994919495011083,0.999884991374443,0.999884991374443,0.994919495011083,0.0903784036739317,0.994919495011083,0.0903784036739317,0.815193158304432,0.994919495011083,0.994919495011083,0.0903784036739317,0.994919495011083,0.0903784036739317,0.0903784036739317,0.815193158304432,0.999884991374443,0.0903784036739317,0.994919495011083,0.999884991374443,0.994919495011083,0.815193158304432,0.0903784036739317,0.999884991374443,0.999884991374443,0.0903784036739317,0.994919495011083,0.994919495011083,0.994919495011083,0.994919495011083,0.815193158304432,0.999884991374443,0.999884991374443,0.999884991374443,0.0903784036739317,0.999884991374443,0.999884991374443,0.994919495011083,0.999884991374443
"ASV3",0.643230347237873,0.999694469924987,0.643230347237873,0.987147544819792,0.987147544819792,0.987147544819792,0.987147544819792,0.643230347237873,0.0406031347177698,0.0406031347177698,0.643230347237873,0.0406031347177698,0.0406031347177698,0.0406031347177698,0.0406031347177698,0.643230347237873,0.999694469924987,0.999694469924987,0.999694469924987,0.999694469924987,0.0406031347177698,0.999694469924987,0.999694469924987,0.987147544819792,0.999694469924987,0.987147544819792,0.987147544819792,0.999694469924987,0.999694469924987,0.999694469924987,0.0406031347177698,0.643230347237873,0.987147544819792,0.999694469924987,0.0406031347177698,0.0406031347177698,0.643230347237873,0.643230347237873,0.987147544819792,0.0406031347177698,0.987147544819792,0.987147544819792,0.643230347237873,0.643230347237873,0.643230347237873,0.987147544819792,0.643230347237873,0.999694469924987,0.999694469924987,0.999694469924987,0.999694469924987,0.999694469924987,0.999694469924987,0.0406031347177698,0.999694469924987,0.999694469924987
"ASV4",0.031748837868803,0.031748837868803,0.031748837868803,0.031748837868803,0.031748837868803,0.031748837868803,0.031748837868803,0.54395665182073,0.031748837868803,0.031748837868803,0.031748837868803,0.031748837868803,0.031748837868803,0.977471738285421,0.031748837868803,0.54395665182073,0.54395665182073,0.031748837868803,0.977471738285421,0.031748837868803,0.031748837868803,0.031748837868803,0.031748837868803,0.031748837868803,0.031748837868803,0.031748837868803,0.031748837868803,0.031748837868803,0.031748837868803,0.977471738285421,0.031748837868803,0.54395665182073,0.977471738285421,0.977471738285421,0.977471738285421,0.977471738285421,0.031748837868803,0.999366815846259,0.977471738285421,0.031748837868803,0.031748837868803,0.999366815846259,0.977471738285421,0.54395665182073,0.031748837868803,0.54395665182073,0.031748837868803,0.54395665182073,0.999366815846259,0.977471738285421,0.999366815846259,0.54395665182073,0.999366815846259,0.031748837868803,0.999366815846259,0.54395665182073
"ASV5",0.0267380713223351,0.44783775796444,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.44783775796444,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.44783775796444,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.959911169734802,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.0267380713223351,0.959911169734802,0.44783775796444,0.44783775796444,0.998587381941836,0.0267380713223351,0.44783775796444,0.0267380713223351,0.959911169734802,0.0267380713223351,0.0267380713223351
"ASV6",0.0536385884049708,0.999860783745412,0.952776716337335,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.0536385884049708,0.0536385884049708,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.000159197607334749,0.999860783745412,0.999860783745412,0.999860783745412,0.000159197607334749,0.999860783745412,0.000159197607334749,0.999860783745412,0.999860783745412
"ASV7",0.00313855926709451,0.196905772371044,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.950232967726693,0.196905772371044,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.196905772371044,0.00313855926709451,0.196905772371044,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.999327916455153,0.00313855926709451,0.999327916455153,0.00313855926709451,0.00313855926709451,0.950232967726693,0.00313855926709451,0.00313855926709451,0.00313855926709451,0.196905772371044,0.999327916455153
"ASV8",0.998462462204495,0.866305530160282,0.0607295423117527,0.0607295423117527,0.000644734562074045,0.0607295423117527,0.000644734562074045,0.000644734562074045,0.000644734562074045,0.000644734562074045,0.000644734562074045,0.000644734562074045,0.000644734562074045,0.000644734562074045,0.000644734562074045,0.998462462204495,0.000644734562074045,0.0607295423117527,0.000644734562074045,0.000644734562074045,0.000644734562074045,0.000644734562074045,0.0607295423117527,0.998462462204495,0.000644734562074045,0.000644734562074045,0.000644734562074045,0.000644734562074045,0.0607295423117527,0.0607295423117527,0.000644734562074045,0.000644734562074045,0.000644734562074045,0.0607295423117527,0.000644734562074045,0.000644734562074045,0.000644734562074045,0.000644734562074045,0.000644734562074045,0.000644734562074045,0.866305530160282,0.0607295423117527,0.000644734562074045,0.000644734562074045,0.000644734562074045,0.866305530160282,0.000644734562074045,0.998462462204495,0.998462462204495,0.998462462204495,0.998462462204495,0.000644734562074045,0.998462462204495,0.000644734562074045,0.998462462204495,0.998462462204495
"ASV9",0.00386207473702309,0.00386207473702309,0.00386207473702309,0.00386207473702309,0.00386207473702309,0.00386207473702309,0.00386207473702309,0.00386207473702309,0.00386207473702309,0.00386207473702309,0.00386207473702309,0.00386207473702309,0.00386207473702309,0.206045616195341,0.00386207473702309,0.00386207473702309,0.00386207473702309,0.00386207473702309,0.00386207473702309,0.00386207473702309,0.00386207473702309,0.00386207473702309,0.00386207473702309,0.00386207473702309,0.206045616195341,0.00386207473702309,0.00386207473702309,0.00386207473702309,0.00386207473702309,0.00386207473702309,0.00386207473702309,0.00386207473702309,0.206045616195341,0.00386207473702309,0.00386207473702309,0.00386207473702309,0.00386207473702309,0.00386207473702309,0.00386207473702309,0.00386207473702309,0.00386207473702309,0.00386207473702309,0.206045616195341,0.00386207473702309,0.00386207473702309,0.999140738050293,0.00386207473702309,0.206045616195341,0.945567523900087,0.00386207473702309,0.999140738050293,0.945567523900087,0.999140738050293,0.206045616195341,0.945567523900087,0.999140738050293
"ASV10",0.311626744971194,0.311626744971194,0.311626744971194,0.311626744971194,0.311626744971194,0.311626744971194,0.311626744971194,0.311626744971194,0.311626744971194,0.635939075767398,0.311626744971194,0.311626744971194,0.311626744971194,0.311626744971194,0.311626744971194,0.311626744971194,0.311626744971194,0.635939075767398,0.311626744971194,0.311626744971194,0.311626744971194,0.311626744971194,0.311626744971194,0.311626744971194,0.311626744971194,0.311626744971194,0.311626744971194,0.311626744971194,0.311626744971194,0.311626744971194,0.311626744971194,0.311626744971194,0.311626744971194,0.311626744971194,0.635939075767398,0.311626744971194,0.311626744971194,0.635939075767398,0.311626744971194,0.311626744971194,0.311626744971194,0.311626744971194,0.311626744971194,0.635939075767398,0.311626744971194,0.311626744971194,0.311626744971194,0.311626744971194,0.311626744971194,0.311626744971194,0.311626744971194,0.635939075767398,0.311626744971194,0.311626744971194,0.311626744971194,0.311626744971194
