LCT,mean_biomass,gamma_detection_method
Allosmerus elongatus,0.001151730641120195,only trawl
Alosa sapidissima,0.01865614902192353,both eDNA/trawl
Anoplopoma fimbria,0.11281531407885917,both eDNA/trawl
Clupea pallasii,0.2417466467482527,both eDNA/trawl
Corphaenidoes sp,3.0823856305699227e-4,only trawl
Diaphus theta,0.008753260868353789,only trawl
Engraulis mordax,0.0025803171479958685,only trawl
Entosphenus tridentatus,0.0033564855123736463,only trawl
Gadus/chalcogrammus,3.062772115393175,both eDNA/trawl
Merluccius productus,3.939599284674557,both eDNA/trawl
Oncorhynchus gorbuscha,0.06923829440073606,both eDNA/trawl
Oncorhynchus keta,0.055036271350672183,both eDNA/trawl
Oncorhynchus kisutch,0.04238607989998631,both eDNA/trawl
Oncorhynchus nerka,3.865681046140452,both eDNA/trawl
Oncorhynchus tshawytscha,0.8198301772876526,both eDNA/trawl
Parophrys vetulus,0.010603052761413915,only trawl
Reinhardtius hippoglossoides,0.1961564760861574,only trawl
Sebastes entomelas,0.05004510465893906,both eDNA/trawl
Sebastes flavidus,0.31552113303702956,only trawl
Spirinchus starksi,0.0023126031855975277,only trawl
Squalus suckleyi,1.454560954597998,both eDNA/trawl
Thaleichthys pacificus,0.05715843524485814,both eDNA/trawl
