LCT,sum_biomass,gamma_detection_method
Allosmerus elongatus,0.001151730641120195,only trawl
Alosa sapidissima,0.01865614902192353,both eDNA/trawl
Anoplopoma fimbria,0.11281531407885917,both eDNA/trawl
Clupea pallasii,2.6592131142307798,both eDNA/trawl
Corphaenidoes sp,3.0823856305699227e-4,only trawl
Diaphus theta,0.017506521736707577,only trawl
Engraulis mordax,0.005160634295991737,only trawl
Entosphenus tridentatus,0.0033564855123736463,only trawl
Gadus/chalcogrammus,27.564949038538572,both eDNA/trawl
Merluccius productus,19.697996423372786,both eDNA/trawl
Oncorhynchus gorbuscha,0.13847658880147212,both eDNA/trawl
Oncorhynchus keta,0.055036271350672183,both eDNA/trawl
Oncorhynchus kisutch,0.16954431959994523,both eDNA/trawl
Oncorhynchus nerka,7.731362092280904,both eDNA/trawl
Oncorhynchus tshawytscha,5.738811241013568,both eDNA/trawl
Parophrys vetulus,0.010603052761413915,only trawl
Reinhardtius hippoglossoides,0.1961564760861574,only trawl
Sebastes entomelas,0.05004510465893906,both eDNA/trawl
Sebastes flavidus,0.6310422660740591,only trawl
Spirinchus starksi,0.0023126031855975277,only trawl
Squalus suckleyi,13.091048591381982,both eDNA/trawl
Thaleichthys pacificus,0.5715843524485814,both eDNA/trawl
