LCT,set_number,gamma_detection_method,beta_detection_method,set_read_index,weight_total_kg,pabs_trawl,p_abs_eDNA
Allosmerus elongatus,12,only trawl,only trawl,0,0.028,1,0
Alosa sapidissima,12,both eDNA/trawl,only eDNA,0.046175426160519,0,0,1
Alosa sapidissima,13,both eDNA/trawl,only eDNA,0.180577846356035,0,0,1
Alosa sapidissima,14,both eDNA/trawl,only trawl,0,0.194,1,0
Anoplopoma fimbria,12,both eDNA/trawl,only eDNA,0.0642597557540508,0,0,1
Anoplopoma fimbria,14,both eDNA/trawl,only eDNA,0.757039779845175,0,0,1
Anoplopoma fimbria,16,both eDNA/trawl,only eDNA,0.0138466456922039,0,0,1
Anoplopoma fimbria,3,both eDNA/trawl,only eDNA,0.0225432060440763,0,0,1
Anoplopoma fimbria,7,both eDNA/trawl,only trawl,0,0.732,1,0
Anoplopoma fimbria,9,both eDNA/trawl,only eDNA,0.145385587327881,0,0,1
Beringraja binoculata,14,only eDNA,only eDNA,1,0,0,1
Citharichthys stigmaeus,12,only eDNA,only eDNA,0.174847306902305,0,0,1
Citharichthys stigmaeus,13,only eDNA,only eDNA,0.0598584806583882,0,0,1
Clupea pallasii,1,both eDNA/trawl,both eDNA/trawl,0.271085582862712,0.028,1,1
Clupea pallasii,10,both eDNA/trawl,both eDNA/trawl,0.71554010793012,0.682,1,1
Clupea pallasii,12,both eDNA/trawl,both eDNA/trawl,0.378855312220997,2.698,1,1
Clupea pallasii,13,both eDNA/trawl,only trawl,0,2.901,1,0
Clupea pallasii,14,both eDNA/trawl,both eDNA/trawl,0.332757995743856,4.798,1,1
Clupea pallasii,16,both eDNA/trawl,only eDNA,0.580535544620076,0,0,1
Clupea pallasii,2,both eDNA/trawl,both eDNA/trawl,0.432321125156984,0.028,1,1
Clupea pallasii,3,both eDNA/trawl,both eDNA/trawl,0.949593454784466,2.89,1,1
Clupea pallasii,4,both eDNA/trawl,both eDNA/trawl,0.979399938340844,0.182,1,1
Clupea pallasii,5,both eDNA/trawl,both eDNA/trawl,1,0.02,1,1
Clupea pallasii,7,both eDNA/trawl,only eDNA,1,0,0,1
Clupea pallasii,8,both eDNA/trawl,both eDNA/trawl,0.905858599727574,3.273,1,1
Clupea pallasii,9,both eDNA/trawl,both eDNA/trawl,0.89100114019326,3.488,1,1
Corphaenidoes sp,7,only trawl,only trawl,0,0.002,1,0
Cryptacanthodes giganteus,12,only eDNA,only eDNA,1,0,0,1
Diaphus theta,11,only trawl,only trawl,0,0.028,1,0
