set_number,LCT,gamma_detection_method,alpha_detection_method,beta_detection_method,set_read_index,weight_total_kg,pabs_trawl,p_abs_eDNA,area,line,net_tow,date,time_in_water_gmt,start_latitude_n,start_longitude_w,time_door_in,lat_door_in_deg,lat_door_in_min,long_door_in_deg,long_door_in_min,time_door_out,lat_door_out_deg,lat_door_out_min,long_door_out_deg,long_door_out_min,time_out_of_water_gmt,end_latitude_n,end_longitude_w,bottom_depth_m,depth_range_targeted_m,depth_mean,time_target_depth_start_gmt,time_target_depth_stop_gmt,average_wire_out,vessel_tow_speed_knots,codend_fullness,fraction_processed,notes,leg,lat_door_in_dd,long_door_in_dd,lat_door_out_dd,long_door_out_dd,duration_minutes
1,Clupea pallasii,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,29.2772429491729,0.028,1,1,JS,-,1,18-08-01,17:02,50 32.558 ,126 44.733,17:11,50,32.585,126,44.657,17:36,50,32.412,126,43.095,17:46,50 32.680,126 42.608,442,50,50,17:14,17:34,,3,almost 0 (very small),"Counted all, measured all (exept jellyfish )",,northern,50.543083333333335,-126.74428333333333,50.5402,-126.71825,25
1,Oncorhynchus kisutch,both eDNA/trawl,only eDNA,both eDNA/trawl,5.0644826446411,0,0,1,JS,-,1,18-08-01,17:02,50 32.558 ,126 44.733,17:11,50,32.585,126,44.657,17:36,50,32.412,126,43.095,17:46,50 32.680,126 42.608,442,50,50,17:14,17:34,,3,almost 0 (very small),"Counted all, measured all (exept jellyfish )",,northern,50.543083333333335,-126.74428333333333,50.5402,-126.71825,25
1,Gadus/chalcogrammus,both eDNA/trawl,only eDNA,both eDNA/trawl,4.05587664672734,0,0,1,JS,-,1,18-08-01,17:02,50 32.558 ,126 44.733,17:11,50,32.585,126,44.657,17:36,50,32.412,126,43.095,17:46,50 32.680,126 42.608,442,50,50,17:14,17:34,,3,almost 0 (very small),"Counted all, measured all (exept jellyfish )",,northern,50.543083333333335,-126.74428333333333,50.5402,-126.71825,25
1,Thaleichthys pacificus,both eDNA/trawl,only eDNA,both eDNA/trawl,4.19950020824656,0,0,1,JS,-,1,18-08-01,17:02,50 32.558 ,126 44.733,17:11,50,32.585,126,44.657,17:36,50,32.412,126,43.095,17:46,50 32.680,126 42.608,442,50,50,17:14,17:34,,3,almost 0 (very small),"Counted all, measured all (exept jellyfish )",,northern,50.543083333333335,-126.74428333333333,50.5402,-126.71825,25
1,Merluccius productus,both eDNA/trawl,only eDNA,both eDNA/trawl,1.11448640616811,0,0,1,JS,-,1,18-08-01,17:02,50 32.558 ,126 44.733,17:11,50,32.585,126,44.657,17:36,50,32.412,126,43.095,17:46,50 32.680,126 42.608,442,50,50,17:14,17:34,,3,almost 0 (very small),"Counted all, measured all (exept jellyfish )",,northern,50.543083333333335,-126.74428333333333,50.5402,-126.71825,25
1,Sebastes alutus,only eDNA,only eDNA,only eDNA,1.26084534743058,0,0,1,JS,-,1,18-08-01,17:02,50 32.558 ,126 44.733,17:11,50,32.585,126,44.657,17:36,50,32.412,126,43.095,17:46,50 32.680,126 42.608,442,50,50,17:14,17:34,,3,almost 0 (very small),"Counted all, measured all (exept jellyfish )",,northern,50.543083333333335,-126.74428333333333,50.5402,-126.71825,25
1,Squalus suckleyi,both eDNA/trawl,only eDNA,both eDNA/trawl,7.88437572565519,0,0,1,JS,-,1,18-08-01,17:02,50 32.558 ,126 44.733,17:11,50,32.585,126,44.657,17:36,50,32.412,126,43.095,17:46,50 32.680,126 42.608,442,50,50,17:14,17:34,,3,almost 0 (very small),"Counted all, measured all (exept jellyfish )",,northern,50.543083333333335,-126.74428333333333,50.5402,-126.71825,25
1,Oncorhynchus gorbuscha,both eDNA/trawl,only eDNA,only eDNA,2.4270173472183,0,0,1,JS,-,1,18-08-01,17:02,50 32.558 ,126 44.733,17:11,50,32.585,126,44.657,17:36,50,32.412,126,43.095,17:46,50 32.680,126 42.608,442,50,50,17:14,17:34,,3,almost 0 (very small),"Counted all, measured all (exept jellyfish )",,northern,50.543083333333335,-126.74428333333333,50.5402,-126.71825,25
1,Oncorhynchus nerka,only eDNA,only eDNA,only eDNA,5.92207948771161,0,0,1,JS,-,1,18-08-01,17:02,50 32.558 ,126 44.733,17:11,50,32.585,126,44.657,17:36,50,32.412,126,43.095,17:46,50 32.680,126 42.608,442,50,50,17:14,17:34,,3,almost 0 (very small),"Counted all, measured all (exept jellyfish )",,northern,50.543083333333335,-126.74428333333333,50.5402,-126.71825,25
10,Squalus suckleyi,both eDNA/trawl,only trawl,both eDNA/trawl,0,9.54,1,0,JF,F29,10,18-08-10,16:35,48 31.212,124 34.479,16:46,48,31.277,124,34.658,17:15,48,31.578,124,37.501,17:21,48 31.661,124 37.805,150,80,80,16:50,17:12,94-123 fm,3.2-4.9,big catch,go through all samples for 20,Camera installed.,southern,48.521283333333336,-124.57763333333334,48.5263,-124.62501666666667,29
10,Gadus/chalcogrammus,both eDNA/trawl,only trawl,both eDNA/trawl,0,36.466,1,0,JF,F29,10,18-08-10,16:35,48 31.212,124 34.479,16:46,48,31.277,124,34.658,17:15,48,31.578,124,37.501,17:21,48 31.661,124 37.805,150,80,80,16:50,17:12,94-123 fm,3.2-4.9,big catch,go through all samples for 20,Camera installed.,southern,48.521283333333336,-124.57763333333334,48.5263,-124.62501666666667,29
10,Merluccius productus,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,2.27776392309302,86.866,1,1,JF,F29,10,18-08-10,16:35,48 31.212,124 34.479,16:46,48,31.277,124,34.658,17:15,48,31.578,124,37.501,17:21,48 31.661,124 37.805,150,80,80,16:50,17:12,94-123 fm,3.2-4.9,big catch,go through all samples for 20,Camera installed.,southern,48.521283333333336,-124.57763333333334,48.5263,-124.62501666666667,29
10,Clupea pallasii,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,25.7594438854843,0.682,1,1,JF,F29,10,18-08-10,16:35,48 31.212,124 34.479,16:46,48,31.277,124,34.658,17:15,48,31.578,124,37.501,17:21,48 31.661,124 37.805,150,80,80,16:50,17:12,94-123 fm,3.2-4.9,big catch,go through all samples for 20,Camera installed.,southern,48.521283333333336,-124.57763333333334,48.5263,-124.62501666666667,29
10,Entosphenus tridentatus,only trawl,only trawl,only trawl,0,0.058,1,0,JF,F29,10,18-08-10,16:35,48 31.212,124 34.479,16:46,48,31.277,124,34.658,17:15,48,31.578,124,37.501,17:21,48 31.661,124 37.805,150,80,80,16:50,17:12,94-123 fm,3.2-4.9,big catch,go through all samples for 20,Camera installed.,southern,48.521283333333336,-124.57763333333334,48.5263,-124.62501666666667,29
10,Oncorhynchus tshawytscha,both eDNA/trawl,only trawl,both eDNA/trawl,0,16.116,1,0,JF,F29,10,18-08-10,16:35,48 31.212,124 34.479,16:46,48,31.277,124,34.658,17:15,48,31.578,124,37.501,17:21,48 31.661,124 37.805,150,80,80,16:50,17:12,94-123 fm,3.2-4.9,big catch,go through all samples for 20,Camera installed.,southern,48.521283333333336,-124.57763333333334,48.5263,-124.62501666666667,29
10,Thaleichthys pacificus,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,9.65222141296431,0.058,1,1,JF,F29,10,18-08-10,16:35,48 31.212,124 34.479,16:46,48,31.277,124,34.658,17:15,48,31.578,124,37.501,17:21,48 31.661,124 37.805,150,80,80,16:50,17:12,94-123 fm,3.2-4.9,big catch,go through all samples for 20,Camera installed.,southern,48.521283333333336,-124.57763333333334,48.5263,-124.62501666666667,29
10,Sebastes entomelas,both eDNA/trawl,only eDNA,only eDNA,0.69759452819912,0,0,1,JF,F29,10,18-08-10,16:35,48 31.212,124 34.479,16:46,48,31.277,124,34.658,17:15,48,31.578,124,37.501,17:21,48 31.661,124 37.805,150,80,80,16:50,17:12,94-123 fm,3.2-4.9,big catch,go through all samples for 20,Camera installed.,southern,48.521283333333336,-124.57763333333334,48.5263,-124.62501666666667,29
10,Oncorhynchus nerka,only eDNA,only eDNA,only eDNA,8.23799506082502,0,0,1,JF,F29,10,18-08-10,16:35,48 31.212,124 34.479,16:46,48,31.277,124,34.658,17:15,48,31.578,124,37.501,17:21,48 31.661,124 37.805,150,80,80,16:50,17:12,94-123 fm,3.2-4.9,big catch,go through all samples for 20,Camera installed.,southern,48.521283333333336,-124.57763333333334,48.5263,-124.62501666666667,29
11,Squalus suckleyi,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,2.16322092861017,4.376,1,1,JF,F27,11,18-08-10,20:20,48 28.477,124 30.917,20:29,48,28.341,124,30.823,21:04,48,28.994,124,32.067,21:09,48 28.807,124 32.219,213,200,200,20:36,20:57,275-330 fm,~2.3,1 basket,-,,southern,48.47235,-124.51371666666667,48.48323333333333,-124.53445,35
11,Gadus/chalcogrammus,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1.47910245474711,1.472,1,1,JF,F27,11,18-08-10,20:20,48 28.477,124 30.917,20:29,48,28.341,124,30.823,21:04,48,28.994,124,32.067,21:09,48 28.807,124 32.219,213,200,200,20:36,20:57,275-330 fm,~2.3,1 basket,-,,southern,48.47235,-124.51371666666667,48.48323333333333,-124.53445,35
