LCT,mean_biomass,gamma_detection_method
Allosmerus elongatus,0.001151730641120195,only trawl
Alosa sapidissima,0.01865614902192353,both eDNA/trawl
Ammodytes hexapterus,0.0020809670972711095,only trawl
Anoplopoma fimbria,0.12219195689718841,both eDNA/trawl
Clupea pallasii,0.2363149510920287,both eDNA/trawl
Diaphus theta,0.00875326086835379,only trawl
Engraulis mordax,0.002310049563633269,only trawl
Entosphenus tridentatus,0.003356485512373646,only trawl
Gadus/chalcogrammus,2.7934365065019273,both eDNA/trawl
Mallotus villosus,1.2174974808833851e-4,only trawl
Merluccius productus,3.387087197594904,both eDNA/trawl
Oncorhynchus gorbuscha,0.06923829440073606,both eDNA/trawl
Oncorhynchus keta,0.055036271350672183,both eDNA/trawl
Oncorhynchus kisutch,0.07100621276382646,both eDNA/trawl
Oncorhynchus nerka,3.865681046140452,both eDNA/trawl
Oncorhynchus tshawytscha,0.82755572075075,both eDNA/trawl
Parophrys vetulus,0.010603052761413915,only trawl
Reinhardtius hippoglossoides,0.1961564760861574,both eDNA/trawl
Sebastes entomelas,0.05004510465893906,both eDNA/trawl
Sebastes flavidus,0.31552113303702956,only trawl
Spirinchus starksi,0.0023126031855975277,only trawl
Squalus suckleyi,1.3609573511133395,both eDNA/trawl
Thaleichthys pacificus,0.05529729879480214,both eDNA/trawl
Zoarcidae sp,0.003190081242977578,only trawl
