set_number,depth_trawl,depth_eDNA,Jac,Jac_turn,Jac_nest,Sor_turn,Sor_nest,depth_difference
1,50,50,0.7777777777777778,0,0.7777777777777778,0,0.6363636363636364,0
2,120,120,0.8,0.8,0,0.6666666666666666,0,0
3,110,100,0.7142857142857143,0.6666666666666666,0.047619047619047616,0.5,0.05555555555555555,10
4,135,115,0.7142857142857143,0,0.7142857142857143,0,0.5555555555555556,20
5,100,100,0.6666666666666666,0,0.6666666666666666,0,0.5,0
6,200,125,0.7142857142857143,0.5,0.21428571428571427,0.3333333333333333,0.2222222222222222,75
7,160,140,1,1,0,1,0,20
8,60,80,0.7142857142857143,0.6666666666666666,0.047619047619047616,0.5,0.05555555555555555,20
9,130,120,0.7499999999999999,0.6666666666666666,0.08333333333333333,0.5,0.10000000000000002,10
10,80,80,0.6666666666666666,0.5714285714285714,0.09523809523809523,0.4,0.1,0
11,200,200,0.25,0,0.25,0,0.14285714285714285,0
12,25,25,0.6111111111111112,0.5333333333333333,0.07777777777777778,0.36363636363636365,0.07636363636363636,0
13,127.5,160,0.6666666666666666,0.6,0.06666666666666667,0.42857142857142855,0.07142857142857142,32.5
14,55,80,0.9411764705882353,0.8571428571428571,0.08403361344537814,0.75,0.1388888888888889,25
15,70,0,0.8421052631578948,0.5714285714285714,0.2706766917293233,0.4,0.32727272727272727,70
16,20,0,0.8947368421052632,0.5,0.39473684210526316,0.3333333333333333,0.4761904761904762,20
