LCT,n,gamma_detection_method,beta_detection_method,alpha_detection_method
Allosmerus elongatus,1,only trawl,only trawl,only trawl
Alosa sapidissima,4,both eDNA/trawl,both eDNA/trawl,only eDNA
Alosa sapidissima,4,both eDNA/trawl,both eDNA/trawl,only trawl
Ammodytes hexapterus,2,only trawl,only trawl,only trawl
Anoplopoma fimbria,7,both eDNA/trawl,both eDNA/trawl,only eDNA
Anoplopoma fimbria,7,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Anoplopoma fimbria,7,both eDNA/trawl,both eDNA/trawl,only trawl
Beringraja binoculata,1,only eDNA,only eDNA,only eDNA
Citharichthys stigmaeus,2,only eDNA,only eDNA,only eDNA
Clupea pallasii,15,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Clupea pallasii,15,both eDNA/trawl,both eDNA/trawl,only trawl
Clupea pallasii,15,both eDNA/trawl,both eDNA/trawl,only eDNA
Cryptacanthodes giganteus,1,only eDNA,only eDNA,only eDNA
Diaphus theta,4,only trawl,only trawl,only trawl
Engraulis mordax,3,only trawl,only trawl,only trawl
Entosphenus tridentatus,1,only trawl,only trawl,only trawl
Eopsetta jordani,1,only eDNA,only eDNA,only eDNA
Gadus/chalcogrammus,14,both eDNA/trawl,both eDNA/trawl,only eDNA
Gadus/chalcogrammus,14,both eDNA/trawl,both eDNA/trawl,only trawl
Gadus/chalcogrammus,14,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Glyptocephalus zachirus,5,only eDNA,only eDNA,only eDNA
Hexagrammos decagrammus,1,only eDNA,only eDNA,only eDNA
Hippoglossoides elassodon,1,only eDNA,only eDNA,only eDNA
Leptoclinus maculatus,1,only eDNA,only eDNA,only eDNA
Mallotus villosus,1,only trawl,only trawl,only trawl
Merluccius productus,13,both eDNA/trawl,both eDNA/trawl,only eDNA
Merluccius productus,13,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Merluccius productus,13,both eDNA/trawl,both eDNA/trawl,only trawl
Microstomus pacificus,1,only eDNA,only eDNA,only eDNA
Oncorhynchus gorbuscha,5,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Oncorhynchus gorbuscha,5,both eDNA/trawl,both eDNA/trawl,only eDNA
Oncorhynchus keta,4,both eDNA/trawl,both eDNA/trawl,only trawl
Oncorhynchus keta,4,both eDNA/trawl,both eDNA/trawl,only eDNA
Oncorhynchus kisutch,6,both eDNA/trawl,both eDNA/trawl,only eDNA
Oncorhynchus kisutch,6,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Oncorhynchus kisutch,6,both eDNA/trawl,both eDNA/trawl,only trawl
Oncorhynchus nerka,10,both eDNA/trawl,only eDNA,only eDNA
Oncorhynchus nerka,10,both eDNA/trawl,both eDNA/trawl,only eDNA
Oncorhynchus nerka,10,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Oncorhynchus nerka,10,both eDNA/trawl,both eDNA/trawl,only trawl
Oncorhynchus tshawytscha,8,both eDNA/trawl,both eDNA/trawl,only trawl
Parophrys vetulus,1,only trawl,only trawl,only trawl
Pholis laeta,1,only eDNA,only eDNA,only eDNA
Phytichthys chirus,3,only eDNA,only eDNA,only eDNA
Reinhardtius hippoglossoides,2,both eDNA/trawl,only eDNA,only eDNA
Reinhardtius hippoglossoides,2,both eDNA/trawl,only trawl,only trawl
Sebastes alutus,4,only eDNA,only eDNA,only eDNA
Sebastes caurinus/maliger,2,only eDNA,only eDNA,only eDNA
Sebastes crameri,4,only eDNA,only eDNA,only eDNA
Sebastes entomelas,4,both eDNA/trawl,only eDNA,only eDNA
Sebastes entomelas,4,both eDNA/trawl,only trawl,only trawl
Sebastes flavidus,2,only trawl,only trawl,only trawl
Sebastes mystinus,2,only eDNA,only eDNA,only eDNA
Spirinchus starksi,1,only trawl,only trawl,only trawl
Squalus suckleyi,14,both eDNA/trawl,both eDNA/trawl,only eDNA
Squalus suckleyi,14,both eDNA/trawl,both eDNA/trawl,only trawl
Squalus suckleyi,14,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Thaleichthys pacificus,15,both eDNA/trawl,both eDNA/trawl,only eDNA
Thaleichthys pacificus,15,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Thaleichthys pacificus,15,both eDNA/trawl,both eDNA/trawl,only trawl
Xiphister atropurpureus/mucosus,2,only eDNA,only eDNA,only eDNA
Zoarcidae sp,1,only trawl,only trawl,only trawl
