set_number,Jac,Jac_turn,Jac_nest,Sor_turn,Sor_nest
12,0.7222222222222222,0.6153846153846154,0.10683760683760685,0.4444444444444444,0.12077294685990338
13,0.6666666666666666,0.6,0.06666666666666667,0.42857142857142855,0.07142857142857142
14,0.9411764705882353,0.8571428571428571,0.08403361344537814,0.75,0.1388888888888889
16,0.9473684210526316,0.6666666666666666,0.2807017543859649,0.5,0.4
3,0.7142857142857143,0.6666666666666666,0.047619047619047616,0.5,0.05555555555555555
7,1,1,0,1,0
9,0.7272727272727273,0.6666666666666666,0.06060606060606061,0.5,0.07142857142857142
1,0.888888888888889,0,0.8888888888888888,0,0.8
10,0.6666666666666666,0.5714285714285714,0.09523809523809523,0.4,0.1
2,0.7777777777777778,0.75,0.027777777777777776,0.6,0.03636363636363636
4,0.7142857142857143,0,0.7142857142857143,0,0.5555555555555556
5,0.6666666666666666,0,0.6666666666666666,0,0.5
8,0.6666666666666666,0.6666666666666666,0,0.5,0
11,0.25,0,0.25,0,0.14285714285714285
