LIT,Incidence,Detection,Mean Biomass (kg/km)
Allosmerus elongatus,1,only trawl,0.001151730641120195
Beringraja binoculata,1,only eDNA,NA
Cryptacanthodes giganteus,1,only eDNA,NA
Entosphenus tridentatus,1,only trawl,0.003356485512373646
Eopsetta jordani,1,only eDNA,NA
Hexagrammos decagrammus,1,only eDNA,NA
Hippoglossoides elassodon,1,only eDNA,NA
Leptoclinus maculatus,1,only eDNA,NA
Mallotus villosus,1,only trawl,1.2174974808833851e-4
Microstomus pacificus,1,only eDNA,NA
Parophrys vetulus,1,only trawl,0.010603052761413915
Pholis laeta,1,only eDNA,NA
Spirinchus starksi,1,only trawl,0.0023126031855975277
Zoarcidae sp,1,only trawl,0.003190081242977578
Ammodytes hexapterus,2,only trawl,0.0020809670972711095
Citharichthys stigmaeus,2,only eDNA,NA
Reinhardtius hippoglossoides,2,both eDNA/trawl,0.1961564760861574
Sebastes caurinus/maliger,2,only eDNA,NA
Sebastes flavidus,2,only trawl,0.31552113303702956
Sebastes mystinus,2,only eDNA,NA
Xiphister atropurpureus/mucosus,2,only eDNA,NA
Engraulis mordax,3,only trawl,0.002310049563633269
Phytichthys chirus,3,only eDNA,NA
Alosa sapidissima,4,both eDNA/trawl,0.01865614902192353
Diaphus theta,4,only trawl,0.00875326086835379
Oncorhynchus keta,4,both eDNA/trawl,0.055036271350672183
Sebastes alutus,4,only eDNA,NA
Sebastes crameri,4,only eDNA,NA
Sebastes entomelas,4,both eDNA/trawl,0.05004510465893906
Glyptocephalus zachirus,5,only eDNA,NA
Oncorhynchus gorbuscha,5,both eDNA/trawl,0.06923829440073606
Oncorhynchus kisutch,6,both eDNA/trawl,0.07100621276382646
Anoplopoma fimbria,7,both eDNA/trawl,0.12219195689718841
Oncorhynchus tshawytscha,8,both eDNA/trawl,0.82755572075075
Oncorhynchus nerka,10,both eDNA/trawl,3.865681046140452
Merluccius productus,13,both eDNA/trawl,3.387087197594904
Gadus/chalcogrammus,14,both eDNA/trawl,2.7934365065019273
Squalus suckleyi,14,both eDNA/trawl,1.3609573511133395
Clupea pallasii,15,both eDNA/trawl,0.2363149510920287
Thaleichthys pacificus,15,both eDNA/trawl,0.05529729879480214
