LCT,set_number,gamma_detection_method,alpha_detection_method,beta_detection_method,set_read_index,weight_total_kg,pabs_trawl,p_abs_eDNA,kingdom,phylum,class,order,family,genus,environment,depth_range_min,depth_range_max,max_length_cm,common_length_cm,in_range,habitat
Microstomus pacificus,13,only eDNA,only eDNA,only eDNA,3,0,0,1,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Microstomus,demersal,10,1370,6,NA,y,demersal
Diaphus theta,11,only trawl,only trawl,only trawl,0,0.028,1,0,Animalia ,Chordata,Teleostei,Myctophiformes ,Myctophidae ,Diaphys,bathypelagic,10,3400,11.4,NA,y,bathypelagic
Diaphus theta,13,only trawl,only trawl,only trawl,0,0.036,1,0,Animalia ,Chordata,Teleostei,Myctophiformes ,Myctophidae ,Diaphys,bathypelagic,10,3400,11.4,NA,y,bathypelagic
Diaphus theta,2,only trawl,only trawl,only trawl,0,0,1,0,Animalia ,Chordata,Teleostei,Myctophiformes ,Myctophidae ,Diaphys,bathypelagic,10,3400,11.4,NA,y,bathypelagic
Diaphus theta,9,only trawl,only trawl,only trawl,0,0,1,0,Animalia ,Chordata,Teleostei,Myctophiformes ,Myctophidae ,Diaphys,bathypelagic,10,3400,11.4,NA,y,bathypelagic
Citharichthys stigmaeus,12,only eDNA,only eDNA,only eDNA,0.524541921,0,0,1,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Citharichthys,demersal,NA,549,17,NA,y,demersal
Citharichthys stigmaeus,13,only eDNA,only eDNA,only eDNA,0.179575442,0,0,1,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Citharichthys,demersal,NA,549,17,NA,y,demersal
Leptoclinus maculatus,14,only eDNA,only eDNA,only eDNA,3,0,0,1,Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Leptoclinus,demersal,2,607,20,NA,y,demersal
Mallotus villosus,4,only trawl,only trawl,only trawl,0,0,1,0,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Mallotus,pelagic_oceanic,0,725,20,15,y,pelagic
Phytichthys chirus,14,only eDNA,only eDNA,only eDNA,2.40122443,0,0,1,Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Phytichthys,demersal,0,12,20,NA,y,demersal
Phytichthys chirus,15,only eDNA,only eDNA,only eDNA,12.09435437,0,0,1,Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Phytichthys,demersal,0,12,20,NA,y,demersal
Phytichthys chirus,16,only eDNA,only eDNA,only eDNA,9.746963213,0,0,1,Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Phytichthys,demersal,0,12,20,NA,y,demersal
Allosmerus elongatus,12,only trawl,only trawl,only trawl,0,0.028,1,0,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Allosmerus,demersal,1,103,22.9,NA,y,demersal
Spirinchus starksi,3,only trawl,only trawl,only trawl,0,0.028,1,0,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Spirinchus,benthopelagic,NA,128,23,NA,y,benthopelagic
