kingdom,phylum,class,order,family,genus,species,old_species,kingdom_id,phylum_id,class_id,order_id,family_id,genus_id,species_id,ids,in_range
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,Alosa fallax,Alosa fallax,1,44,204,538,7332,2412615,2412623,Alosa fallax,n
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,Alosa sapidissima,Alosa sapidissima,1,44,204,538,7332,2412615,2412661,Alosa sapidissima,y
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,Anoplopoma fimbria,Anoplopoma fimbria,1,44,204,590,5090,2335061,2335062,Anoplopoma fimbria,y
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Atheresthes,Atheresthes evermanni,Atheresthes evermanni,1,44,204,588,8611,2409090,2409095,Atheresthes evermanni,n
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,1,44,204,538,7332,2346676,8351946,Clupea harengus,n
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii,1,44,204,538,7332,2346676,4284072,Clupea pallasii,y
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Eopsetta,Eopsetta jordani,Eopsetta jordani,1,44,204,588,8611,2409233,2409237,Eopsetta jordani,y
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,Gadus chalcogrammus,1,44,204,549,3701,2335052,2415769,Gadus chalcogrammus,y
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus stelleri,Glyptocephalus stelleri,1,44,204,588,8611,2409281,5213991,Glyptocephalus stelleri,n
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus zachirus,Glyptocephalus zachirus,1,44,204,588,8611,2409281,5214001,Glyptocephalus zachirus,y
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos decagrammus,Hexagrammos decagrammus,1,44,204,590,8626,2336463,2336472,Hexagrammos decagrammus,y
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides elassodon,Hippoglossoides elassodon,1,44,204,588,8611,2409098,2409109,Hippoglossoides elassodon,y
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides platessoides,Hippoglossoides platessoides,1,44,204,588,8611,2409098,2409104,Hippoglossoides platessoides,n
Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Leptoclinus,Leptoclinus maculatus,Leptoclinus maculatus,1,44,204,587,8598,2394831,2394832,Leptoclinus maculatus,y
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Limanda,Limanda sakhalinensis,Limanda sakhalinensis,1,44,204,588,8611,5213949,5213969,Limanda sakhalinensis,n
Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,Merluccius productus,Merluccius productus,1,44,204,549,3703,2415629,2415676,Merluccius productus,y
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Microstomus,Microstomus pacificus,Microstomus pacificus,1,44,204,588,8611,2409352,5214028,Microstomus pacificus,y
