ASV,level,LCT,class,order,family,genus,species,all_species
ASV137,species,Alosa sapidissima,Actinopterygii,Clupeiformes,Clupeidae,Alosa,Alosa sapidissima,Alosa sapidissima
ASV6,species,Anoplopoma fimbria,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,Anoplopoma fimbria,Anoplopoma fimbria
ASV68,species,Anoplopoma fimbria,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,Anoplopoma fimbria,Anoplopoma fimbria
ASV97,species,Anoplopoma fimbria,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,Anoplopoma fimbria,Anoplopoma fimbria
ASV91,species,Beringraja binoculata,Elasmobranchii,Rajiformes,Rajidae,Beringraja,Beringraja binoculata,Beringraja binoculata
ASV1,species,Clupea pallasii,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV191,species,Clupea pallasii,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV24,species,Clupea pallasii,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV271,species,Clupea pallasii,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV41,species,Clupea pallasii,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV513,species,Clupea pallasii,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV58,species,Clupea pallasii,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV633,species,Clupea pallasii,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV8,species,Clupea pallasii,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV122,species,Clupea pallasii,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV297,species,Clupea pallasii,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV30,species,Clupea pallasii,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV62,species,Eopsetta jordani,Actinopterygii,Pleuronectiformes,Pleuronectidae,Eopsetta,Eopsetta jordani,Eopsetta jordani
ASV25,species,Gadus chalcogrammus,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,Gadus chalcogrammus
ASV33,species,Gadus chalcogrammus,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,Gadus chalcogrammus
ASV4,species,Gadus chalcogrammus,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,Gadus chalcogrammus
ASV72,species,Gadus chalcogrammus,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,Gadus chalcogrammus
ASV11,species,Glyptocephalus zachirus,Actinopterygii,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus zachirus,Glyptocephalus zachirus
ASV286,species,Glyptocephalus zachirus,Actinopterygii,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus zachirus,Glyptocephalus zachirus
ASV46,species,Glyptocephalus zachirus,Actinopterygii,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus zachirus,Glyptocephalus zachirus
ASV67,species,Hexagrammos decagrammus,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos decagrammus,Hexagrammos decagrammus
ASV262,species,Hippoglossoides elassodon,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides elassodon,Hippoglossoides elassodon
ASV70,species,Leptoclinus maculatus,Actinopterygii,Perciformes,Stichaeidae,Leptoclinus,Leptoclinus maculatus,Leptoclinus maculatus
ASV21,species,Merluccius productus,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,Merluccius productus,Merluccius productus
ASV7,species,Merluccius productus,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,Merluccius productus,Merluccius productus
ASV52,species,Microstomus pacificus,Actinopterygii,Pleuronectiformes,Pleuronectidae,Microstomus,Microstomus pacificus,Microstomus pacificus
ASV20,species,Oncorhynchus gorbuscha,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus gorbuscha,Oncorhynchus gorbuscha
ASV50,species,Oncorhynchus gorbuscha,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus gorbuscha,Oncorhynchus gorbuscha
ASV719,species,Oncorhynchus keta,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus keta,Oncorhynchus keta
ASV12,species,Oncorhynchus kisutch,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus kisutch,Oncorhynchus kisutch
