original_sample_name,query,asv_read_index,asv_read_raw,asv_pa
tdna001,ASV1,0.005249850926645006,366,1
tdna001,ASV2,8.397443107649594e-4,55,1
tdna001,ASV4,0,0,0
tdna001,ASV5,0.11408324120595313,6722,1
tdna001,ASV6,0,0,0
tdna001,ASV7,0,0,0
tdna001,ASV8,0,0,0
tdna001,ASV9,0,0,0
tdna001,ASV10,0,0,0
tdna001,ASV11,0,0,0
tdna001,ASV12,0.6495714166599919,5072,1
tdna001,ASV13,0,0,0
tdna001,ASV14,0,0,0
tdna001,ASV20,0,0,0
tdna001,ASV21,0,0,0
tdna001,ASV24,0,0,0
tdna001,ASV25,0,0,0
tdna001,ASV27,0,0,0
tdna001,ASV30,0,0,0
tdna001,ASV31,0,0,0
tdna001,ASV33,0,0,0
tdna001,ASV34,0,0,0
tdna001,ASV39,0,0,0
tdna001,ASV41,0,0,0
tdna001,ASV45,0,0,0
tdna001,ASV46,0,0,0
tdna001,ASV47,1,2301,1
tdna001,ASV50,0,0,0
tdna001,ASV52,0,0,0
tdna001,ASV58,0,0,0
tdna001,ASV62,0,0,0
tdna001,ASV67,0,0,0
tdna001,ASV68,0,0,0
tdna001,ASV70,0,0,0
tdna001,ASV72,0,0,0
tdna001,ASV75,0,0,0
tdna001,ASV84,0,0,0
tdna001,ASV91,0,0,0
tdna001,ASV97,0,0,0
tdna001,ASV122,0,0,0
tdna001,ASV135,0,0,0
tdna001,ASV137,0,0,0
tdna001,ASV155,0,0,0
tdna001,ASV163,0,0,0
tdna001,ASV177,0,0,0
tdna001,ASV191,0,0,0
tdna001,ASV262,0,0,0
tdna001,ASV271,0,0,0
tdna001,ASV286,0,0,0
tdna001,ASV297,0,0,0
tdna001,ASV513,0,0,0
tdna001,ASV534,0,0,0
tdna001,ASV616,0,0,0
tdna001,ASV633,0,0,0
tdna001,ASV719,0,0,0
tdna002,ASV1,0.10397348271452347,5676,1
tdna002,ASV2,0.0011504048683164032,59,1
tdna002,ASV4,0,0,0
tdna002,ASV5,0,0,0
tdna002,ASV6,0,0,0
tdna002,ASV7,0,0,0
tdna002,ASV8,0,0,0
tdna002,ASV9,0,0,0
tdna002,ASV10,0.24429436704898655,7570,1
tdna002,ASV11,0,0,0
tdna002,ASV12,0.937329721965123,5731,1
tdna002,ASV13,0,0,0
tdna002,ASV14,0,0,0
tdna002,ASV20,0,0,0
tdna002,ASV21,0,0,0
tdna002,ASV24,0,0,0
tdna002,ASV25,0,0,0
tdna002,ASV27,0,0,0
tdna002,ASV30,0,0,0
tdna002,ASV31,0,0,0
tdna002,ASV33,0,0,0
tdna002,ASV34,0,0,0
tdna002,ASV39,0,0,0
tdna002,ASV41,1,4326,1
tdna002,ASV45,0,0,0
tdna002,ASV46,0,0,0
tdna002,ASV47,0.22311242315720342,402,1
tdna002,ASV50,0,0,0
tdna002,ASV52,0,0,0
tdna002,ASV58,0,0,0
tdna002,ASV62,0,0,0
tdna002,ASV67,0,0,0
tdna002,ASV68,0,0,0
tdna002,ASV70,0,0,0
tdna002,ASV72,0,0,0
tdna002,ASV75,0,0,0
tdna002,ASV84,0,0,0
tdna002,ASV91,0,0,0
tdna002,ASV97,0,0,0
tdna002,ASV122,0,0,0
tdna002,ASV135,0,0,0
tdna002,ASV137,0,0,0
tdna002,ASV155,0,0,0
tdna002,ASV163,0,0,0
tdna002,ASV177,0,0,0
tdna002,ASV191,0,0,0
tdna002,ASV262,0,0,0
tdna002,ASV271,0,0,0
tdna002,ASV286,0,0,0
tdna002,ASV297,0,0,0
tdna002,ASV513,0,0,0
tdna002,ASV534,0,0,0
tdna002,ASV616,0,0,0
tdna002,ASV633,0,0,0
tdna002,ASV719,0,0,0
tdna003,ASV1,0.3165491944311633,19123,1
tdna003,ASV2,0,0,0
tdna003,ASV4,0,0,0
tdna003,ASV5,0,0,0
tdna003,ASV6,0,0,0
tdna003,ASV7,0,0,0
tdna003,ASV8,0,0,0
tdna003,ASV9,0,0,0
tdna003,ASV10,0,0,0
tdna003,ASV11,0,0,0
tdna003,ASV12,0,0,0
tdna003,ASV13,0,0,0
tdna003,ASV14,1,6983,1
tdna003,ASV20,0,0,0
tdna003,ASV21,0,0,0
tdna003,ASV24,0,0,0
tdna003,ASV25,0,0,0
tdna003,ASV27,0,0,0
tdna003,ASV30,0.05227562737655493,531,1
tdna003,ASV31,0,0,0
tdna003,ASV33,0,0,0
tdna003,ASV34,0,0,0
tdna003,ASV39,0,0,0
tdna003,ASV41,0,0,0
tdna003,ASV45,0,0,0
tdna003,ASV46,0,0,0
tdna003,ASV47,0,0,0
tdna003,ASV50,0,0,0
