original_sample_name,query,kingdom,phylum,phylum_read_raw,phylum_read_index,phylum_pa,class,class_read_raw,class_read_index,class_pa,order,order_read_raw,order_read_index,order_pa,family,family_read_raw,family_read_index,family_pa,genus,genus_read_raw,genus_read_index,genus_pa,species,species_read_raw,species_read_index,species_pa
E001,ASV1,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Clupeiformes,256,0.013774549367769708,1,Clupeidae,256,0.013774549367769708,1,Clupea,256,0.013774549367769708,1,Clupea pallasii,256,0.013774549367769708,1
E001,ASV10,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Salmoniformes,5072,0.2729082593489373,1,Salmonidae,5072,0.2729082593489373,1,Oncorhynchus,5072,0.2729082593489373,1,Oncorhynchus nerka,0,0,0
E001,ASV11,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Pleuronectiformes,0,0,0,Pleuronectidae,0,0,0,Microstomus,0,0,0,Microstomus kitt,0,0,0
E001,ASV115,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Osmeriformes,6722,0.3616895345708905,1,Osmeridae,6722,0.3616895345708905,1,Mallotus,0,0,0,Mallotus villosus,0,0,0
E001,ASV12,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Salmoniformes,5072,0.2729082593489373,1,Salmonidae,5072,0.2729082593489373,1,Oncorhynchus,5072,0.2729082593489373,1,Oncorhynchus kisutch,5072,1,1
E001,ASV13,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Salmoniformes,5072,0.2729082593489373,1,Salmonidae,5072,0.2729082593489373,1,Oncorhynchus,5072,0.2729082593489373,1,Oncorhynchus nerka,0,0,0
E001,ASV130,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Salmoniformes,5072,0.2729082593489373,1,Salmonidae,5072,0.2729082593489373,1,Oncorhynchus,5072,0.2729082593489373,1,Oncorhynchus nerka,0,0,0
E001,ASV135,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Myctophiformes,0,0,0,Myctophidae,0,0,0,Diaphus,0,0,0,Diaphus theta,0,0,0
E001,ASV14,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Salmoniformes,5072,0.2729082593489373,1,Salmonidae,5072,0.2729082593489373,1,Oncorhynchus,5072,0.2729082593489373,1,Oncorhynchus tshawytscha,0,0,0
E001,ASV141,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Clupeiformes,256,0.013774549367769708,1,Clupeidae,256,0.013774549367769708,1,Alosa,0,0,0,Alosa fallax,0,0,0
E001,ASV15,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Scorpaeniformes,6480,0.418625078987261,1,Sebastidae,6480,0.418625078987261,1,Sebastes,6480,0.418625078987261,1,Sebastes aleutianus,6480,0.418625078987261,1
E001,ASV162,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Osmeriformes,6722,0.3616895345708905,1,Osmeridae,6722,0.3616895345708905,1,Spirinchus,6722,0.3616895345708905,1,Spirinchus lanceolatus,6722,0.3616895345708905,1
E001,ASV18,Animalia,Chordata,18585,1,1,Mammalia,0,0,0,Cetacea,0,0,0,Balaenopteridae,0,0,0,Megaptera,0,0,0,Megaptera novaeangliae,0,0,0
E001,ASV191,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Scorpaeniformes,6480,0.418625078987261,1,Anoplopomatidae,0,0,0,Anoplopoma,0,0,0,Anoplopoma fimbria,0,0,0
E001,ASV2,Animalia,Chordata,18585,1,1,Elasmobranchii,55,0.008073662205169134,1,Squaliformes,55,0.008073662205169134,1,Squalidae,55,0.008073662205169134,1,Squalus,55,0.008073662205169134,1,Squalus acanthias,55,0.008073662205169134,1
E001,ASV20,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Salmoniformes,5072,0.2729082593489373,1,Salmonidae,5072,0.2729082593489373,1,Oncorhynchus,5072,0.2729082593489373,1,Oncorhynchus gorbuscha,0,0,0
E001,ASV21,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Gadiformes,0,0,0,Merlucciidae,0,0,0,Merluccius,0,0,0,Merluccius productus,0,0,0
E001,ASV22,Animalia,Chordata,18585,1,1,Mammalia,0,0,0,Carnivora,0,0,0,Phocidae,0,0,0,Mirounga,0,0,0,Mirounga angustirostris,0,0,0
E001,ASV23,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Gadiformes,0,0,0,Gadidae,0,0,0,Gadus,0,0,0,Gadus chalcogrammus,0,0,0
E001,ASV24,Animalia,Chordata,18585,1,1,Mammalia,0,0,0,Cetacea,0,0,0,Phocoenidae,0,0,0,Phocoena,0,0,0,Phocoena phocoena,0,0,0
E001,ASV25,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Clupeiformes,256,0.013774549367769708,1,Clupeidae,256,0.013774549367769708,1,Clupea,256,0.013774549367769708,1,Clupea pallasii,256,0.013774549367769708,1
E001,ASV262,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Scorpaeniformes,6480,0.418625078987261,1,Sebastidae,6480,0.418625078987261,1,Sebastolobus,0,0,0,Sebastolobus macrochir,0,0,0
E001,ASV271,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Clupeiformes,256,0.013774549367769708,1,Clupeidae,256,0.013774549367769708,1,Clupea,256,0.013774549367769708,1,Clupea harengus,0,0,0
E001,ASV28,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Scorpaeniformes,6480,0.418625078987261,1,Sebastidae,6480,0.418625078987261,1,Sebastes,6480,0.418625078987261,1,Sebastes aleutianus,6480,0.418625078987261,1
E001,ASV297,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Gadiformes,0,0,0,Gadidae,0,0,0,Gadus,0,0,0,Gadus chalcogrammus,0,0,0
E001,ASV31,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Clupeiformes,256,0.013774549367769708,1,Clupeidae,256,0.013774549367769708,1,Clupea,256,0.013774549367769708,1,Clupea harengus,0,0,0
E001,ASV34,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Gadiformes,0,0,0,Gadidae,0,0,0,Gadus,0,0,0,Gadus chalcogrammus,0,0,0
E001,ASV35,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Clupeiformes,256,0.013774549367769708,1,Clupeidae,256,0.013774549367769708,1,Clupea,256,0.013774549367769708,1,Clupea pallasii,256,0.013774549367769708,1
E001,ASV355,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Clupeiformes,256,0.013774549367769708,1,Clupeidae,256,0.013774549367769708,1,Clupea,256,0.013774549367769708,1,Clupea harengus,0,0,0
E001,ASV4,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Gadiformes,0,0,0,Gadidae,0,0,0,Gadus,0,0,0,Gadus chalcogrammus,0,0,0
E001,ASV41,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Salmoniformes,5072,0.2729082593489373,1,Salmonidae,5072,0.2729082593489373,1,Oncorhynchus,5072,0.2729082593489373,1,Oncorhynchus keta,0,0,0
E001,ASV44,Animalia,Chordata,18585,1,1,Mammalia,0,0,0,Cetacea,0,0,0,Delphinidae,0,0,0,Orcinus,0,0,0,Orcinus orca,0,0,0
E001,ASV45,Animalia,Chordata,18585,1,1,Holocephali,0,0,0,Chimaeriformes,0,0,0,Chimaeridae,0,0,0,Hydrolagus,0,0,0,Hydrolagus colliei,0,0,0
E001,ASV46,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Scorpaeniformes,6480,0.418625078987261,1,Sebastidae,6480,0.418625078987261,1,Sebastes,6480,0.418625078987261,1,Sebastes aleutianus,6480,0.418625078987261,1
E001,ASV5,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Osmeriformes,6722,0.3616895345708905,1,Osmeridae,6722,0.3616895345708905,1,Spirinchus,6722,0.3616895345708905,1,Spirinchus lanceolatus,6722,0.3616895345708905,1
E001,ASV52,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Pleuronectiformes,0,0,0,Pleuronectidae,0,0,0,Microstomus,0,0,0,Microstomus pacificus,0,0,0
E001,ASV534,Animalia,Chordata,18585,1,1,Elasmobranchii,55,0.008073662205169134,1,Squaliformes,55,0.008073662205169134,1,Squalidae,55,0.008073662205169134,1,Squalus,55,0.008073662205169134,1,Squalus acanthias,55,0.008073662205169134,1
E001,ASV56,Animalia,Chordata,18585,1,1,Holocephali,0,0,0,Chimaeriformes,0,0,0,Chimaeridae,0,0,0,Hydrolagus,0,0,0,Hydrolagus colliei,0,0,0
E001,ASV6,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Scorpaeniformes,6480,0.418625078987261,1,Anoplopomatidae,0,0,0,Anoplopoma,0,0,0,Anoplopoma fimbria,0,0,0
E001,ASV616,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Gadiformes,0,0,0,Gadidae,0,0,0,Gadus,0,0,0,Gadus chalcogrammus,0,0,0
E001,ASV62,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Osmeriformes,6722,0.3616895345708905,1,Osmeridae,6722,0.3616895345708905,1,Spirinchus,6722,0.3616895345708905,1,Spirinchus lanceolatus,6722,0.3616895345708905,1
E001,ASV633,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Perciformes,0,0,0,Embiotocidae,0,0,0,Cymatogaster,0,0,0,Cymatogaster aggregata,0,0,0
E001,ASV66,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Scorpaeniformes,6480,0.418625078987261,1,Anoplopomatidae,0,0,0,Anoplopoma,0,0,0,Anoplopoma fimbria,0,0,0
E001,ASV68,Animalia,Chordata,18585,1,1,Mammalia,0,0,0,Carnivora,0,0,0,Otariidae,0,0,0,Eumetopias,0,0,0,Eumetopias jubatus,0,0,0
E001,ASV7,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Gadiformes,0,0,0,Merlucciidae,0,0,0,Merluccius,0,0,0,Merluccius productus,0,0,0
E001,ASV70,Animalia,Chordata,18585,1,1,Actinopterygii,18530,0.9970406241592682,1,Scorpaeniformes,6480,0.418625078987261,1,Anoplopomatidae,0,0,0,Anoplopoma,0,0,0,Anoplopoma fimbria,0,0,0
