kingdom,phylum,class,order,family,genus,species,old_species,kingdom_id,phylum_id,class_id,order_id,family_id,genus_id,species_id,ids,in_range
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,Alosa fallax,Alosa fallax,1,44,204,538,7332,2412615,2412623,Alosa fallax,n
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,Alosa sapidissima,Alosa sapidissima,1,44,204,538,7332,2412615,2412661,Alosa sapidissima,y
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii,1,44,204,538,7332,2346676,4284072,Clupea pallasii,y
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,Gadus chalcogrammus,1,44,204,549,3701,2335052,2415769,Gadus chalcogrammus,y
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus morhua,Gadus morhua,1,44,204,549,3701,2335052,8084280,Gadus morhua,n
Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,Merluccius productus,Merluccius productus,1,44,204,549,3703,2415629,2415676,Merluccius productus,y
Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,Thaleichthys pacificus,Thaleichthys pacificus,1,44,204,1068,8480,2410902,2410903,Thaleichthys pacificus,y
Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Cymatogaster,Cymatogaster aggregata,Cymatogaster aggregata,1,44,204,587,4269,2389233,2389234,Cymatogaster aggregata,y
Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Phytichthys,Phytichthys chirus,Phytichthys chirus,1,44,204,587,8598,2394820,2394821,Phytichthys chirus,y
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus stelleri,Glyptocephalus stelleri,1,44,204,588,8611,2409281,5213991,Glyptocephalus stelleri,n
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus zachirus,Glyptocephalus zachirus,1,44,204,588,8611,2409281,5214001,Glyptocephalus zachirus,y
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Microstomus,Microstomus pacificus,Microstomus pacificus,1,44,204,588,8611,2409352,5214028,Microstomus pacificus,y
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,1,44,204,1313,8615,2351426,5204037,Oncorhynchus gorbuscha,y
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus keta,Oncorhynchus keta,1,44,204,1313,8615,2351426,5204014,Oncorhynchus keta,y
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus kisutch,Oncorhynchus kisutch,1,44,204,1313,8615,2351426,5204034,Oncorhynchus kisutch,y
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus nerka,Oncorhynchus nerka,1,44,204,1313,8615,2351426,5204039,Oncorhynchus nerka,y
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus tshawytscha,Oncorhynchus tshawytscha,1,44,204,1313,8615,2351426,5204024,Oncorhynchus tshawytscha,y
