kingdom,phylum,order,family,genus,species,old_species,kingdom_id,phylum_id,order_id,family_id,genus_id,species_id,query,in_range
Animalia,Chordata,Clupeiformes,Clupeidae,Alosa,Alosa fallax,Alosa fallax,1,44,538,7332,2412615,2412623,Alosa fallax,n
Animalia,Chordata,Clupeiformes,Clupeidae,Alosa,Alosa sapidissima,Alosa sapidissima,1,44,538,7332,2412615,2412661,Alosa sapidissima,y
Animalia,Chordata,Scorpaeniformes,Anoplopomatidae,Anoplopoma,Anoplopoma fimbria,Anoplopoma fimbria,1,44,590,5090,2335061,2335062,Anoplopoma fimbria,y
Animalia,Chordata,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys stigmaeus,Citharichthys stigmaeus,1,44,588,5082,2408301,2408737,Citharichthys stigmaeus,y
Animalia,Chordata,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,1,44,538,7332,2346676,8351946,Clupea harengus,n
Animalia,Chordata,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii,1,44,538,7332,2346676,4284072,Clupea pallasii,y
Animalia,Chordata,Perciformes,Cryptacanthodidae,Cryptacanthodes,Cryptacanthodes giganteus,Cryptacanthodes giganteus,1,44,587,4264,2387403,2387407,Cryptacanthodes giganteus,y
Animalia,Chordata,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,Gadus chalcogrammus,1,44,549,3701,2335052,2415769,Gadus chalcogrammus,y
Animalia,Chordata,Gadiformes,Gadidae,Gadus,Gadus morhua,Gadus morhua,1,44,549,3701,2335052,8084280,Gadus morhua,n
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus stelleri,Glyptocephalus stelleri,1,44,588,8611,2409281,5213991,Glyptocephalus stelleri,n
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus zachirus,Glyptocephalus zachirus,1,44,588,8611,2409281,5214001,Glyptocephalus zachirus,y
Animalia,Chordata,Gadiformes,Merlucciidae,Merluccius,Merluccius productus,Merluccius productus,1,44,549,3703,2415629,2415676,Merluccius productus,y
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,1,44,1313,8615,2351426,5204037,Oncorhynchus gorbuscha,y
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus keta,Oncorhynchus keta,1,44,1313,8615,2351426,5204014,Oncorhynchus keta,y
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus kisutch,Oncorhynchus kisutch,1,44,1313,8615,2351426,5204034,Oncorhynchus kisutch,y
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus nerka,Oncorhynchus nerka,1,44,1313,8615,2351426,5204039,Oncorhynchus nerka,y
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus tshawytscha,Oncorhynchus tshawytscha,1,44,1313,8615,2351426,5204024,Oncorhynchus tshawytscha,y
Animalia,Chordata,Perciformes,Pholidae,Pholis,Pholis laeta,Pholis laeta,1,44,587,8576,2390397,5210424,Pholis laeta,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes alutus,Sebastes alutus,1,44,590,8633,2333712,2335557,Sebastes alutus,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes baramenuke,Sebastes baramenuke,1,44,590,8633,2333712,2335483,Sebastes baramenuke,n
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes caurinus,Sebastes caurinus,1,44,590,8633,2333712,2335455,Sebastes caurinus,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes cheni,Sebastes cheni,1,44,590,8633,2333712,4286373,Sebastes cheni,n
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes crameri,Sebastes crameri,1,44,590,8633,2333712,2335443,Sebastes crameri,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes entomelas,Sebastes entomelas,1,44,590,8633,2333712,2335516,Sebastes entomelas,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes joyneri,Sebastes joyneri,1,44,590,8633,2333712,2335451,Sebastes joyneri,n
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes maliger,Sebastes maliger,1,44,590,8633,2333712,2335438,Sebastes maliger,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes mystinus,Sebastes mystinus,1,44,590,8633,2333712,2335366,Sebastes mystinus,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes pachycephalus,Sebastes pachycephalus,1,44,590,8633,2333712,4286366,Sebastes pachycephalus,n
Animalia,Chordata,Osmeriformes,Osmeridae,Thaleichthys,Thaleichthys pacificus,Thaleichthys pacificus,1,44,1068,8480,2410902,2410903,Thaleichthys pacificus,y
Animalia,Chordata,Perciformes,Stichaeidae,Xiphister,Xiphister atropurpureus,Xiphister atropurpureus,1,44,587,8598,2394808,2394813,Xiphister atropurpureus,y
Animalia,Chordata,Perciformes,Stichaeidae,Xiphister,Xiphister mucosus,Xiphister mucosus,1,44,587,8598,2394808,2394809,Xiphister mucosus,y
