ASV,original_sample_name,value,level,LCT,class,order,family,genus,species,all_species
ASV1,E057,75175,species,Clupea pallasii,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV1,E003,42090,species,Clupea pallasii,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV1,E054,103212,species,Clupea pallasii,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV1,E002,63128,species,Clupea pallasii,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV1,E023,42084,species,Clupea pallasii,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV1,E052,4759,species,Clupea pallasii,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV1,E004,29077,species,Clupea pallasii,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV1,E001,20065,species,Clupea pallasii,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV1,E006,62379,species,Clupea pallasii,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV1,E049,53957,species,Clupea pallasii,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV1,E008,13917,species,Clupea pallasii,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV1,E039,34793,species,Clupea pallasii,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV1,E047,6674,species,Clupea pallasii,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV1,E022,110003,species,Clupea pallasii,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV1,E018,65231,species,Clupea pallasii,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV1,E019,51461,species,Clupea pallasii,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV1,E056,112232,species,Clupea pallasii,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV1,E028,47630,species,Clupea pallasii,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
