Alosa sapidissima,Anoplopoma fimbria,Citharichthys stigmaeus,Clupea pallasii,Cryptacanthodes giganteus,Gadus chalcogrammus,Glyptocephalus zachirus,Merluccius productus,Oncorhynchus gorbuscha,Oncorhynchus keta,Oncorhynchus kisutch,Oncorhynchus nerka,Oncorhynchus tshawytscha,Pholis laeta,Sebastes alutus,Sebastes caurinus/maliger,Sebastes crameri,Sebastes entomelas,Sebastes mystinus,Thaleichthys pacificus,Xiphister atropurpureus/mucosus
0,0,0,20065,0,14764,0,0,4120,0,0,39874,0,0,0,0,0,0,0,0,0
0,0,0,63128,0,56,0,8995,0,0,0,17184,0,0,36887,0,0,0,0,0,0
0,0,0,42090,0,66,0,0,0,0,0,0,0,0,96145,0,0,0,0,0,0
0,0,0,29077,0,75,0,9331,0,0,0,0,0,0,0,50970,0,0,0,0,0
0,0,0,42932,0,69,0,6618,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,62450,0,0,0,10315,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,44536,0,0,0,6281,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,13917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,38339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,35584,0,0,0,0,76060,0,0,0,0
0,0,0,36729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,65231,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0
0,7365,0,51461,0,0,0,9818,0,0,0,2896,0,0,0,0,0,0,0,0,0
0,0,0,74665,0,0,0,15506,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,110003,0,315,0,22138,0,0,0,0,0,0,0,0,0,574,0,0,0
0,0,0,42084,0,0,1619,10344,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,68195,0,0,0,4703,0,0,0,6196,0,0,0,0,0,0,0,0,0
0,0,0,111642,0,2088,1011,27373,0,0,0,0,0,0,0,0,0,613,0,0,0
0,0,0,49660,0,8218,0,13031,0,0,0,0,0,0,0,0,0,10420,0,0,0
0,0,15878,0,0,10285,537,0,0,0,0,0,0,0,0,0,0,7371,0,0,0
0,0,0,57203,0,15937,0,0,0,0,0,0,0,417,0,0,0,0,0,0,0
0,0,0,2647,0,0,5206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,17946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4713,0,0,0,1592,0,0,0,4078,0,0,0,0,0,550,0,0,0
0,0,0,0,0,0,0,0,0,0,0,24607,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,101538,0,0,0,0,0,0,0,0,0
0,0,0,0,0,390,0,0,0,0,0,117346,16117,0,0,0,0,0,0,0,0
0,0,5877,34793,0,0,10420,4126,0,0,0,16027,0,0,0,0,0,882,0,0,0
0,0,0,0,27849,30,436,0,0,0,46035,14136,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2347,0,0,0,0,0,0,0,0,0
0,0,2774,0,0,96668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,150127,0,6674,0,0,0,4051,25186,0,0,25972,0,0,0,0,0,0,0,0,0
0,26802,0,53957,0,0,880,15564,0,0,0,10423,0,950,0,0,0,0,0,0,0
0,0,0,0,0,28004,1612,0,3461,0,0,6558,0,0,13730,0,0,0,0,0,0
0,0,0,0,0,5326,132,0,0,0,41606,2724,0,0,8536,0,0,0,1480,0,0
619,1103,0,4759,0,6843,2058,0,0,4216,0,4140,0,0,14143,0,0,0,0,0,2863
0,0,0,104744,0,165,2971,16664,15469,1815,0,6153,0,0,24762,0,0,0,0,13002,1291
0,0,0,112232,0,0,835,14704,9526,0,0,6476,0,0,31850,0,0,0,0,9535,0
0,2012,0,75175,0,0,796,13263,18144,1634,0,4701,0,0,16560,0,0,0,0,7174,955
