original_sample_name,ASV1,ASV105,ASV11,ASV12,ASV120,ASV13,ASV136,ASV137,ASV14,ASV15,ASV16,ASV17,ASV18,ASV19,ASV2,ASV20,ASV207,ASV212,ASV23,ASV26,ASV27,ASV28,ASV29,ASV3,ASV32,ASV34,ASV37,ASV378,ASV4,ASV41,ASV433,ASV47,ASV5,ASV52,ASV542,ASV57,ASV592,ASV6,ASV638,ASV64,ASV7,ASV8,ASV81,ASV83,ASV88,ASV9,ASV96
E001,20065,0,0,0,0,0,0,0,0,0,0,0,0,0,14764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39874,0,4120,0,0,0
E002,63128,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,8995,0,0,0,0,0,0,0,0,0,0,0,0,0,36887,0,0,0,17184,0,0,0,0,0
E003,42090,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96145,23,0,0,0,0,0,0,0,0
E004,29077,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,50970,0,0,0,0,9331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E005,42932,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,6618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E006,62379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10315,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0
E007,44536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E008,13917,2549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E011,38339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E014,0,0,0,0,0,0,0,0,0,0,0,76060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E017,112262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26445,0,0,0,0,0,0,0,24712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E018,140764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,27562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E019,51461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9818,0,0,0,0,2896,0,0,0,0,0,0,0,0,0,0,0,7365,0,0,0,0,0,0
E020,74665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E022,56428,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
