original_sample_name,query,asv_read_index,asv_read_raw,asv_pa
E001,ASV1,0.25455767986501404,20065,1
E001,ASV11,0,0,0
E001,ASV12,0,0,0
E001,ASV13,0,0,0
E001,ASV14,0,0,0
E001,ASV15,0,0,0
E001,ASV16,0,0,0
E001,ASV17,0,0,0
E001,ASV18,0,0,0
E001,ASV19,0,0,0
E001,ASV2,0.3590749930736242,14764,1
E001,ASV20,0,0,0
E001,ASV212,0,0,0
E001,ASV23,0,0,0
E001,ASV26,0,0,0
E001,ASV28,0,0,0
E001,ASV3,0,0,0
E001,ASV34,0,0,0
E001,ASV37,0,0,0
E001,ASV378,0,0,0
E001,ASV4,0,0,0
E001,ASV41,0,0,0
E001,ASV433,0,0,0
E001,ASV47,0,0,0
E001,ASV5,0,0,0
E001,ASV52,0,0,0
E001,ASV542,0,0,0
E001,ASV57,0,0,0
E001,ASV592,0,0,0
E001,ASV6,0,0,0
E001,ASV64,0,0,0
E001,ASV7,0,0,0
E001,ASV8,1,39874,1
E001,ASV9,0,0,0
E002,ASV1,0.5000237623762376,63128,1
E002,ASV11,0,0,0
E002,ASV12,0,0,0
E002,ASV13,0,0,0
E002,ASV14,0,0,0
E002,ASV15,0,0,0
E002,ASV16,0,0,0
E002,ASV17,0,0,0
E002,ASV18,0,0,0
E002,ASV19,0,0,0
E002,ASV2,8.503363107083421e-4,56,1
E002,ASV20,0,0,0
E002,ASV212,0,0,0
E002,ASV23,0,0,0
E002,ASV26,0,0,0
E002,ASV28,0,0,0
E002,ASV3,0.37543877051644076,8995,1
E002,ASV34,0,0,0
E002,ASV37,0,0,0
E002,ASV378,0,0,0
E002,ASV4,0,0,0
E002,ASV41,0,0,0
E002,ASV433,0,0,0
E002,ASV47,0,0,0
E002,ASV5,0,0,0
E002,ASV52,0,0,0
E002,ASV542,0,0,0
E002,ASV57,0,0,0
E002,ASV592,0,0,0
E002,ASV6,0.4202817824768592,36887,1
E002,ASV64,0,0,0
E002,ASV7,0,0,0
E002,ASV8,0.2690642716636613,17184,1
E002,ASV9,0,0,0
E003,ASV1,0.30433619424299174,42090,1
E003,ASV11,0,0,0
E003,ASV12,0,0,0
E003,ASV13,0,0,0
E003,ASV14,0,0,0
E003,ASV15,0,0,0
E003,ASV16,0,0,0
E003,ASV17,0,0,0
E003,ASV18,0,0,0
E003,ASV19,0,0,0
E003,ASV2,9.148559132638826e-4,66,1
E003,ASV20,0,0,0
E003,ASV212,0,0,0
E003,ASV23,0,0,0
E003,ASV26,0,0,0
E003,ASV28,0,0,0
E003,ASV3,0,0,0
E003,ASV34,0,0,0
E003,ASV37,0,0,0
E003,ASV378,0,0,0
E003,ASV4,0,0,0
E003,ASV41,0,0,0
E003,ASV433,0,0,0
E003,ASV47,0,0,0
E003,ASV5,0,0,0
E003,ASV52,0,0,0
E003,ASV542,0,0,0
E003,ASV57,0,0,0
E003,ASV592,0,0,0
E003,ASV6,1,96145,1
E003,ASV64,0,0,0
E003,ASV7,0,0,0
E003,ASV8,0,0,0
E003,ASV9,0,0,0
E004,ASV1,0.32505337998725586,29077,1
E004,ASV11,0,0,0
E004,ASV12,0,0,0
E004,ASV13,0,0,0
E004,ASV14,0,0,0
E004,ASV15,0,0,0
E004,ASV16,0,0,0
E004,ASV17,0,0,0
E004,ASV18,0,0,0
E004,ASV19,0,0,0
E004,ASV2,0.0016073129269040755,75,1
E004,ASV20,0,0,0
E004,ASV212,0,0,0
E004,ASV23,1,50970,1
E004,ASV26,0,0,0
E004,ASV28,0,0,0
E004,ASV3,0.5496707375855613,9331,1
E004,ASV34,0,0,0
E004,ASV37,0,0,0
E004,ASV378,0,0,0
E004,ASV4,0,0,0
E004,ASV41,0,0,0
E004,ASV433,0,0,0
E004,ASV47,0,0,0
E004,ASV5,0,0,0
E004,ASV52,0,0,0
E004,ASV542,0,0,0
E004,ASV57,0,0,0
E004,ASV592,0,0,0
E004,ASV6,0,0,0
E004,ASV64,0,0,0
E004,ASV7,0,0,0
E004,ASV8,0,0,0
E004,ASV9,0,0,0
E005,ASV1,0.8652330760394203,42932,1
E005,ASV11,0,0,0
E005,ASV12,0,0,0
E005,ASV13,0,0,0
E005,ASV14,0,0,0
E005,ASV15,0,0,0
E005,ASV16,0,0,0
E005,ASV17,0,0,0
E005,ASV18,0,0,0
E005,ASV19,0,0,0
E005,ASV2,0.0026658466754735533,69,1
E005,ASV20,0,0,0
E005,ASV212,0,0,0
E005,ASV23,0,0,0
E005,ASV26,0,0,0
E005,ASV28,0,0,0
E005,ASV3,0.7028264438698769,6618,1
E005,ASV34,0,0,0
E005,ASV37,0,0,0
E005,ASV378,0,0,0
E005,ASV4,0,0,0
E005,ASV41,0,0,0
E005,ASV433,0,0,0
E005,ASV47,0,0,0
E005,ASV5,0,0,0
E005,ASV52,0,0,0
E005,ASV542,0,0,0
E005,ASV57,0,0,0
E005,ASV592,0,0,0
E005,ASV6,0,0,0
E005,ASV64,0,0,0
E005,ASV7,0,0,0
E005,ASV8,0,0,0
E005,ASV9,0,0,0
E006,ASV1,0.8572665429808287,62379,1
E006,ASV11,0,0,0
E006,ASV12,0,0,0
E006,ASV13,0,0,0
E006,ASV14,0,0,0
E006,ASV15,0,0,0
E006,ASV16,0,0,0
E006,ASV17,0,0,0
E006,ASV18,0,0,0
E006,ASV19,0,0,0
E006,ASV2,0,0,0
E006,ASV20,0,0,0
E006,ASV212,0,0,0
E006,ASV23,0,0,0
E006,ASV26,0,0,0
E006,ASV28,0,0,0
E006,ASV3,0.7469921479346825,10315,1
E006,ASV34,0,0,0
E006,ASV37,0,0,0
E006,ASV378,0,0,0
E006,ASV4,0,0,0
E006,ASV41,0,0,0
E006,ASV433,0,0,0
E006,ASV47,0,0,0
E006,ASV5,0,0,0
E006,ASV52,0,0,0
E006,ASV542,1,71,1
E006,ASV57,0,0,0
E006,ASV592,0,0,0
E006,ASV6,0,0,0
E006,ASV64,0,0,0
E006,ASV7,0,0,0
E006,ASV8,0,0,0
E006,ASV9,0,0,0
E007,ASV1,0.8763996300450636,44536,1
E007,ASV11,0,0,0
E007,ASV12,0,0,0
E007,ASV13,0,0,0
E007,ASV14,0,0,0
E007,ASV15,0,0,0
E007,ASV16,0,0,0
E007,ASV17,0,0,0
E007,ASV18,0,0,0
E007,ASV19,0,0,0
E007,ASV2,0,0,0
E007,ASV20,0,0,0
E007,ASV212,0,0,0
E007,ASV23,0,0,0
E007,ASV26,0,0,0
E007,ASV28,0,0,0
E007,ASV3,0.6513120433653573,6281,1
E007,ASV34,0,0,0
E007,ASV37,0,0,0
E007,ASV378,0,0,0
E007,ASV4,0,0,0
E007,ASV41,0,0,0
E007,ASV433,0,0,0
E007,ASV47,0,0,0
E007,ASV5,0,0,0
E007,ASV52,0,0,0
E007,ASV542,0,0,0
E007,ASV57,0,0,0
E007,ASV592,0,0,0
E007,ASV6,0,0,0
E007,ASV64,0,0,0
E007,ASV7,0,0,0
E007,ASV8,0,0,0
E007,ASV9,0,0,0
E008,ASV1,0.8451961617879267,13917,1
E008,ASV11,0,0,0
E008,ASV12,0,0,0
E008,ASV13,0,0,0
E008,ASV14,0,0,0
E008,ASV15,0,0,0
E008,ASV16,0,0,0
E008,ASV17,0,0,0
E008,ASV18,0,0,0
E008,ASV19,0,0,0
E008,ASV2,0,0,0
E008,ASV20,0,0,0
E008,ASV212,0,0,0
E008,ASV23,0,0,0
E008,ASV26,0,0,0
E008,ASV28,0,0,0
E008,ASV3,0,0,0
E008,ASV34,0,0,0
E008,ASV37,0,0,0
E008,ASV378,0,0,0
E008,ASV4,0,0,0
E008,ASV41,0,0,0
E008,ASV433,0,0,0
E008,ASV47,0,0,0
E008,ASV5,0,0,0
E008,ASV52,0,0,0
E008,ASV542,0,0,0
E008,ASV57,0,0,0
E008,ASV592,0,0,0
E008,ASV6,0,0,0
E008,ASV64,0,0,0
E008,ASV7,0,0,0
E008,ASV8,0,0,0
E008,ASV9,0,0,0
E011,ASV1,1,38339,1
E011,ASV11,0,0,0
E011,ASV12,0,0,0
E011,ASV13,0,0,0
E011,ASV14,0,0,0
E011,ASV15,0,0,0
E011,ASV16,0,0,0
E011,ASV17,0,0,0
E011,ASV18,0,0,0
E011,ASV19,0,0,0
E011,ASV2,0,0,0
E011,ASV20,0,0,0
E011,ASV212,0,0,0
E011,ASV23,0,0,0
E011,ASV26,0,0,0
E011,ASV28,0,0,0
E011,ASV3,0,0,0
E011,ASV34,0,0,0
E011,ASV37,0,0,0
E011,ASV378,0,0,0
E011,ASV4,0,0,0
E011,ASV41,0,0,0
E011,ASV433,0,0,0
E011,ASV47,0,0,0
E011,ASV5,0,0,0
E011,ASV52,0,0,0
E011,ASV542,0,0,0
E011,ASV57,0,0,0
E011,ASV592,0,0,0
E011,ASV6,0,0,0
E011,ASV64,0,0,0
E011,ASV7,0,0,0
E011,ASV8,0,0,0
E011,ASV9,0,0,0
E014,ASV1,0,0,0
E014,ASV11,0,0,0
E014,ASV12,0,0,0
E014,ASV13,0,0,0
E014,ASV14,0,0,0
E014,ASV15,0,0,0
E014,ASV16,0,0,0
E014,ASV17,1,76060,1
E014,ASV18,0,0,0
E014,ASV19,0,0,0
E014,ASV2,0,0,0
E014,ASV20,0,0,0
E014,ASV212,0,0,0
E014,ASV23,0,0,0
E014,ASV26,0,0,0
E014,ASV28,0,0,0
E014,ASV3,0,0,0
E014,ASV34,0,0,0
E014,ASV37,0,0,0
E014,ASV378,0,0,0
E014,ASV4,0.31872738346888324,35584,1
E014,ASV41,0,0,0
E014,ASV433,0,0,0
E014,ASV47,0,0,0
E014,ASV5,0,0,0
E014,ASV52,0,0,0
E014,ASV542,0,0,0
E014,ASV57,0,0,0
E014,ASV592,0,0,0
E014,ASV6,0,0,0
E014,ASV64,0,0,0
E014,ASV7,0,0,0
E014,ASV8,0,0,0
E014,ASV9,0,0,0
E017,ASV1,0.5813942444676607,36729,1
E017,ASV11,0,0,0
E017,ASV12,0,0,0
E017,ASV13,0,0,0
E017,ASV14,0,0,0
E017,ASV15,0,0,0
E017,ASV16,0,0,0
E017,ASV17,0,0,0
E017,ASV18,0,0,0
E017,ASV19,0,0,0
E017,ASV2,0,0,0
E017,ASV20,1,26445,1
E017,ASV212,0,0,0
E017,ASV23,0,0,0
E017,ASV26,0,0,0
E017,ASV28,0,0,0
E017,ASV3,0,0,0
E017,ASV34,0,0,0
E017,ASV37,0,0,0
E017,ASV378,0,0,0
E017,ASV4,0,0,0
E017,ASV41,0,0,0
E017,ASV433,0,0,0
E017,ASV47,0,0,0
E017,ASV5,0,0,0
E017,ASV52,0,0,0
E017,ASV542,0,0,0
E017,ASV57,0,0,0
E017,ASV592,0,0,0
E017,ASV6,0,0,0
E017,ASV64,0,0,0
E017,ASV7,0,0,0
E017,ASV8,0,0,0
E017,ASV9,0,0,0
E018,ASV1,0.9964712352204332,65231,1
E018,ASV11,0,0,0
E018,ASV12,0,0,0
E018,ASV13,0,0,0
E018,ASV14,0,0,0
E018,ASV15,0,0,0
E018,ASV16,0,0,0
E018,ASV17,0,0,0
E018,ASV18,0,0,0
E018,ASV19,0,0,0
E018,ASV2,0,0,0
E018,ASV20,0,0,0
E018,ASV212,0,0,0
E018,ASV23,0,0,0
E018,ASV26,0,0,0
E018,ASV28,0,0,0
E018,ASV3,0,0,0
E018,ASV34,0,0,0
E018,ASV37,0,0,0
E018,ASV378,0,0,0
E018,ASV4,0,0,0
E018,ASV41,0,0,0
E018,ASV433,0,0,0
E018,ASV47,0,0,0
E018,ASV5,0,0,0
E018,ASV52,0,0,0
E018,ASV542,0,0,0
E018,ASV57,0,0,0
E018,ASV592,0,0,0
E018,ASV6,0,0,0
E018,ASV64,0,0,0
E018,ASV7,0,0,0
E018,ASV8,0,0,0
E018,ASV9,0,0,0
E019,ASV1,0.7193318423259715,51461,1
E019,ASV11,0,0,0
E019,ASV12,0,0,0
E019,ASV13,0,0,0
E019,ASV14,0,0,0
E019,ASV15,0,0,0
E019,ASV16,0,0,0
E019,ASV17,0,0,0
E019,ASV18,0,0,0
E019,ASV19,0,0,0
E019,ASV2,0,0,0
E019,ASV20,0,0,0
E019,ASV212,0,0,0
E019,ASV23,0,0,0
E019,ASV26,0,0,0
E019,ASV28,0,0,0
E019,ASV3,0.7231750429290852,9818,1
E019,ASV34,0,0,0
E019,ASV37,0,0,0
E019,ASV378,0,0,0
E019,ASV4,0.040480849874196256,2896,1
E019,ASV41,0,0,0
E019,ASV433,0,0,0
E019,ASV47,0,0,0
E019,ASV5,0,0,0
E019,ASV52,0,0,0
E019,ASV542,0,0,0
E019,ASV57,0,0,0
E019,ASV592,0,0,0
E019,ASV6,0,0,0
E019,ASV64,0,0,0
E019,ASV7,0.1453855873278805,7365,1
E019,ASV8,0,0,0
E019,ASV9,0,0,0
E020,ASV1,0.8280378392165996,74665,1
E020,ASV11,0,0,0
E020,ASV12,0,0,0
E020,ASV13,0,0,0
E020,ASV14,0,0,0
E020,ASV15,0,0,0
E020,ASV16,0,0,0
E020,ASV17,0,0,0
E020,ASV18,0,0,0
E020,ASV19,0,0,0
E020,ASV2,0,0,0
E020,ASV20,0,0,0
E020,ASV212,0,0,0
E020,ASV23,0,0,0
E020,ASV26,0,0,0
E020,ASV28,0,0,0
E020,ASV3,0.9061544586168576,15506,1
E020,ASV34,0,0,0
E020,ASV37,0,0,0
E020,ASV378,0,0,0
E020,ASV4,0,0,0
E020,ASV41,0,0,0
E020,ASV433,0,0,0
E020,ASV47,0,0,0
E020,ASV5,0,0,0
E020,ASV52,0,0,0
E020,ASV542,0,0,0
E020,ASV57,0,0,0
E020,ASV592,0,0,0
E020,ASV6,0,0,0
E020,ASV64,0,0,0
E020,ASV7,0,0,0
E020,ASV8,0,0,0
E020,ASV9,0,0,0
E022,ASV1,0.826903705930993,110003,1
E022,ASV11,0,0,0
E022,ASV12,0,0,0
E022,ASV13,0,0,0
E022,ASV14,0,0,0
E022,ASV15,0,0,0
E022,ASV16,0,0,0
E022,ASV17,0,0,0
E022,ASV18,0,0,0
E022,ASV19,0,0,0
E022,ASV2,0,0,0
E022,ASV20,0,0,0
E022,ASV212,0,0,0
E022,ASV23,0,0,0
E022,ASV26,0,0,0
E022,ASV28,0,0,0
E022,ASV3,0.876916274481703,22138,1
E022,ASV34,0,0,0
E022,ASV37,0,0,0
E022,ASV378,0,0,0
