set_number,LCT,set_read_index,species_pa,depth,north_south
1,Clupea pallasii,29.2772429491729,1,50,N
1,Gadus/chalcogrammus,4.05587664672734,1,50,N
1,Merluccius productus,1.11448640616811,1,50,N
1,Oncorhynchus gorbuscha,2.4270173472183,1,50,N
1,Oncorhynchus kisutch,5.0644826446411,1,50,N
1,Oncorhynchus nerka,5.92207948771161,1,50,N
1,Sebastes alutus,1.26084534743058,1,50,N
1,Squalus suckleyi,7.88437572565519,1,50,N
1,Thaleichthys pacificus,4.19950020824656,1,50,N
10,Clupea pallasii,25.7594438854843,1,80,S
10,Merluccius productus,2.27776392309302,1,80,S
10,Oncorhynchus nerka,8.23799506082502,1,80,S
10,Sebastes entomelas,0.69759452819912,1,80,S
10,Thaleichthys pacificus,9.65222141296431,1,80,S
11,Alosa sapidissima,0.00924327105137603,1,5,S
11,Clupea pallasii,19.6835537109479,1,5,S
11,Clupea pallasii,19.6835537109479,1,200,S
11,Gadus/chalcogrammus,1.47910245474711,1,5,S
11,Glyptocephalus zachirus,0.0210372483771962,1,5,S
11,Merluccius productus,13.8159848117377,1,200,S
11,Merluccius productus,13.8159848117377,1,5,S
11,Oncorhynchus nerka,17.2600688815342,1,200,S
11,Oncorhynchus nerka,17.2600688815342,1,5,S
11,Oncorhynchus tshawytscha,3,1,5,S
11,Squalus suckleyi,2.16322092861017,1,5,S
11,Thaleichthys pacificus,0.102208269416004,1,5,S
12,Alosa sapidissima,0.277052556963114,1,5,S
12,Alosa sapidissima,0.277052556963114,1,25,S
12,Anoplopoma fimbria,0.578337801786457,1,5,S
12,Citharichthys stigmaeus,0.524541920706915,1,25,S
12,Clupea pallasii,20.4581868599338,1,25,S
12,Cryptacanthodes giganteus,3,1,5,S
12,Gadus/chalcogrammus,0.00732408039945875,1,5,S
12,Glyptocephalus zachirus,2.02824712474726,1,25,S
12,Glyptocephalus zachirus,2.02824712474726,1,5,S
12,Merluccius productus,0.894846187602415,1,25,S
12,Oncorhynchus gorbuscha,6,1,25,S
12,Oncorhynchus kisutch,2.24341235328162,1,5,S
12,Oncorhynchus nerka,5.99242404620473,1,5,S
12,Oncorhynchus nerka,5.99242404620473,1,25,S
12,Sebastes entomelas,0.169575256632449,1,25,S
12,Squalus suckleyi,5.63627015166444,1,25,S
12,Squalus suckleyi,5.63627015166444,1,5,S
12,Thaleichthys pacificus,8.27312776538787,1,25,S
12,Thaleichthys pacificus,8.27312776538787,1,5,S
13,Alosa sapidissima,0.541733539068104,1,5,S
13,Citharichthys stigmaeus,0.179575441975165,1,5,S
13,Gadus/chalcogrammus,21,1,5,S
13,Glyptocephalus zachirus,0.869452547761368,1,5,S
13,Merluccius productus,1.81595064686403,1,160,S
13,Microstomus pacificus,3,1,160,S
13,Oncorhynchus nerka,10.6268554271902,1,160,S
13,Oncorhynchus nerka,10.6268554271902,1,5,S
13,Squalus suckleyi,26.7988178884982,1,160,S
13,Squalus suckleyi,26.7988178884982,1,5,S
13,Thaleichthys pacificus,0.997239094422971,1,5,S
14,Anoplopoma fimbria,18.1689547162842,1,80,S
14,Beringraja binoculata,3,1,80,S
14,Clupea pallasii,35.9378635403364,1,80,S
14,Glyptocephalus zachirus,0.110032955241402,1,80,S
14,Leptoclinus maculatus,3,1,80,S
14,Merluccius productus,2.7736052609695,1,80,S
14,Oncorhynchus gorbuscha,5.51609170252277,1,80,S
14,Oncorhynchus nerka,1.8124772200583,1,80,S
14,Pholis laeta,3,1,80,S
14,Phytichthys chirus,2.40122442952034,1,80,S
14,Sebastes crameri,5.2765153179897,1,80,S
14,Sebastes mystinus,3,1,80,S
14,Squalus suckleyi,0.028710905371326,1,80,S
