set_number,LCT,set_read_index,north_south,site,marker_type,depth
1,Clupea pallasii,0.271085582862712,N,50_JS_1,E,50
1,Clupea pallasii,0.271085582862712,N,50_JS_1,U,50
1,Gadus/chalcogrammus,0.0965684915887462,N,50_JS_1,U,50
1,Merluccius productus,0.371495468722702,N,50_JS_1,U,50
1,Oncorhynchus gorbuscha,0.404502891203051,N,50_JS_1,U,50
1,Oncorhynchus kisutch,0.844080440773517,N,50_JS_1,E,50
1,Oncorhynchus nerka,0.329004415983978,N,50_JS_1,E,50
1,Oncorhynchus nerka,0.329004415983978,N,50_JS_1,U,50
1,Sebastes alutus,0.420281782476859,N,50_JS_1,U,50
1,Squalus suckleyi,0.164257827617817,N,50_JS_1,E,50
1,Thaleichthys pacificus,0.466611134249618,N,50_JS_1,E,50
10,Clupea pallasii,0.71554010793012,S,80_JF_10,U,80
10,Merluccius productus,0.759254641031006,S,80_JF_10,U,80
10,Oncorhynchus nerka,0.686499588402085,S,80_JF_10,E,80
10,Oncorhynchus nerka,0.686499588402085,S,80_JF_10,U,80
10,Sebastes entomelas,0.232531509399707,S,80_JF_10,U,80
10,Thaleichthys pacificus,0.536234522942462,S,80_JF_10,E,80
11,Alosa sapidissima,0.00308109035045868,S,5_JF_11,E,5
11,Clupea pallasii,0.182255126953221,S,5_JF_11,E,5
11,Clupea pallasii,0.182255126953221,S,200_JF_11,E,200
11,Gadus/chalcogrammus,0.0448212865074883,S,5_JF_11,E,5
11,Gadus/chalcogrammus,0.0448212865074883,S,5_JF_11,U,5
11,Glyptocephalus zachirus,0.00233747204191069,S,5_JF_11,E,5
11,Merluccius productus,0.767554711763206,S,200_JF_11,E,200
11,Merluccius productus,0.767554711763206,S,5_JF_11,E,5
11,Oncorhynchus nerka,0.95889271564079,S,200_JF_11,U,200
11,Oncorhynchus nerka,0.95889271564079,S,5_JF_11,U,5
11,Oncorhynchus tshawytscha,1,S,5_JF_11,U,5
11,Squalus suckleyi,0.0901342053587571,S,5_JF_11,E,5
11,Thaleichthys pacificus,0.011356474379556,S,5_JF_11,E,5
12,Alosa sapidissima,0.046175426160519,S,5_JF_12,E,5
12,Alosa sapidissima,0.046175426160519,S,25_JF_12,E,25
12,Anoplopoma fimbria,0.0642597557540508,S,5_JF_12,E,5
12,Citharichthys stigmaeus,0.174847306902305,S,25_JF_12,U,25
12,Clupea pallasii,0.378855312220997,S,25_JF_12,E,25
12,Clupea pallasii,0.378855312220997,S,25_JF_12,U,25
12,Cryptacanthodes giganteus,1,S,5_JF_12,U,5
12,Gadus/chalcogrammus,0.00034876573330756,S,5_JF_12,U,5
12,Glyptocephalus zachirus,0.112680395819292,S,25_JF_12,U,25
12,Glyptocephalus zachirus,0.112680395819292,S,5_JF_12,U,5
12,Merluccius productus,0.298282062534138,S,25_JF_12,U,25
12,Oncorhynchus gorbuscha,1,S,25_JF_12,E,25
12,Oncorhynchus kisutch,0.747804117760539,S,5_JF_12,U,5
12,Oncorhynchus nerka,0.332912447011374,S,5_JF_12,U,5
12,Oncorhynchus nerka,0.332912447011374,S,5_JF_12,E,5
12,Oncorhynchus nerka,0.332912447011374,S,25_JF_12,U,25
12,Sebastes entomelas,0.0565250855441497,S,25_JF_12,U,25
12,Squalus suckleyi,0.0782815298842283,S,25_JF_12,E,25
12,Squalus suckleyi,0.0782815298842283,S,5_JF_12,E,5
12,Thaleichthys pacificus,0.459618209188215,S,25_JF_12,E,25
12,Thaleichthys pacificus,0.459618209188215,S,5_JF_12,E,5
13,Alosa sapidissima,0.180577846356035,S,5_JF_13,E,5
13,Citharichthys stigmaeus,0.0598584806583882,S,5_JF_13,U,5
13,Gadus/chalcogrammus,1,S,5_JF_13,U,5
13,Glyptocephalus zachirus,0.096605838640152,S,5_JF_13,E,5
13,Merluccius productus,0.302658441144004,S,160_JF_13,E,160
13,Microstomus pacificus,1,S,160_JF_13,E,160
13,Oncorhynchus nerka,0.885571285599187,S,160_JF_13,U,160
13,Oncorhynchus nerka,0.885571285599187,S,5_JF_13,E,5
13,Squalus suckleyi,0.558308706010379,S,160_JF_13,E,160
13,Squalus suckleyi,0.558308706010379,S,5_JF_13,E,5
13,Thaleichthys pacificus,0.110804343824775,S,5_JF_13,E,5
14,Anoplopoma fimbria,0.757039779845175,S,80_SB_14,E,80
14,Anoplopoma fimbria,0.757039779845175,S,80_SB_14,U,80
14,Beringraja binoculata,1,S,80_SB_14,E,80
14,Clupea pallasii,0.332757995743856,S,80_SB_14,U,80
14,Clupea pallasii,0.332757995743856,S,80_SB_14,E,80
