sample_name,original_sample_name,project_name,lat,lon,date,time_of_sample,time_of_filter,type,depth,area,set_number,volume_l,notes1,notes2,site,north_south
1,E001,Trawl_2018,50 32.200,126 43.868,2018.08.01,11:20:00 AM,1:20:00 PM,trawl,50,JS,1,1,All trawl sample lat and longs provided by Mei.,Cube container and funnel used on deck.,50_JS_1,N
2,E002,Trawl_2018,50 32.200,126 43.868,2018.08.01,11:20:00 AM,1:20:00 PM,trawl,50,JS,1,0.95,,Cube container and funnel used on deck.,50_JS_1,N
3,E003,Trawl_2018,50 29.674,126 30.100,2018.08.01,5:09:00 PM,5:58:00 PM,trawl,120,JS,2,1,,,120_JS_2,N
4,E004,Trawl_2018,50 29.674,126 30.100,2018.08.01,5:09:00 PM,5:58:00 PM,trawl,120,JS,2,1,,,120_JS_2,N
5,E005,Trawl_2018,50 41.951,126 53.850,2018.08.02,7:47:00 AM,9:10:00 AM,trawl,100,MI,3,0.95,,Nalgene not rinsed with sample water first.,100_MI_3,N
6,E006,Trawl_2018,50 41.951,126 53.850,2018.08.02,7:47:00 AM,9:10:00 AM,trawl,100,MI,3,0.95,,Nalgene not rinsed with sample water first.,100_MI_3,N
7,E007,Trawl_2018,50 41.252,126 56.985,2018.08.02,10:14:00 AM,12:50:00 PM,trawl,115,MI,4,1,,,115_MI_4,N
8,E008,Trawl_2018,50 41.252,126 56.985,2018.08.02,10:14:00 AM,12:50:00 PM,trawl,115,MI,4,1,,,115_MI_4,N
9,E009,Trawl_2018,NA,NA,2018.08.02,NA,12:50:00 PM,control,NA,MI,4,1,,Nalgene filled just before filtering samples.,NA_MI_4,N
10,E010,Trawl_2018,50 31.784,126 38.981,2018.08.03,8:30:00 AM,9:03:00 AM,trawl,100,JS,5,1.01,,,100_JS_5,N
11,E011,Trawl_2018,50 31.784,126 38.981,2018.08.03,8:30:00 AM,9:03:00 AM,trawl,100,JS,5,1.01,,,100_JS_5,N
12,E012,Trawl_2018,50 30.360,126 20.633,2018.08.04,10:04:00 AM,10:30:00 AM,trawl,125,JS,6,1.01,,,125_JS_6,N
13,E013,Trawl_2018,50 30.360,126 20.633,2018.08.04,10:04:00 AM,10:30:00 AM,trawl,125,JS,6,1.01,,,125_JS_6,N
14,E014,Trawl_2018,50 28.976,126 16.783,2018.08.04,1:27:00 PM,2:09:00 PM,trawl,140,JS,7,0.99,,After 10% bleach rinsed ends of tubing with ddH20 before ddH2O tube rinsing.,140_JS_7,N
15,E015,Trawl_2018,50 28.976,126 16.783,2018.08.04,1:27:00 PM,2:09:00 PM,trawl,140,JS,7,1.01,,After 10% bleach rinsed ends of tubing with ddH20 before ddH2O tube rinsing.,140_JS_7,N
16,E016,Trawl_2018,NA,NA,2018.08.04,NA,2:09:00 PM,control,NA,JS,7,1.01,,After 10% bleach rinsed ends of tubing with ddH20 before ddH2O tube rinsing.,NA_JS_7,N
17,E017,Trawl_2018,48 16.472,123 42.230,2018.08.08,8:31:00 AM,9:30:00 AM,trawl,80,JF,8,1,,New whirl-pak protocol started - All samples going forward - ran pump until 200 ml sample water ran through tubing,80_JF_8,S
