species,method
Clupea pallasii,both
Sebastes entomelas,trawl
Diaphus theta,trawl
Thaleichthys pacificus,both
Sebastes flavidus,trawl
Spirinchus starksi,trawl
Mallotus villosus,trawl
Merluccius productus,both
Oncorhynchus kisutch,both
Anoplopoma fimbria,both
Oncorhynchus tshawytscha,trawl
Parophrys vetulus,trawl
Reinhardtius hippoglossoides,both
Entosphenus tridentatus,trawl
Oncorhynchus keta,both
Engraulis mordax,trawl
Oncorhynchus gorbuscha,both
Allosmerus elongatus,trawl
Alosa sapidissima,trawl
Clinocottus acuticeps,eDNA
Oncorhynchus nerka,eDNA
Squalus suckleyi,both
Gadus/chalcogrammus,both
Phytichthys chirus,eDNA
Glyptocephalus zachirus,eDNA
Microstomus pacificus,eDNA
Sebastes mystinus,eDNA
Cymatogaster aggregata,eDNA
Leptoclinus maculatus,eDNA
Sebastes crameri,eDNA
Eopsetta jordani,eDNA
Hippoglossoides elassodon,eDNA
Sebastes alutus,eDNA
Sebastes caurinus/maliger,eDNA
Sebastes sp,trawl
Corphaenidoes sp,trawl
