set_number,LCT,gamma_detection_method,alpha_detection_method,beta_detection_method,set_read_index,weight_total_kg,pabs_trawl,p_abs_eDNA,kingdom,phylum,class,order,family,genus,environment,depth_range_min,depth_range_max,max_length_cm,common_length_cm,in_range,habitat,depth_trawl,depth_eDNA,Jac,Jac_turn,Jac_nest,Sor_turn,Sor_nest,depth_difference
1,Gadus/chalcogrammus,both eDNA/trawl,only eDNA,both eDNA/trawl,4.05587664672734,0,0,1,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,benthopelagic,NA,1280,91,NA,y,benthopelagic,50,50,0.888888888888889,0,0.8888888888888888,0,0.8,0
1,Squalus suckleyi,both eDNA/trawl,only eDNA,both eDNA/trawl,7.88437572565519,0,0,1,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,benthopelagic,15,1244,140,NA,y,benthopelagic,50,50,0.888888888888889,0,0.8888888888888888,0,0.8,0
1,Merluccius productus,both eDNA/trawl,only eDNA,both eDNA/trawl,1.11448640616811,0,0,1,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,pelagic_neritic,0,1000,91,NA,y,pelagic,50,50,0.888888888888889,0,0.8888888888888888,0,0.8,0
1,Oncorhynchus nerka,only eDNA,only eDNA,only eDNA,5.92207948771161,0,0,1,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,pelagic_oceanic,0,250,84,45,y,pelagic,50,50,0.888888888888889,0,0.8888888888888888,0,0.8,0
1,Oncorhynchus gorbuscha,both eDNA/trawl,only eDNA,only eDNA,2.4270173472183,0,0,1,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,demersal,0,250,76,NA,y,demersal,50,50,0.888888888888889,0,0.8888888888888888,0,0.8,0
1,Clupea pallasii,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,29.2772429491729,0.028,1,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pelagic_neritic,0,475,46,25,y,pelagic,50,50,0.888888888888889,0,0.8888888888888888,0,0.8,0
1,Sebastes alutus,only eDNA,only eDNA,only eDNA,1.26084534743058,0,0,1,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,bathydemersal,0,825,53,NA,y,bathydemersal,50,50,0.888888888888889,0,0.8888888888888888,0,0.8,0
1,Oncorhynchus kisutch,both eDNA/trawl,only eDNA,both eDNA/trawl,5.0644826446411,0,0,1,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,pelagic,0,250,108,71,y,pelagic,50,50,0.888888888888889,0,0.8888888888888888,0,0.8,0
1,Thaleichthys pacificus,both eDNA/trawl,only eDNA,both eDNA/trawl,4.19950020824656,0,0,1,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,pelagic_neritic,0,300,34,20,y,pelagic,50,50,0.888888888888889,0,0.8888888888888888,0,0.8,0
2,Sebastes caurinus/maliger,only eDNA,only eDNA,only eDNA,3,0,0,1,Animalia,Chordata,Teleostei,Scorpaeniformes,Scorpaenidae,Sebastes,demersal,5,228.5,59.5,NA,y,demersal,120,120,0.7777777777777778,0.75,0.027777777777777776,0.6,0.03636363636363636,0
2,Sebastes flavidus,only trawl,only trawl,only trawl,0,10.15,1,0,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,reef_associated,0,549,66,NA,y,reef_associated,120,120,0.7777777777777778,0.75,0.027777777777777776,0.6,0.03636363636363636,0
2,Squalus suckleyi,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,0.482168279642491,1.718,1,1,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,benthopelagic,15,1244,140,NA,y,benthopelagic,120,120,0.7777777777777778,0.75,0.027777777777777776,0.6,0.03636363636363636,0
2,Sebastes alutus,only eDNA,only eDNA,only eDNA,6,0,0,1,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,bathydemersal,0,825,53,NA,y,bathydemersal,120,120,0.7777777777777778,0.75,0.027777777777777776,0.6,0.03636363636363636,0
2,Thaleichthys pacificus,both eDNA/trawl,only trawl,both eDNA/trawl,0,0.18,1,0,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,pelagic_neritic,0,300,34,20,y,pelagic,120,120,0.7777777777777778,0.75,0.027777777777777776,0.6,0.03636363636363636,0
2,Sebastes entomelas,both eDNA/trawl,only trawl,only trawl,0,0.878,1,0,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,pelagic_neritic,0,549,60,NA,y,pelagic,120,120,0.7777777777777778,0.75,0.027777777777777776,0.6,0.03636363636363636,0
2,Merluccius productus,both eDNA/trawl,only eDNA,both eDNA/trawl,1.63169233711487,0,0,1,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,pelagic_neritic,0,1000,91,NA,y,pelagic,120,120,0.7777777777777778,0.75,0.027777777777777776,0.6,0.03636363636363636,0
