LCT,n,gamma_detection_method,in_phylo,pic_sourced_from ,drawn
Allosmerus elongatus,1,only trawl,n,fishbase,y
Beringraja binoculata,1,only eDNA,n,fishbase,y
Corphaenidoes sp,1,only trawl,n,fishbase,y
Cryptacanthodes giganteus,1,only eDNA,n,fishbase,y
Entosphenus tridentatus,1,only trawl,y,,
Eopsetta jordani,1,only eDNA,n,fishbase,y
Hippoglossoides elassodon,1,only eDNA,n,fishbase,y
Leptoclinus maculatus,1,only eDNA,n,fishbase,y
Mallotus villosus,1,only trawl,n,fishbase,y
Microstomus pacificus,1,only eDNA,n,fishbase,y
Parophrys vetulus,1,only trawl,n,fishbase,y
Pholis laeta,1,only eDNA,n,,
Reinhardtius hippoglossoides,1,only trawl,n,fishbase,y
Sebastes mystinus,1,only eDNA,n,fishbase,y
Spirinchus starksi,1,only trawl,n,,
Xiphister atropurpureus/mucosus,1,only eDNA,n,fishbase,y
Citharichthys stigmaeus,2,only eDNA,n,fishbase,y
Diaphus theta,2,only trawl,n,fishbase,y
Engraulis mordax,2,only trawl,n,fishbase,y
Phytichthys chirus,2,only eDNA,n,fishbase,y
Sebastes caurinus/maliger,2,only eDNA,n,fishbase,y
Sebastes flavidus,2,only trawl,n,fishbase,y
Alosa sapidissima,3,both eDNA/trawl,y,,
Oncorhynchus keta,3,both eDNA/trawl,n,fishbase,y
Sebastes alutus,3,only eDNA,n,fishbase,y
Glyptocephalus zachirus,4,only eDNA,n,fishbase,y
Oncorhynchus gorbuscha,4,both eDNA/trawl,n,fishbase,y
Sebastes crameri,4,only eDNA,n,fishbase,y
Sebastes entomelas,4,both eDNA/trawl,n,fishbase,y
Oncorhynchus kisutch,5,both eDNA/trawl,n,fishbase,y
Anoplopoma fimbria,6,both eDNA/trawl,n,fishbase,y
Oncorhynchus tshawytscha,7,both eDNA/trawl,y,,
Oncorhynchus nerka,8,only eDNA,y,,
Merluccius productus,11,both eDNA/trawl,n,fishbase,y
Gadus/chalcogrammus,12,both eDNA/trawl,n,fishbase,y
Squalus suckleyi,12,both eDNA/trawl,n,,
Clupea pallasii,13,both eDNA/trawl,y,,
Thaleichthys pacificus,13,both eDNA/trawl,y,,
