species,max_length_cm,environment,depth_range_max,method
Anoplopoma fimbria,120,bathydemersal,2740,eDNA
Clupea pallasii,46,pelagic_neritic,475,eDNA
Merluccius productus,91,pelagic_neritic,1000,eDNA
Oncorhynchus gorbuscha,76,dermersal,250,eDNA
Oncorhynchus keta,100,benthopelagic,250,eDNA
Oncorhynchus kisutch,108,pelagic,250,eDNA
Thaleichthys pacificus,34,pelagic_neritic,300,eDNA
Clinocottus acuticeps,6,dermersal,20,eDNA
Cymatogaster aggregata,20,dermersal,146,eDNA
Eopsetta jordani,53,dermersal,550,eDNA
Glyptocephalus zachirus,60,dermersal,900,eDNA
Hippoglossoides elassodon,52,dermersal,1050,eDNA
Leptoclinus maculatus,20,dermersal,607,eDNA
Microstomus pacificus,6,dermersal,1370,eDNA
Oncorhynchus nerka,84,pelagic_oceanic,250,eDNA
Phytichthys chirus,20,dermersal,12,eDNA
Sebastes alutus,53,bathydemersal,825,eDNA
Sebastes crameri,58,bathydemersal,600,eDNA
Sebastes mystinus,61,reef_associated,550,eDNA
Squalus suckleyi,140,benthopelagic,1244,eDNA
Allosmerus elongatus,22,dermersal,103,trawl
Alosa sapidissima,76,pelagic_neritic,250,trawl
Diaphus theta,11,bathypelagic,3400,trawl
Engraulis mordax,24,pelagic_neritic,310,trawl
Entosphenus tridentatus,76,dermersal,1508,trawl
Mallotus villosus,20,pelagic_oceanic,725,trawl
Oncorhynchus tshawytscha,150,benthopelagic,375,trawl
Parophrys vetulus,49,dermersal,550,trawl
Scophthalmus maximus,100,dermersal,70,trawl
Sebastes entomelas,60,pelagic_neritic,549,trawl
Sebastes flavidus,66,reef_associated,549,trawl
Spirinchus starksi,23,benthopelagic,128,trawl
Squalus acanthias,160,benthopelagic,1460,trawl
Anoplopoma fimbria,120,bathydemersal,2740,trawl
Clupea pallasii,46,pelagic_neritic,475,trawl
Merluccius productus,91,pelagic_neritic,1000,trawl
Oncorhynchus gorbuscha,76,dermersal,250,trawl
Oncorhynchus keta,100,benthopelagic,250,trawl
Oncorhynchus kisutch,108,pelagic,250,trawl
Thaleichthys pacificus,34,pelagic_neritic,300,trawl
Clinocottus acuticeps,6,dermersal,20,trawl
