set_number,depth_trawl,depth_eDNA,Jac,Jac_turn,Jac_nest,Sor_turn,Sor_nest,depth_difference,alpha_detection_method,shared_count,total_count,shared_over_total
1,50,50,0.888888888888889,0,0.8888888888888888,0,0.8,0,both eDNA/trawl,2,9,0.2222222222222222
2,120,120,0.7777777777777778,0.75,0.027777777777777776,0.6,0.03636363636363636,0,both eDNA/trawl,2,10,0.2
3,110,100,0.7142857142857143,0.6666666666666666,0.047619047619047616,0.5,0.05555555555555555,10,both eDNA/trawl,2,8,0.25
4,135,115,0.7142857142857143,0,0.7142857142857143,0,0.5555555555555556,20,both eDNA/trawl,2,7,0.2857142857142857
5,100,100,0.6666666666666666,0,0.6666666666666666,0,0.5,0,both eDNA/trawl,1,3,0.3333333333333333
8,60,80,0.6666666666666666,0.6666666666666666,0,0.5,0,20,both eDNA/trawl,2,7,0.2857142857142857
9,130,120,0.7272727272727273,0.6666666666666666,0.06060606060606061,0.5,0.07142857142857142,10,both eDNA/trawl,3,12,0.25
10,80,80,0.6666666666666666,0.5714285714285714,0.09523809523809523,0.4,0.1,0,both eDNA/trawl,3,9,0.3333333333333333
11,200,200,0.25,0,0.25,0,0.14285714285714285,0,both eDNA/trawl,3,4,0.75
12,25,25,0.7222222222222222,0.6153846153846154,0.10683760683760685,0.4444444444444444,0.12077294685990338,0,both eDNA/trawl,7,18,0.3888888888888889
13,127.5,160,0.6666666666666666,0.6,0.06666666666666667,0.42857142857142855,0.07142857142857142,32.5,both eDNA/trawl,4,12,0.3333333333333333
14,55,80,0.9411764705882353,0.8571428571428571,0.08403361344537814,0.75,0.1388888888888889,25,both eDNA/trawl,1,17,0.058823529411764705
16,20,0,0.9473684210526316,0.6666666666666666,0.2807017543859649,0.5,0.4,20,both eDNA/trawl,2,19,0.10526315789473684
