LCT,max_length_cm,gamma_detection_method
Alosa sapidissima,76,eDNA
Anoplopoma fimbria,120,eDNA
Clupea pallasii,46,eDNA
Gadus/chalcogrammus,91,eDNA
Merluccius productus,91,eDNA
Oncorhynchus gorbuscha,76,eDNA
Oncorhynchus keta,100,eDNA
Oncorhynchus kisutch,108,eDNA
Oncorhynchus nerka,84,eDNA
Oncorhynchus tshawytscha,150,eDNA
Sebastes entomelas,60,eDNA
Squalus suckleyi,140,eDNA
Thaleichthys pacificus,34,eDNA
Alosa sapidissima,76,trawl
Anoplopoma fimbria,120,trawl
Clupea pallasii,46,trawl
Gadus/chalcogrammus,91,trawl
Merluccius productus,91,trawl
Oncorhynchus gorbuscha,76,trawl
Oncorhynchus keta,100,trawl
Oncorhynchus kisutch,108,trawl
Oncorhynchus nerka,84,trawl
Oncorhynchus tshawytscha,150,trawl
Sebastes entomelas,60,trawl
Squalus suckleyi,140,trawl
Thaleichthys pacificus,34,trawl
Allosmerus elongatus,22.9,trawl
Beringraja binoculata,244,eDNA
Citharichthys stigmaeus,17,eDNA
Cryptacanthodes giganteus,117,eDNA
Diaphus theta,11.4,trawl
Engraulis mordax,24.8,trawl
Entosphenus tridentatus,76,trawl
Eopsetta jordani,53,eDNA
Glyptocephalus zachirus,60,eDNA
Hexagrammos decagrammus,61,eDNA
Hippoglossoides elassodon,52,eDNA
Leptoclinus maculatus,20,eDNA
Mallotus villosus,20,trawl
Microstomus pacificus,6,eDNA
Parophrys vetulus,49,trawl
Pholis laeta,25,eDNA
Phytichthys chirus,20,eDNA
Reinhardtius evermanni,100,eDNA
Reinhardtius hippoglossoides,110,trawl
Sebastes alutus,53,eDNA
Sebastes caurinus/maliger,59.5,eDNA
Sebastes crameri,58,eDNA
Sebastes flavidus,66,trawl
Sebastes mystinus,61,eDNA
Spirinchus starksi,23,trawl
Xiphister atropurpureus/mucosus,44.25,eDNA
