kingdom,phylum,class,order,family,genus,species,environment,depth_range_min,depth_range_max,max_length_cm,common_length_cm,in_range
Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Allosmerus,Allosmerus elongatus,dermersal,1,103,22.9,NA,y
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,Alosa sapidissima,pelagic_neritic,0,250,76,50,n
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,Anoplopoma fimbria,bathydemersal,175,2740,120,80,y
Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Beringraja,Beringraja binoculata,dermersal,3,800,244,180,y
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Clinocottus,Clinocottus acuticeps,dermersal,0,20,6.4,4.4,y
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,pelagic_neritic,0,475,46,25,y
Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Cymatogaster,Cymatogaster aggregata,dermersal,1,146,20.3,11.5,y
Animalia ,Chordata,Teleostei,Myctophiformes ,Myctophidae ,Diaphys,Diaphus theta,bathypelagic,10,3400,11.4,NA,y
Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Entosphenus,Entosphenus tridentatus,dermersal,0,1508,76,41,y
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Eopsetta,Eopsetta jordani,dermersal,0,550,53,42.5,y
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,benthopelagic,30,400,91,NA,y
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,Gadus chalcogrammus,benthopelagic,NA,1280,91,NA,y
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus zachirus,dermersal,0,900,60,36,y
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos decagrammus,dermersal,0,46,61,NA,y
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides elassodon,dermersal,0,1050,52,NA,y
Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Leptoclinus,Leptoclinus maculatus,dermersal,2,607,20,NA,y
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Lipariscus,Lipariscus nanus,benthopelagic,0,910,6.3,,y
Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Mallotus,Mallotus villosus,pelagic_oceanic,0,725,20,15,y
Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,Merluccius productus,pelagic_neritic,0,1000,91,NA,y
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Microstomus,Microstomus pacificus,dermersal,10,1370,6,NA,y
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus gorbuscha,dermersal,0,250,76,,y
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus keta,benthopelagic,0,250,100,58,y
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus kisutch,pelagic,0,250,108,71,y
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus nerka,pelagic_oceanic,0,250,84,45,y
