LCT,kingdom,phylum,class,order,family,genus,environment,depth_range_min,depth_range_max,max_length_cm,common_length_cm,in_range,habitat,total_mean_length_cm
Allosmerus elongatus,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Allosmerus,demersal,1,103,22.9,NA,y,demersal,11.770833333333334
Alosa sapidissima,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,pelagic_neritic,0,250,76,50,n,pelagic,32.77013917525773
Anoplopoma fimbria,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,bathydemersal,175,2740,120,80,y,bathydemersal,52.25811612710627
Beringraja binoculata,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Beringraja,demersal,3,800,244,180,y,demersal,88.27593103448275
Citharichthys stigmaeus,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Citharichthys,demersal,NA,549,17,NA,y,demersal,17.428571428571427
Clinocottus acuticeps,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Clinocottus,demersal,0,20,6.4,4.4,y,demersal,4.4
Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pelagic_neritic,0,475,46,25,y,pelagic,20.39700114909509
Corphaenidoes sp,Animalia,Chordata,Teleostei,Gadiformes,Macrourinae,Coryphaenoides,bathydemersal,300,3700,104,46.9,y,bathydemersal,46.9
Cryptacanthodes giganteus,Animalia,Chordata,Teleostei,Perciformes,Cryptacanthodidae,Cryptacanthodes,demersal,6,128,117,NA,y,demersal,117
Cymatogaster aggregata,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Cymatogaster,demersal,1,146,20.3,11.5,y,demersal,12.511931818181818
Diaphus theta,Animalia ,Chordata,Teleostei,Myctophiformes ,Myctophidae ,Diaphys,bathypelagic,10,3400,11.4,NA,y,bathypelagic,11.4
Engraulis mordax,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,pelagic_neritic,0,310,24.8,15,y,pelagic,15
Entosphenus tridentatus,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Entosphenus,demersal,0,1508,76,41,y,demersal,41
Eopsetta jordani,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Eopsetta,demersal,0,550,53,42.5,y,demersal,37.696210321744765
Gadus chalcogrammus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,benthopelagic,NA,1280,91,NA,y,benthopelagic,91
Gadus/chalcogrammus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,benthopelagic,NA,1280,91,NA,y,benthopelagic,35.63792448256763
Glyptocephalus zachirus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Glyptocephalus,demersal,0,900,60,36,y,demersal,30.432852267499705
Hexagrammos decagrammus,Animalia,Chordata,Teleostei,Scorpaeniformes,Hexagrammidae,Hexagrammos,demersal,0,46,61,NA,y,demersal,30.778546641920986
Hexagrammos decagrammus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos,demersal,0,46,61,NA,y,demersal,30.778546641920986
Hippoglossoides elassodon,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossoides,demersal,0,1050,52,NA,y,demersal,28.885007298750313
Leptoclinus maculatus,Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Leptoclinus,demersal,2,607,20,NA,y,demersal,20
Lipariscus nanus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Lipariscus,benthopelagic,0,910,6.3,NA,y,benthopelagic,6.3
Mallotus villosus,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Mallotus,pelagic_oceanic,0,725,20,15,y,pelagic,15
Merluccius productus,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,pelagic_neritic,0,1000,91,NA,y,pelagic,46.853664633064945
Microstomus pacificus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Microstomus,demersal,10,1370,6,NA,y,demersal,35.982811256486166
Oncorhynchus gorbuscha,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,demersal,0,250,76,NA,y,demersal,51.914
Oncorhynchus keta,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,benthopelagic,0,250,100,58,y,benthopelagic,58
Oncorhynchus kisutch,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,pelagic,0,250,108,71,y,pelagic,71
