date,trawl,sample_id,catch_count,species,length_type,length_cm,weight_kg,sex,fa_sample,comments,recorder,fish_processing_personnel,size_class
18-08-01,1,1,1,Pacific Herring,Fork,14.4,0.028,NA,NA,NA,NA,NA,NA
18-08-01,1,2,2,Pink Salmon,Fork,16,0.046,NA,NA,NA,NA,NA,NA
18-08-01,1,3,3,Pink Salmon,Fork,17.1,0.058,NA,Y,NA,NA,NA,NA
18-08-01,1,4,4,Pink Salmon,Fork,16,0.048,NA,NA,NA,NA,NA,NA
18-08-01,1,5,5,Lion's Mane Jelly,Total,14.1,0.114,NA,NA,NA,NA,NA,NA
18-08-01,1,6,6,Water Jelly,Total,5.6,NA,NA,NA,Bell diameter measured for jellies - most jellies too damaged for reliable bell diameter measurements,NA,NA,NA
18-08-01,1,7,7,Water Jelly,Total,7.5,NA,NA,NA,NA,NA,NA,NA
18-08-01,1,8,8,Water Jelly,Total,4.7,NA,NA,NA,NA,NA,NA,NA
18-08-01,1,9,9,Water Jelly,Total,5,NA,NA,NA,NA,NA,NA,NA
18-08-01,1,10,10,Water Jelly,Total,5,NA,NA,NA,NA,NA,NA,NA
18-08-01,1,11,11,Water Jelly,Total,4,NA,NA,NA,NA,NA,NA,NA
18-08-01,1,12,12,Water Jelly,Total,5.2,NA,NA,NA,NA,NA,NA,NA
18-08-01,1,13,13,Water Jelly,Total,4.1,NA,NA,NA,NA,NA,NA,NA
18-08-01,1,14,14,Water Jelly,Total,5.2,NA,NA,NA,NA,NA,NA,NA
18-08-01,1,15,15,Water Jelly,Total,5.1,NA,NA,NA,NA,NA,NA,NA
18-08-01,1,16,16,Water Jelly,Total,4,NA,NA,NA,NA,NA,NA,NA
18-08-01,1,17,17,Water Jelly,Total,6.1,NA,NA,NA,NA,NA,NA,NA
18-08-01,1,18,18,Water Jelly,Total,5.4,NA,NA,NA,NA,NA,NA,NA
18-08-01,1,19,19,Water Jelly,Total,5.9,NA,NA,NA,NA,NA,NA,NA
18-08-01,1,20,20,Water Jelly,Total,4.1,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,21,1,Myctophiid spp,Total,4.8,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,22,2,Eulachon,Fork,18.1,0.042,NA,NA,NA,NA,NA,NA
18-08-01,2,23,3,Eulachon,Fork,8,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,24,4,Eulachon,Fork,13.6,0.014,NA,NA,NA,NA,NA,NA
18-08-01,2,25,5,Eulachon,Fork,14.6,0.02,NA,NA,NA,NA,NA,NA
18-08-01,2,26,6,Eulachon,Fork,14.6,0.018,NA,NA,NA,NA,NA,NA
18-08-01,2,27,7,Eulachon,Fork,14.7,0.018,NA,NA,NA,NA,NA,NA
18-08-01,2,28,8,Eulachon,Fork,14.6,0.016,NA,NA,NA,NA,NA,NA
18-08-01,2,29,9,Eulachon,Fork,15.2,0.018,NA,NA,NA,NA,NA,NA
18-08-01,2,30,10,Eulachon,Fork,14.1,0.014,NA,NA,NA,NA,NA,NA
18-08-01,2,31,11,Eulachon,Fork,14.9,0.02,NA,NA,NA,NA,NA,NA
18-08-01,2,32,12,Pacific Herring,Fork,14,0.022,NA,NA,NA,NA,NA,NA
18-08-01,2,33,13,Pacific Herring,Fork,9.5,0.006,NA,NA,NA,NA,NA,NA
18-08-01,2,34,14,Pacific Herring,Fork,8,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,35,15,Yellowtail Rockfish,Total,41.7,1.032,NA,NA,NA,NA,NA,NA
18-08-01,2,36,16,Yellowtail Rockfish,Total,42.3,1.164,NA,NA,NA,NA,NA,NA
18-08-01,2,37,17,Yellowtail Rockfish,Total,41.5,1.08,NA,NA,NA,NA,NA,NA
18-08-01,2,38,18,Yellowtail Rockfish,Total,34.5,0.584,NA,NA,NA,NA,NA,NA
18-08-01,2,39,19,Yellowtail Rockfish,Total,49.1,1.498,NA,NA,NA,NA,NA,NA
18-08-01,2,40,20,Yellowtail Rockfish,Total,43,1.048,NA,NA,NA,NA,NA,NA
18-08-01,2,41,21,Yellowtail Rockfish,Total,46.2,1.424,NA,NA,NA,NA,NA,NA
18-08-01,2,42,22,Yellowtail Rockfish,Total,43.2,1.164,NA,NA,NA,NA,NA,NA
18-08-01,2,43,23,Yellowtail Rockfish,Total,43.9,1.156,NA,NA,NA,NA,NA,NA
18-08-01,2,44,24,Widow Rockfish,Total,41.7,0.878,NA,NA,NA,NA,NA,NA
18-08-01,2,45,25,Spiny Dogfish,Total,76.2,1.718,M,NA,NA,NA,NA,NA
18-08-01,2,46,26,Neomysis rayii,Total,3.1,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,47,27,Neomysis rayii,Total,2.5,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,48,28,Neomysis rayii,Total,1.5,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,49,29,Neomysis rayii,Total,3.5,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,50,30,Neomysis rayii,Total,2.7,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,51,31,Neomysis rayii,Total,2.1,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,52,32,Neomysis rayii,Total,3.4,NA,NA,NA,NA,NA,NA,NA
