species_clean
allosmerus elongatus
alosa sapidissima
anoplopoma fimbria
balistes capriscus
clupea pallasii
engraulis mordax
entosphenus tridentatus
mallotus villosus
merluccius productus
oncorhynchus gorbuscha
oncorhynchus keta
oncorhynchus kisutch
oncorhynchus nerka
oncorhynchus tshawytscha
parophrys vetulus
reinhardtius hippoglossoides
scophthalmus maximus
sebastes entomelas
sebastes flavidus
spirinchus starksi
squalus acanthias
thaleichthys pacificus
gadus chalcogrammus
"NA"
diaphus theta
"NA"
"NA"
