verbatimIdentification,name_type,species,search_string,unique_name,approximate_match,ott_id,is_synonym,flags,number_matches
Pink Salmon,orig_species,Pink Salmon,pink salmon,NA,NA,NA,NA,NA,NA
Pink Salmon,sci_name_1,Oncorhynchus gorbuscha,oncorhynchus gorbuscha,Oncorhynchus gorbuscha,FALSE,739927,FALSE,,1
Pacific Herring,orig_species,Pacific Herring,pacific herring,NA,NA,NA,NA,NA,NA
Pacific Herring,sci_name_1,Clupea harengus pallasi,clupea harengus pallasi,Clupea pallasii,FALSE,421318,TRUE,,1
Pacific Herring,sci_name_2,Clupea pallasii,clupea pallasii,Clupea pallasii,FALSE,421318,FALSE,,1
Pacific Herring,sci_name_3,Clupea pallasii pallasii,clupea pallasii pallasii,Clupea pallasii pallasii,FALSE,9666,FALSE,infraspecific,1
Spiny Dogfish,orig_species,Spiny Dogfish,spiny dogfish,NA,NA,NA,NA,NA,NA
Spiny Dogfish,sci_name_1,Squalus acanthias,squalus acanthias,Squalus acanthias,FALSE,1019126,FALSE,,1
Yellowtail Rockfish,orig_species,Yellowtail Rockfish,yellowtail rockfish,NA,NA,NA,NA,NA,NA
Yellowtail Rockfish,sci_name_1,Sebastes flavidus,sebastes flavidus,Sebastes flavidus,FALSE,531059,FALSE,sibling_higher,1
Widow Rockfish,orig_species,Widow Rockfish,widow rockfish,NA,NA,NA,NA,NA,NA
Widow Rockfish,sci_name_1,Sebastes entomelas,sebastes entomelas,Sebastes entomelas,FALSE,531068,FALSE,sibling_higher,1
Neomysis rayii,orig_species,Neomysis rayii,neomysis rayii,Neomysis rayii,FALSE,2990247,FALSE,,1
Pasiphaea pacifica,orig_species,Pasiphaea pacifica,pasiphaea pacifica,Pasiphaea pacifica,FALSE,1005753,FALSE,,1
Pasiphaea tarda,orig_species,Pasiphaea tarda,pasiphaea tarda,Pasiphaea tarda,FALSE,45085,FALSE,,1
Euphausia Pacifica spp.,orig_species,Euphausia Pacifica spp.,euphausia pacifica spp.,NA,NA,NA,NA,NA,NA
Eulachon,orig_species,Eulachon,eulachon,NA,NA,NA,NA,NA,NA
Eulachon,sci_name_1,Thaleichthys pacificus,thaleichthys pacificus,Thaleichthys pacificus,FALSE,555682,FALSE,,1
Myctophid (Diaphus theta),orig_species,Myctophid (Diaphus theta),myctophid (diaphus theta),NA,NA,NA,NA,NA,NA
Euphasia spp.,orig_species,Euphasia spp.,euphasia spp.,NA,NA,NA,NA,NA,NA
Walleye Pollock,orig_species,Walleye Pollock,walleye pollock,NA,NA,NA,NA,NA,NA
Walleye Pollock,sci_name_1,Theragra chalcogramma,theragra chalcogramma,Gadus chalcogrammus,FALSE,1056842,TRUE,,1
Osmeridae (Whitebait smelt),orig_species,Osmeridae (Whitebait smelt),osmeridae (whitebait smelt),NA,NA,NA,NA,NA,NA
Coho Salmon,orig_species,Coho Salmon,coho salmon,NA,NA,NA,NA,NA,NA
Coho Salmon,sci_name_1,Oncorhynchus kisutch,oncorhynchus kisutch,Oncorhynchus kisutch,FALSE,739917,FALSE,,1
Hake (Whiting),orig_species,Hake (Whiting),hake (whiting),NA,NA,NA,NA,NA,NA
Euphausia spp.,orig_species,Euphausia spp.,euphausia spp.,NA,NA,NA,NA,NA,NA
Water Jellies,orig_species,Water Jellies,water jellies,NA,NA,NA,NA,NA,NA
Hake,orig_species,Hake,hake,Hase,TRUE,7694138,FALSE,sibling_higher,1
Hake,sci_name_1,Merluccius angustimanus,merluccius angustimanus,Merluccius angustimanus,FALSE,565449,FALSE,,1
Hake,sci_name_2,Merluccius australis,merluccius australis,Merluccius australis,FALSE,492392,FALSE,,1
Hake,sci_name_3,Merluccius bilinearis,merluccius bilinearis,Merluccius bilinearis,FALSE,351757,FALSE,,1
Hake,sci_name_4,Merluccius capensis,merluccius capensis,Merluccius capensis,FALSE,757328,FALSE,,1
Hake,sci_name_5,Merluccius gayi,merluccius gayi,Merluccius gayi,FALSE,757319,FALSE,,1
Hake,sci_name_5,Merluccius gayi,merluccius gayi,Merluccius gayi,FALSE,757319,FALSE,,1
Hake,sci_name_6,Merluccius merluccius,merluccius merluccius,Merluccius merluccius,FALSE,62642,FALSE,,1
Hake,sci_name_7,Merluccius paradoxus,merluccius paradoxus,Merluccius paradoxus,FALSE,183164,FALSE,,1
Hake,sci_name_8,Merluccius polli,merluccius polli,Merluccius polli,FALSE,834108,FALSE,,1
Lion's Mane Jellyfish,orig_species,Lion's Mane Jellyfish,lion's mane jellyfish,NA,NA,NA,NA,NA,NA
Lion's Mane Jellyfish,sci_name_1,Cyanea capillata,cyanea capillata,Cyanea capillata,FALSE,178412,FALSE,,1
Lion's Mane Jellyfish,sci_name_1,Cyanea capillata,cyanea capillata,Cyanea capillata,FALSE,178412,FALSE,,1
Lion's Mane Jellyfish,sci_name_2,Cyanea lamarckii,cyanea lamarckii,Cyanea lamarckii,FALSE,3680294,FALSE,,1
Lion's Mane Jellyfish,sci_name_3,Cyanea nozaki,cyanea nozaki,Cyanea nozakii,FALSE,772995,TRUE,,1
Opalescent Inshore Squid,orig_species,Opalescent Inshore Squid,opalescent inshore squid,NA,NA,NA,NA,NA,NA
Opalescent Inshore Squid,sci_name_1,Doryteuthis (Amerigo) opalescens,doryteuthis (amerigo) opalescens,NA,NA,NA,NA,NA,NA
Opalescent Inshore Squid,sci_name_2,Doryteuthis opalescens,doryteuthis opalescens,Doryteuthis opalescens,FALSE,241282,FALSE,,1
Opalescent Inshore Squid,sci_name_3,Loligo opalescens,loligo opalescens,Doryteuthis opalescens,FALSE,241282,TRUE,,1
"Zoarcid ""A""",orig_species,"Zoarcid ""A""","zoarcid ""a""",NA,NA,NA,NA,NA,NA
Sablefish,orig_species,Sablefish,sablefish,NA,NA,NA,NA,NA,NA
Sablefish,sci_name_1,Anoplopoma fimbria,anoplopoma fimbria,Anoplopoma fimbria,FALSE,441856,FALSE,,1
"Squid ""B""",orig_species,"Squid ""B""","squid ""b""",NA,NA,NA,NA,NA,NA
Chinook Salmon,orig_species,Chinook Salmon,chinook salmon,NA,NA,NA,NA,NA,NA
Chinook Salmon,sci_name_1,Oncorhynchus tshawytscha,oncorhynchus tshawytscha,Oncorhynchus tshawytscha,FALSE,730762,FALSE,,1
Clawed Armhook Squid,orig_species,Clawed Armhook Squid,clawed armhook squid,NA,NA,NA,NA,NA,NA
Clawed Armhook Squid,sci_name_1,Gonatus onyx,gonatus onyx,Gonatus onyx,FALSE,526080,FALSE,,1
Turbot,orig_species,Turbot,turbot,NA,NA,NA,NA,NA,NA
