leg,location,set_number,date,species,sci_name1,sci_name2,sci_name3,sci_name4,tax_level,size_class,number_retained_for_isotopes_and_other_analyses,fa_sample,comments,processed,individs_caught
2,Swiftsure Bank,16,2018-08-13T00:00:00Z,Larval Squid,Cephalopoda,NA,NA,NA,class,NA,1,0,NA,Y,1
2,Juan de Fuca Strait,12,2018-08-11T00:00:00Z,Larval Sand Lance,Ammodytidae,NA,NA,NA,family,NA,4,0,too small for FA samples,Y,4
2,Juan de Fuca Strait,13,2018-08-11T00:00:00Z,Larval Sand Lance,Ammodytidae,NA,NA,NA,family,NA,lots,lots,samples taken for isotopes and FA from different individuals,Y,30
2,Juan de Fuca Strait,13,2018-08-11T00:00:00Z,Myctophid,Myctophidae,NA,NA,NA,family,NA,0,6,NA,?,NA
NA,NA,2,NA,Myctophiid spp,Myctophidae,NA,NA,NA,family,NA,NA,NA,NA,NA,1
NA,NA,9,NA,Myctophiid spp,Myctophidae,NA,NA,NA,family,NA,NA,NA,NA,NA,7
NA,NA,11,NA,Myctophiid spp,Myctophidae,NA,NA,NA,family,NA,NA,NA,NA,NA,10
NA,NA,13,NA,Myctophiid spp,Myctophidae,NA,NA,NA,family,NA,NA,NA,NA,NA,6
1,Johnston Strait,6,2018-08-04T00:00:00Z,"Zoarcid ""A""",Zoarcidae,NA,NA,NA,family,NA,29,5,NA,Y,NA
NA,NA,6,NA,Zoarcidae A,Zoarcidae,NA,NA,NA,family,NA,NA,NA,NA,NA,29
NA,NA,7,NA,Corphaenidoes sp,Coryphaenoides,NA,NA,NA,genus,NA,NA,NA,NA,NA,1
2,Juan de Fuca Strait,9,2018-08-08T00:00:00Z,Euphasiid spp. ,Euphausiidae,NA,NA,NA,genus,NA,all,0,NA,Y,NA
NA,NA,13,NA,Euphausid spp,Euphausiidae,NA,NA,NA,genus,NA,NA,NA,NA,NA,30
NA,NA,2,NA,Euphausiid spp,Euphausiidae,NA,NA,NA,genus,NA,NA,NA,NA,NA,31
NA,NA,5,NA,Euphausiid spp,Euphausiidae,NA,NA,NA,genus,NA,NA,NA,NA,NA,30
NA,NA,7,NA,Euphausiid spp,Euphausiidae,NA,NA,NA,genus,NA,NA,NA,NA,NA,30
NA,NA,9,NA,Euphausiid spp,Euphausiidae,NA,NA,NA,genus,NA,NA,NA,NA,NA,1
2,Juan de Fuca Strait,13,2018-08-11T00:00:00Z,Euphausiids,Euphausiidae,NA,NA,NA,genus,NA,lots,lots,samples taken for isotopes and FA from different individuals,Y,NA
1,Johnston Strait,6,2018-08-04T00:00:00Z,Hake,Merluccius spp.,NA,NA,NA,genus,NA,7,4,NA,Y,NA
2,Juan de Fuca Strait,9,2018-08-08T00:00:00Z,Hake,Merluccius spp.,NA,NA,NA,genus,NA,10,5,NA,Y,NA
2,Juan de Fuca Strait,11,2018-08-10T00:00:00Z,Hake,Merluccius spp.,NA,NA,NA,genus,large,1,1,NA,Y,NA
NA,NA,13,NA,Juvenile Pollock,Pollachius,NA,NA,NA,genus,NA,NA,NA,NA,NA,6
2,Juan de Fuca Strait,14,2018-08-12T00:00:00Z,Pyrosome spp. ,Pyrosoma,NA,NA,NA,genus,NA,1,1,NA,NA,NA
NA,NA,14,NA,Pyrosome spp,Pyrosoma,NA,NA,NA,genus,NA,NA,NA,NA,NA,1
2,Juan de Fuca Strait,13,2018-08-11T00:00:00Z,Sea Nettle,Chrysaora,NA,NA,NA,genus,NA,2,0,NA,NA,NA
NA,NA,9,NA,Sea Nettle,Chrysaora,NA,NA,NA,genus,NA,NA,NA,NA,NA,1
NA,NA,10,NA,Sea Nettle,Chrysaora,NA,NA,NA,genus,NA,NA,NA,NA,NA,2
NA,NA,11,NA,Sea Nettle,Chrysaora,NA,NA,NA,genus,NA,NA,NA,NA,NA,1
NA,NA,14,NA,Siphonophore spp,Siphonophorae,NA,NA,NA,genus,NA,NA,NA,NA,NA,1
NA,NA,16,NA,Siphonophore spp,Siphonophorae,NA,NA,NA,genus,NA,NA,NA,NA,NA,2
2,Juan de Fuca Strait,14,2018-08-12T00:00:00Z,Siphonophore spp.,Siphonophorae,NA,NA,NA,genus,NA,1,0,NA,NA,NA
2,Swiftsure Bank,16,2018-08-13T00:00:00Z,Siphonophore spp.,Siphonophorae,NA,NA,NA,genus,NA,2,0,ID in lab,NA,NA
NA,NA,8,NA,Unidentified Rockfish,Sebastes,NA,NA,NA,genus,NA,NA,NA,NA,NA,1
1,Johnston Strait,5,2018-08-03T00:00:00Z,Water Jelly,Aequorea,NA,NA,NA,genus,NA,yes,4,NA,NA,NA
NA,NA,1,NA,Water Jelly,Aequorea,NA,NA,NA,genus,NA,NA,NA,NA,NA,15
NA,NA,3,NA,Water Jelly,Aequorea,NA,NA,NA,genus,NA,NA,NA,NA,NA,1
1,Johnston Strait,7,2018-08-04T00:00:00Z,"Squid ""B""",NA,NA,NA,NA,NA,NA,1,1,NA,Y,NA
NA,NA,7,NA,Squid B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,7,NA,Jellyfish,Cnidaria,NA,NA,NA,phyla,NA,NA,NA,NA,NA,1
NA,NA,11,NA,Alaskan Pink Shrimp,Pandalus eous,NA,NA,NA,species,NA,NA,NA,NA,NA,1
2,Juan de Fuca Strait,14,2018-08-12T00:00:00Z,American Shad,Alosa sapidissima,NA,NA,NA,species,NA,1,1,NA,Y,1
NA,NA,4,NA,Capelin,Mallotus villosus,Mallotus villosus catervarius,NA,NA,species,NA,NA,NA,NA,NA,1
2,Juan de Fuca Strait,8,2018-08-08T00:00:00Z,Chinook Salmon,Oncorhynchus tshawytscha,NA,NA,NA,species,NA,2,2,scales taken on left side behind dorsal fin (took where could find any scales),Y,2
2,Juan de Fuca Strait,9,2018-08-08T00:00:00Z,Chinook Salmon,Oncorhynchus tshawytscha,NA,NA,NA,species,NA,1,1,scales taken on lateral line on right side behind dorsal fin (took where could find any scales),Y,1
