common_name,date,trawl,sample_id,catch_count,length_type,length_cm,weight_kg,sex,fa_sample,comments,recorder,fish_processing_personnel,size_class,species,kingdom,phylum,class,order,family,genus,level
Zoarcidae A,2018-08-04,6,770,208,Total,13.3,0.01,NA,NA,NA,NA,NA,NA,NA,Animalia ,Chordata,Teleostei,Perciformes,Zoarcidae,NA,family
Zoarcidae A,2018-08-04,6,769,207,Total,10.4,0.004,NA,NA,NA,NA,NA,NA,NA,Animalia ,Chordata,Teleostei,Perciformes,Zoarcidae,NA,family
Zoarcidae A,2018-08-04,6,788,226,Total,11.2,NA,NA,NA,NA,NA,NA,NA,NA,Animalia ,Chordata,Teleostei,Perciformes,Zoarcidae,NA,family
Zoarcidae A,2018-08-04,6,787,225,Total,11.3,NA,NA,NA,NA,NA,NA,NA,NA,Animalia ,Chordata,Teleostei,Perciformes,Zoarcidae,NA,family
Zoarcidae A,2018-08-04,6,773,211,Total,11,0.004,NA,NA,NA,NA,NA,NA,NA,Animalia ,Chordata,Teleostei,Perciformes,Zoarcidae,NA,family
Zoarcidae A,2018-08-04,6,789,227,Total,10.4,NA,NA,NA,NA,NA,NA,NA,NA,Animalia ,Chordata,Teleostei,Perciformes,Zoarcidae,NA,family
Zoarcidae A,2018-08-04,6,774,212,Total,13.5,0.01,NA,NA,NA,NA,NA,NA,NA,Animalia ,Chordata,Teleostei,Perciformes,Zoarcidae,NA,family
Zoarcidae A,2018-08-04,6,790,228,Total,11.5,NA,NA,NA,NA,NA,NA,NA,NA,Animalia ,Chordata,Teleostei,Perciformes,Zoarcidae,NA,family
Zoarcidae A,2018-08-04,6,784,222,Total,11.4,NA,NA,NA,NA,NA,NA,NA,NA,Animalia ,Chordata,Teleostei,Perciformes,Zoarcidae,NA,family
Zoarcidae A,2018-08-04,6,766,204,Total,10.8,0.006,NA,NA,NA,NA,NA,NA,NA,Animalia ,Chordata,Teleostei,Perciformes,Zoarcidae,NA,family
Zoarcidae A,2018-08-04,6,794,232,Total,9.1,NA,NA,NA,NA,NA,NA,NA,NA,Animalia ,Chordata,Teleostei,Perciformes,Zoarcidae,NA,family
Zoarcidae A,2018-08-04,6,771,209,Total,10.6,NA,NA,NA,NA,NA,NA,NA,NA,Animalia ,Chordata,Teleostei,Perciformes,Zoarcidae,NA,family
Zoarcidae A,2018-08-04,6,772,210,Total,11.6,NA,NA,NA,NA,NA,NA,NA,NA,Animalia ,Chordata,Teleostei,Perciformes,Zoarcidae,NA,family
Zoarcidae A,2018-08-04,6,782,220,Total,8.4,NA,NA,NA,NA,NA,NA,NA,NA,Animalia ,Chordata,Teleostei,Perciformes,Zoarcidae,NA,family
Zoarcidae A,2018-08-04,6,778,216,Total,11.2,0.004,NA,NA,NA,NA,NA,NA,NA,Animalia ,Chordata,Teleostei,Perciformes,Zoarcidae,NA,family
Zoarcidae A,2018-08-04,6,785,223,Total,11,NA,NA,NA,NA,NA,NA,NA,NA,Animalia ,Chordata,Teleostei,Perciformes,Zoarcidae,NA,family
Zoarcidae A,2018-08-04,6,793,231,Total,12,0.006,NA,NA,NA,NA,NA,NA,NA,Animalia ,Chordata,Teleostei,Perciformes,Zoarcidae,NA,family
Zoarcidae A,2018-08-04,6,791,229,Total,8.2,NA,NA,NA,NA,NA,NA,NA,NA,Animalia ,Chordata,Teleostei,Perciformes,Zoarcidae,NA,family
Zoarcidae A,2018-08-04,6,768,206,Total,11.2,0.006,NA,NA,NA,NA,NA,NA,NA,Animalia ,Chordata,Teleostei,Perciformes,Zoarcidae,NA,family
Zoarcidae A,2018-08-04,6,779,217,Total,10.5,0.004,NA,NA,NA,NA,NA,NA,NA,Animalia ,Chordata,Teleostei,Perciformes,Zoarcidae,NA,family
Zoarcidae A,2018-08-04,6,775,213,Total,10.4,0.004,NA,NA,NA,NA,NA,NA,NA,Animalia ,Chordata,Teleostei,Perciformes,Zoarcidae,NA,family
Zoarcidae A,2018-08-04,6,786,224,Total,10.9,NA,NA,NA,NA,NA,NA,NA,NA,Animalia ,Chordata,Teleostei,Perciformes,Zoarcidae,NA,family
Zoarcidae A,2018-08-04,6,776,214,Total,11.7,0.004,NA,NA,NA,NA,NA,NA,NA,Animalia ,Chordata,Teleostei,Perciformes,Zoarcidae,NA,family
Zoarcidae A,2018-08-04,6,792,230,Total,7.8,NA,NA,NA,NA,NA,NA,NA,NA,Animalia ,Chordata,Teleostei,Perciformes,Zoarcidae,NA,family
Zoarcidae A,2018-08-04,6,780,218,Total,11.5,NA,NA,NA,NA,NA,NA,NA,NA,Animalia ,Chordata,Teleostei,Perciformes,Zoarcidae,NA,family
Zoarcidae A,2018-08-04,6,783,221,Total,11,NA,NA,NA,NA,NA,NA,NA,NA,Animalia ,Chordata,Teleostei,Perciformes,Zoarcidae,NA,family
Zoarcidae A,2018-08-04,6,767,205,Total,12.5,0.008,NA,NA,NA,NA,NA,NA,NA,Animalia ,Chordata,Teleostei,Perciformes,Zoarcidae,NA,family
Zoarcidae A,2018-08-04,6,777,215,Total,8.4,NA,NA,NA,NA,NA,NA,NA,NA,Animalia ,Chordata,Teleostei,Perciformes,Zoarcidae,NA,family
Zoarcidae A,2018-08-04,6,781,219,Total,10.6,NA,NA,NA,NA,NA,NA,NA,NA,Animalia ,Chordata,Teleostei,Perciformes,Zoarcidae,NA,family
Corphaenidoes sp,2018-08-04,7,809,15,Total,5.1,NA,NA,NA,Weight less than 0.002 kg,NA,NA,NA,NA,Animalia ,Chordata,Teleostei,Gadiformes,Macrouridae,Coryphaenoides,genus
Unidentified Rockfish,2018-08-08,8,1042,36,Total,NA,NA,NA,NA,Discarded during subsampling,NA,NA,NA,NA,Animalia ,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,genus
Alaskan Pink Shrimp,2018-08-10,11,1933,44,Total,5.9,0.004,NA,NA,Measurements from front of eye to end of 6th segment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
