species,kingdom,phylum,class,order,family,genus,level,common_name
Alosa sapidissima,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,species,American Shad
Oncorhynchus tshawytscha,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,Chinook Salmon
Oncorhynchus tshawytscha,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,Chinook Salmon (juvenile)
Oncorhynchus keta,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,Chum Salmon
Oncorhynchus keta,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,Chum Salmon (juvenile)
Oncorhynchus kisutch,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,Coho Salmon
NA,Animalia ,Chordata,Teleostei,Gadiformes,Macrouridae,Coryphaenoides,genus,Corphaenidoes sp
Parophrys vetulus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Parophrys,species,English Sole
Thaleichthys pacificus,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,species,Eulachon
Reinhardtius hippoglossoides,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Reinhardtius,species,Halibut
Diaphus theta,Animalia ,Chordata,Teleostei,Myctophiformes ,Myctophidae ,Diaphys,species,Myctophiid spp
Spirinchus starksi,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Spirinchus,species,Night Smelt
Engraulis mordax,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,species,Northern Anchovy
Merluccius productus,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,species,Pacific Hake
Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,species,Pacific Herring
Entosphenus tridentatus,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Entosphenus,species,Pacific Lamprey
Oncorhynchus gorbuscha,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,Pink Salmon
Anoplopoma fimbria,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,species,Sablefish
Oncorhynchus nerka,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,Sockeye Salmon
Squalus acanthias,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,species,Spiny Dogfish
NA,Animalia ,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,genus,Unidentified Rockfish
Gadus chalcogrammus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,species,Walleye Pollock
Gadus chalcogrammus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,species,Walleye Pollock (juvenile)
Allosmerus elongatus,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Allosmerus,species,White Bait Smelt
Sebastes entomelas,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,species,Widow Rockfish
Sebastes flavidus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,species,Yellowtail Rockfish
NA,Animalia ,Chordata,Teleostei,Perciformes,Zoarcidae,NA,family,Zoarcidae A
Scophthalmus maximus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,Scophthalmus,species,Turbot
Mallotus villosus,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Mallotus,species,Capelin
Oncorhynchus gorbuscha,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,Pink Salmon (juvenile)
Entosphenus tridentatus,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Entosphenus,species,Lamprey
Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,species,Pacific Herring (juvenile)
Gadus chalcogrammus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,species,Juvenile Pollock
Merluccius productus,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,species,Hake
Merluccius productus,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,species,Hake (Whiting)
Diaphus theta,Animalia ,Chordata,Teleostei,Myctophiformes ,Myctophidae ,Diaphys,species,Myctophid (Diaphus theta)
Diaphus theta,Animalia ,Chordata,Teleostei,Myctophiformes ,Myctophidae ,Diaphys,species,Myctophid
Diaphus theta,Animalia ,Chordata,Teleostei,Myctophiformes ,Myctophidae ,Diaphys,species,Myctophiid spp
Allosmerus elongatus,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Allosmerus,species,Osmeridae (Whitebait smelt)
NA,Animalia ,Chordata,Teleostei,Perciformes,Zoarcidae,NA,family,"Zoarcid ""A"""
NA,NA,NA,NA,NA,NA,NA,not_fish,Alaskan Pink Shrimp
NA,NA,NA,NA,NA,NA,NA,not_fish,Clawed Armhooked Squid
NA,NA,NA,NA,NA,NA,NA,not_fish,Clawed Armhook
NA,NA,NA,NA,NA,NA,NA,not_fish,Euphasia spp.
NA,NA,NA,NA,NA,NA,NA,not_fish,Corphaenidoes sp
NA,NA,NA,NA,NA,NA,NA,not_fish,Euphausia Pacifica spp.
NA,NA,NA,NA,NA,NA,NA,not_fish,Glass Shrimp
NA,NA,NA,NA,NA,NA,NA,not_fish,Euphausiids
NA,NA,NA,NA,NA,NA,NA,not_fish,Hermit Crab
NA,NA,NA,NA,NA,NA,NA,not_fish,Lion's Mane Jelly
NA,NA,NA,NA,NA,NA,NA,not_fish,Jellyfish
NA,NA,NA,NA,NA,NA,NA,not_fish,Larval Squid
NA,NA,NA,NA,NA,NA,NA,not_fish,Larval Sand Lance
NA,NA,NA,NA,NA,NA,NA,not_fish,Neomysis rayii
NA,NA,NA,NA,NA,NA,NA,not_fish,Opalescent Inshore Squid
NA,NA,NA,NA,NA,NA,NA,not_fish,Pasiphaea pacifica
NA,NA,NA,NA,NA,NA,NA,not_fish,Pasiphaea tarda
NA,NA,NA,NA,NA,NA,NA,not_fish,Pyrosome spp
NA,NA,NA,NA,NA,NA,NA,not_fish,Pyrosome
NA,NA,NA,NA,NA,NA,NA,not_fish,Sea Nettle
NA,NA,NA,NA,NA,NA,NA,not_fish,Siphonophore spp
NA,NA,NA,NA,NA,NA,NA,not_fish,"Squid ""B"""
NA,NA,NA,NA,NA,NA,NA,not_fish,Squid B
NA,NA,NA,NA,NA,NA,NA,not_fish,Water Jellies
