set_number,common_name,leg.x,location,date.x,size_class,number_retained_for_isotopes_and_other_analyses,fa_sample,comments,processed,individs_caught,species,kingdom,phylum,class,order,family,genus,level,LCT,area,line,net_tow,date.y,time_in_water_gmt,start_latitude_n,start_longitude_w,time_door_in,lat_door_in_deg,lat_door_in_min,long_door_in_deg,long_door_in_min,time_door_out,lat_door_out_deg,lat_door_out_min,long_door_out_deg,long_door_out_min,time_out_of_water_gmt,end_latitude_n,end_longitude_w,bottom_depth_m,depth_range_targeted_m,depth_mean,time_target_depth_start_gmt,time_target_depth_stop_gmt,average_wire_out,vessel_tow_speed_knots,codend_fullness,fraction_processed,notes,north_south,lat_door_in_dd,long_door_in_dd,lat_door_out_dd,long_door_out_dd,duration_minutes
1,Pink Salmon,1,Johnston Strait,2018-08-01T00:00:00Z,NA,3,1,"For Leg 1, ""FA samples"" are also included in ""Number retained""; for Leg 2, ""Number retained"" represents the samples collected and put in the freezer -- if ""FA Sample"" is not included in the number, it is indicated in the comments",Y,3,Oncorhynchus gorbuscha,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,Oncorhynchus gorbuscha,JS,-,1,18-08-01,17:02,50 32.558 ,126 44.733,17:11,50,32.585,126,44.657,17:36,50,32.412,126,43.095,17:46,50 32.680,126 42.608,442,50,50,17:14,17:34,,3,almost 0 (very small),"Counted all, measured all (exept jellyfish )",,northern,50.543083333333335,-126.74428333333333,50.5402,-126.71825,25
1,Pacific Herring,1,Johnston Strait,2018-08-01T00:00:00Z,NA,1,0,NA,Y,1,Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,species,Clupea pallasii,JS,-,1,18-08-01,17:02,50 32.558 ,126 44.733,17:11,50,32.585,126,44.657,17:36,50,32.412,126,43.095,17:46,50 32.680,126 42.608,442,50,50,17:14,17:34,,3,almost 0 (very small),"Counted all, measured all (exept jellyfish )",,northern,50.543083333333335,-126.74428333333333,50.5402,-126.71825,25
2,Spiny Dogfish,1,Johnston Strait,2018-08-01T00:00:00Z,NA,1,1,tag in mouth,Y,1,Squalus suckleyi,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,species,Squalus suckleyi,JS,-,2,18-08-02,0:14,50 29.629,126 29.957,0:22,50,29.627,126,30.214,0:57,50,29.883,126,32.521,1:11,50 30.088,126 33.240,382,120,120,0:28,0:52,,2.7-3.3,-,-,,northern,50.49378333333333,-126.50356666666667,50.49805,-126.54201666666667,35
2,Myctophid (Diaphus theta),1,Johnston Strait,2018-08-01T00:00:00Z,NA,1,NA,to ID,Y,NA,Diaphus theta,Animalia ,Chordata,Teleostei,Myctophiformes<ca>,Myctophidae<ca>,Diaphys,species,Diaphus theta,JS,-,2,18-08-02,0:14,50 29.629,126 29.957,0:22,50,29.627,126,30.214,0:57,50,29.883,126,32.521,1:11,50 30.088,126 33.240,382,120,120,0:28,0:52,,2.7-3.3,-,-,,northern,50.49378333333333,-126.50356666666667,50.49805,-126.54201666666667,35
2,Eulachon,1,Johnston Strait,2018-08-01T00:00:00Z,NA,5,5,confirm eulachon IDs,Y,10,Thaleichthys pacificus,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,species,Thaleichthys pacificus,JS,-,2,18-08-02,0:14,50 29.629,126 29.957,0:22,50,29.627,126,30.214,0:57,50,29.883,126,32.521,1:11,50 30.088,126 33.240,382,120,120,0:28,0:52,,2.7-3.3,-,-,,northern,50.49378333333333,-126.50356666666667,50.49805,-126.54201666666667,35
2,Pacific Herring,1,Johnston Strait,2018-08-01T00:00:00Z,NA,3,1,NA,Y,3,Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,species,Clupea pallasii,JS,-,2,18-08-02,0:14,50 29.629,126 29.957,0:22,50,29.627,126,30.214,0:57,50,29.883,126,32.521,1:11,50 30.088,126 33.240,382,120,120,0:28,0:52,,2.7-3.3,-,-,,northern,50.49378333333333,-126.50356666666667,50.49805,-126.54201666666667,35
2,Myctophiid sp,NA,NA,NA,NA,NA,NA,NA,NA,1,Diaphus theta,Animalia ,Chordata,Teleostei,Myctophiformes ,Myctophidae ,Diaphys,species,Diaphus theta,JS,-,2,18-08-02,0:14,50 29.629,126 29.957,0:22,50,29.627,126,30.214,0:57,50,29.883,126,32.521,1:11,50 30.088,126 33.240,382,120,120,0:28,0:52,,2.7-3.3,-,-,,northern,50.49378333333333,-126.50356666666667,50.49805,-126.54201666666667,35
2,Widow Rockfish,1,Johnston Strait,2018-08-01T00:00:00Z,NA,1,1,tag in mouth,Y,1,Sebastes entomelas,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,species,Sebastes entomelas,JS,-,2,18-08-02,0:14,50 29.629,126 29.957,0:22,50,29.627,126,30.214,0:57,50,29.883,126,32.521,1:11,50 30.088,126 33.240,382,120,120,0:28,0:52,,2.7-3.3,-,-,,northern,50.49378333333333,-126.50356666666667,50.49805,-126.54201666666667,35
2,Yellowtail Rockfish,1,Johnston Strait,2018-08-01T00:00:00Z,NA,9,5,tags in mouths of FA fish,Y,9,Sebastes flavidus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,species,Sebastes flavidus,JS,-,2,18-08-02,0:14,50 29.629,126 29.957,0:22,50,29.627,126,30.214,0:57,50,29.883,126,32.521,1:11,50 30.088,126 33.240,382,120,120,0:28,0:52,,2.7-3.3,-,-,,northern,50.49378333333333,-126.50356666666667,50.49805,-126.54201666666667,35
3,Osmeridae (Whitebait smelt),1,Johnston Strait,2018-08-02T00:00:00Z,NA,2,0,to ID,Y,NA,Allosmerus elongatus,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Allosmerus,species,Allosmerus elongatus,MI,M1,3,18-08-02,15:30,50 41.229,126 52.860,15:39,50,41.253,126,52.961,15:53,50,41.965,126,53.297,16:01,50 42.246,126 53.192,193,100-120,110,15:43,15:50,,3.7-3.9,2 baskets full,-,,northern,50.68755,-126.88268333333333,50.699416666666664,-126.88828333333333,14
