set_number,common_name,LCT,area,region,depth_mean,individs_caught
1,Pacific Herring,Clupea pallasii,JS,northern,50,1
2,Spiny Dogfish,Squalus suckleyi,JS,northern,120,1
2,Yellowtail Rockfish,Sebastes flavidus,JS,northern,120,9
2,Myctophiid sp,Diaphus theta,JS,northern,120,1
2,Eulachon,Thaleichthys pacificus,JS,northern,120,10
2,Widow Rockfish,Sebastes entomelas,JS,northern,120,1
2,Pacific Herring,Clupea pallasii,JS,northern,120,3
3,Night Smelt,Spirinchus starksi,MI,northern,110,1
3,Spiny Dogfish,Squalus suckleyi,MI,northern,110,2
3,Walleye Pollock,Gadus/chalcogrammus,MI,northern,110,1
3,Eulachon,Thaleichthys pacificus,MI,northern,110,6
3,Pacific Herring,Clupea pallasii,MI,northern,110,102
4,Spiny Dogfish,Squalus suckleyi,MI,northern,135,11
4,Walleye Pollock,Gadus/chalcogrammus,MI,northern,135,100
4,Pacific Herring,Clupea pallasii,MI,northern,135,9
4,Capelin,Mallotus villosus,MI,northern,135,1
4,Eulachon,Thaleichthys pacificus,MI,northern,135,101
4,Coho Salmon,Oncorhynchus kisutch,MI,northern,135,1
4,Pacific Pacific Hake,Merluccius productus,MI,northern,135,1
5,Pacific Herring,Clupea pallasii,JS,northern,100,3
5,Yellowtail Rockfish,Sebastes flavidus,JS,northern,100,1
5,Eulachon,Thaleichthys pacificus,JS,northern,100,2
7,Coho Salmon,Oncorhynchus kisutch,JS,northern,160,1
7,Spiny Dogfish,Squalus suckleyi,JS,northern,160,5
7,Walleye Pollock,Gadus/chalcogrammus,JS,northern,160,7
7,Eulachon,Thaleichthys pacificus,JS,northern,160,101
7,Corphaenidoes sp,Corphaenidoes sp,JS,northern,160,1
7,Sablefish,Anoplopoma fimbria,JS,northern,160,1
8,Pacific Herring,Clupea pallasii,JF,southern,60,100
8,Walleye Pollock,Gadus/chalcogrammus,JF,southern,60,103
8,Walleye Pollock,Gadus/chalcogrammus,JF,southern,60,NA
8,Sebastes sp,Sebastes sp,JF,southern,60,1
8,Eulachon,Thaleichthys pacificus,JF,southern,60,42
8,Chinook Salmon,Oncorhynchus tshawytscha,JF,southern,60,2
9,Chinook Salmon,Oncorhynchus tshawytscha,JF,southern,130,1
9,Pacific Hake,Merluccius productus,JF,southern,130,NA
9,Spiny Dogfish,Squalus suckleyi,JF,southern,130,NA
9,Pacific Pacific Hake,Merluccius productus,JF,southern,130,26
9,Pacific Herring,Clupea pallasii,JF,southern,130,100
9,Greenland Halibut,Reinhardtius hippoglossoides,JF,southern,130,4
9,Spiny Dogfish,Squalus suckleyi,JF,southern,130,NA
9,Spiny Dogfish,Squalus suckleyi,JF,southern,130,22
9,Walleye Pollock,Gadus/chalcogrammus,JF,southern,130,NA
9,Walleye Pollock,Gadus/chalcogrammus,JF,southern,130,99
9,Walleye Pollock,Gadus/chalcogrammus,JF,southern,130,NA
9,Myctophiid sp,Diaphus theta,JF,southern,130,7
9,English Sole,Parophrys vetulus,JF,southern,130,1
9,Eulachon,Thaleichthys pacificus,JF,southern,130,100
10,Chinook Salmon,Oncorhynchus tshawytscha,JF,southern,80,14
10,Lamprey,Entosphenus tridentatus,JF,southern,80,2
10,Eulachon,Thaleichthys pacificus,JF,southern,80,2
10,Spiny Dogfish,Squalus suckleyi,JF,southern,80,NA
10,Pacific Herring,Clupea pallasii,JF,southern,80,19
10,Pacific Herring,Clupea pallasii,JF,southern,80,NA
10,Pacific Pacific Hake,Merluccius productus,JF,southern,80,98
10,Pacific Herring,Clupea pallasii,JF,southern,80,NA
10,Pacific Lamprey,Entosphenus tridentatus,JF,southern,80,NA
10,Spiny Dogfish,Squalus suckleyi,JF,southern,80,8
10,Walleye Pollock,Gadus/chalcogrammus,JF,southern,80,101
11,Pacific Hake,Merluccius productus,JF,southern,200,NA
11,Walleye Pollock,Gadus/chalcogrammus,JF,southern,200,1
11,Pacific Pacific Hake,Merluccius productus,JF,southern,200,19
11,Myctophiid sp,Diaphus theta,JF,southern,200,10
11,Spiny Dogfish,Squalus suckleyi,JF,southern,200,12
11,Walleye Pollock,Gadus/chalcogrammus,JF,southern,200,NA
12,White Bait Smelt,Allosmerus elongatus,JF,southern,25,3
12,Walleye Pollock,Gadus/chalcogrammus,JF,southern,25,53
12,Northern Anchovy,Engraulis mordax,JF,southern,25,4
12,Pacific Herring,Clupea pallasii,JF,southern,25,99
12,Pacific Herring,Clupea pallasii,JF,southern,25,NA
12,Chinook Salmon,Oncorhynchus tshawytscha,JF,southern,25,10
12,Pacific Herring,Clupea pallasii,JF,southern,25,NA
12,Pink Salmon ,Oncorhynchus gorbuscha,JF,southern,25,100
12,Walleye Pollock,Gadus/chalcogrammus,JF,southern,25,NA
12,Chum Salmon ,Oncorhynchus keta,JF,southern,25,24
12,Spiny Dogfish,Squalus suckleyi,JF,southern,25,NA
12,Coho Salmon,Oncorhynchus kisutch,JF,southern,25,NA
12,Chinook Salmon,Oncorhynchus tshawytscha,JF,southern,25,NA
12,Spiny Dogfish,Squalus suckleyi,JF,southern,25,NA
12,Eulachon,Thaleichthys pacificus,JF,southern,25,69
12,Spiny Dogfish,Squalus suckleyi,JF,southern,25,100
13,Eulachon,Thaleichthys pacificus,JF,southern,127.5,6
13,Chinook Salmon,Oncorhynchus tshawytscha,JF,southern,127.5,8
13,Pacific Herring,Clupea pallasii,JF,southern,127.5,100
13,Myctophid,Diaphus theta,JF,southern,127.5,NA
13,Myctophiid sp,Diaphus theta,JF,southern,127.5,6
13,Walleye Pollock,Gadus/chalcogrammus,JF,southern,127.5,6
13,Spiny Dogfish,Squalus suckleyi,JF,southern,127.5,100
13,Walleye Pollock,Gadus/chalcogrammus,JF,southern,127.5,101
13,Pacific Pacific Hake,Merluccius productus,JF,southern,127.5,23
14,Pacific Herring,Clupea pallasii,SB,southern,55,NA
14,Pacific Herring,Clupea pallasii,SB,southern,55,NA
14,Pacific Herring,Clupea pallasii,SB,southern,55,NA
14,Pacific Herring,Clupea pallasii,SB,southern,55,101
14,Northern Anchovy,Engraulis mordax,SB,southern,55,1
14,Chinook Salmon,Oncorhynchus tshawytscha,SB,southern,55,5
14,American Shad,Alosa sapidissima,SB,southern,55,1
16,Coho Salmon,Oncorhynchus kisutch,SB,southern,20,4
