set_number,LCT,common_name,leg.x,location,date.x,size_class,number_retained_for_isotopes_and_other_analyses,fa_sample,comments,processed,individs_caught,species,kingdom,phylum,class,order,family,genus,level,area,line,net_tow,date.y,time_in_water_gmt,start_latitude_n,start_longitude_w,time_door_in,lat_door_in_deg,lat_door_in_min,long_door_in_deg,long_door_in_min,time_door_out,lat_door_out_deg,lat_door_out_min,long_door_out_deg,long_door_out_min,time_out_of_water_gmt,end_latitude_n,end_longitude_w,bottom_depth_m,depth_range_targeted_m,depth_mean,time_target_depth_start_gmt,time_target_depth_stop_gmt,average_wire_out,vessel_tow_speed_knots,codend_fullness,fraction_processed,notes,north_south,lat_door_in_dd,long_door_in_dd,lat_door_out_dd,long_door_out_dd,duration_minutes,weight_total_kg
1,Clupea pallasii,Pacific Herring,1,Johnston Strait,2018-08-01T00:00:00Z,NA,1,0,NA,Y,1,Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,species,JS,-,1,18-08-01,17:02,50 32.558 ,126 44.733,17:11,50,32.585,126,44.657,17:36,50,32.412,126,43.095,17:46,50 32.680,126 42.608,442,50,50,17:14,17:34,,3,almost 0 (very small),"Counted all, measured all (exept jellyfish )",,northern,50.543083333333335,-126.74428333333333,50.5402,-126.71825,25,0.028
10,Clupea pallasii,Pacific Herring,NA,NA,NA,NA,NA,NA,NA,NA,19,Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,species,JF,F29,10,18-08-10,16:35,48 31.212,124 34.479,16:46,48,31.277,124,34.658,17:15,48,31.578,124,37.501,17:21,48 31.661,124 37.805,150,80,80,16:50,17:12,94-123 fm,3.2-4.9,big catch,go through all samples for 20,Camera installed.,southern,48.521283333333336,-124.57763333333334,48.5263,-124.62501666666667,29,0.682
10,Clupea pallasii,Pacific Herring,2,Juan de Fuca Strait,2018-08-10T00:00:00Z,large,5,5,NA,Y,NA,Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,species,JF,F29,10,18-08-10,16:35,48 31.212,124 34.479,16:46,48,31.277,124,34.658,17:15,48,31.578,124,37.501,17:21,48 31.661,124 37.805,150,80,80,16:50,17:12,94-123 fm,3.2-4.9,big catch,go through all samples for 20,Camera installed.,southern,48.521283333333336,-124.57763333333334,48.5263,-124.62501666666667,29,0.682
10,Clupea pallasii,Pacific Herring,2,Juan de Fuca Strait,2018-08-10T00:00:00Z,small,5,0,NA,Y,NA,Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,species,JF,F29,10,18-08-10,16:35,48 31.212,124 34.479,16:46,48,31.277,124,34.658,17:15,48,31.578,124,37.501,17:21,48 31.661,124 37.805,150,80,80,16:50,17:12,94-123 fm,3.2-4.9,big catch,go through all samples for 20,Camera installed.,southern,48.521283333333336,-124.57763333333334,48.5263,-124.62501666666667,29,0.682
10,Entosphenus tridentatus,Lamprey,NA,NA,NA,NA,NA,NA,NA,NA,2,Entosphenus tridentatus,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Entosphenus,species,JF,F29,10,18-08-10,16:35,48 31.212,124 34.479,16:46,48,31.277,124,34.658,17:15,48,31.578,124,37.501,17:21,48 31.661,124 37.805,150,80,80,16:50,17:12,94-123 fm,3.2-4.9,big catch,go through all samples for 20,Camera installed.,southern,48.521283333333336,-124.57763333333334,48.5263,-124.62501666666667,29,0.057999999999999996
10,Entosphenus tridentatus,Pacific Lamprey,2,Juan de Fuca Strait,2018-08-10T00:00:00Z,NA,2,2,NA,Y,NA,Entosphenus tridentatus,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Entosphenus,species,JF,F29,10,18-08-10,16:35,48 31.212,124 34.479,16:46,48,31.277,124,34.658,17:15,48,31.578,124,37.501,17:21,48 31.661,124 37.805,150,80,80,16:50,17:12,94-123 fm,3.2-4.9,big catch,go through all samples for 20,Camera installed.,southern,48.521283333333336,-124.57763333333334,48.5263,-124.62501666666667,29,0.057999999999999996
10,Gadus/chalcogrammus,Walleye Pollock,NA,NA,NA,NA,NA,NA,NA,NA,101,Gadus/chalcogrammus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,species,JF,F29,10,18-08-10,16:35,48 31.212,124 34.479,16:46,48,31.277,124,34.658,17:15,48,31.578,124,37.501,17:21,48 31.661,124 37.805,150,80,80,16:50,17:12,94-123 fm,3.2-4.9,big catch,go through all samples for 20,Camera installed.,southern,48.521283333333336,-124.57763333333334,48.5263,-124.62501666666667,29,36.466
10,Merluccius productus,Pacific Pacific Hake,NA,NA,NA,NA,NA,NA,NA,NA,98,Merluccius productus,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,species,JF,F29,10,18-08-10,16:35,48 31.212,124 34.479,16:46,48,31.277,124,34.658,17:15,48,31.578,124,37.501,17:21,48 31.661,124 37.805,150,80,80,16:50,17:12,94-123 fm,3.2-4.9,big catch,go through all samples for 20,Camera installed.,southern,48.521283333333336,-124.57763333333334,48.5263,-124.62501666666667,29,86.866
10,Oncorhynchus tshawytscha,Chinook Salmon,2,Juan de Fuca Strait,2018-08-10T00:00:00Z,NA,14,14,"scales from individuals #27 and #28 taken from right side above lateral line; scales taken from regular spot for rest of them (on right side, 2-3 lines below lateral line, behind dorsal fin)",Y (we have 10),14,Oncorhynchus tshawytscha,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,JF,F29,10,18-08-10,16:35,48 31.212,124 34.479,16:46,48,31.277,124,34.658,17:15,48,31.578,124,37.501,17:21,48 31.661,124 37.805,150,80,80,16:50,17:12,94-123 fm,3.2-4.9,big catch,go through all samples for 20,Camera installed.,southern,48.521283333333336,-124.57763333333334,48.5263,-124.62501666666667,29,16.116
10,Squalus suckleyi,Spiny Dogfish,NA,NA,NA,NA,NA,NA,NA,NA,8,Squalus suckleyi,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,species,JF,F29,10,18-08-10,16:35,48 31.212,124 34.479,16:46,48,31.277,124,34.658,17:15,48,31.578,124,37.501,17:21,48 31.661,124 37.805,150,80,80,16:50,17:12,94-123 fm,3.2-4.9,big catch,go through all samples for 20,Camera installed.,southern,48.521283333333336,-124.57763333333334,48.5263,-124.62501666666667,29,9.54
