Date,Trawl,Sample_ID,Catch_count,Species,Length_type,Length_cm,Weight_kg,Sex,FA_Sample,Comments,Recorder,Fish Processing Personnel,,
18-08-01,1,1,1,Pacific Herring,Fork,14.4,0.028,,,,,,,
18-08-01,1,2,2,Pink Salmon,Fork,16.0,0.046,,,,,,,
18-08-01,1,3,3,Pink Salmon,Fork,17.1,0.058,,Y,,,,,
18-08-01,1,4,4,Pink Salmon,Fork,16.0,0.048,,,,,,,
18-08-01,1,5,5,Lion's Mane Jelly,Total,14.1,0.114,,,,,,,
18-08-01,1,6,6,Water Jelly,Total,5.6,,,,Bell diameter measured for jellies - most jellies too damaged for reliable bell diameter measurements,,,,
18-08-01,1,7,7,Water Jelly,Total,7.5,,,,,,,,
18-08-01,1,8,8,Water Jelly,Total,4.7,,,,,,,,
18-08-01,1,9,9,Water Jelly,Total,5.0,,,,,,,,
18-08-01,1,10,10,Water Jelly,Total,5.0,,,,,,,,
18-08-01,1,11,11,Water Jelly,Total,4.0,,,,,,,,
18-08-01,1,12,12,Water Jelly,Total,5.2,,,,,,,,
18-08-01,1,13,13,Water Jelly,Total,4.1,,,,,,,,
18-08-01,1,14,14,Water Jelly,Total,5.2,,,,,,,,
18-08-01,1,15,15,Water Jelly,Total,5.1,,,,,,,,
18-08-01,1,16,16,Water Jelly,Total,4.0,,,,,,,,
18-08-01,1,17,17,Water Jelly,Total,6.1,,,,,,,,
18-08-01,1,18,18,Water Jelly,Total,5.4,,,,,,,,
18-08-01,1,19,19,Water Jelly,Total,5.9,,,,,,,,
18-08-01,1,20,20,Water Jelly,Total,4.1,,,,,,,,
18-08-01,2,21,1,Myctophiid spp,Total,4.8,,,,,,,,
18-08-01,2,22,2,Eulachon,Fork,18.1,0.042,,,,,,,
18-08-01,2,23,3,Eulachon,Fork,8.0,,,,,,,,
18-08-01,2,24,4,Eulachon,Fork,13.6,0.014,,,,,,,
18-08-01,2,25,5,Eulachon,Fork,14.6,0.020,,,,,,,
18-08-01,2,26,6,Eulachon,Fork,14.6,0.018,,,,,,,
18-08-01,2,27,7,Eulachon,Fork,14.7,0.018,,,,,,,
18-08-01,2,28,8,Eulachon,Fork,14.6,0.016,,,,,,,
18-08-01,2,29,9,Eulachon,Fork,15.2,0.018,,,,,,,
18-08-01,2,30,10,Eulachon,Fork,14.1,0.014,,,,,,,
18-08-01,2,31,11,Eulachon,Fork,14.9,0.020,,,,,,,
18-08-01,2,32,12,Pacific Herring,Fork,14.0,0.022,,,,,,,
18-08-01,2,33,13,Pacific Herring,Fork,9.5,0.006,,,,,,,
18-08-01,2,34,14,Pacific Herring,Fork,8.0,,,,,,,,
18-08-01,2,35,15,Yellowtail Rockfish,Total,41.7,1.032,,,,,,,
