Area,Line #,Net Tow,Date,Time in Water (GMT),Start Latitude      N,Start Longitude W,Time Door IN,Lat Door IN,Long Door IN,Time Door OUT,Lat Door OUT,Long Door OUT,Time out of Water (GMT),End Latitude      N,End Longitude W,Bottom Depth (m),Depth Range Targeted (m),depth mean,Time Target Depth Start (GMT),Time Target Depth Stop (GMT),Average Wire Out,Vessel Tow Speed (knots),Codend Fullness,Fraction Processed,Notes,leg
SJF,F4,8,2018-08-08,16:25,48 17.344,123 45.230,16:37,48 17.535,123 45.101,16:55,48 17.236,123 43.965,16:59,48 17.206,123 43.833,174,60,60,16:41,16:55,120 fm,3.2-5.4,big catch (3000 lbs),3 baskets subsampled,Ben added CTD onto trawl net.,southern
SJF,F7,9,2018-08-08,21:56,48 18.950,123 45.401,22:04,48 18.961,123 45.271,22:34,48 19.449,123 46.886,22:41,48 19.389,123 47.266,172,140-120,130,22:10,22:30,210 fm,~2.4,-,-,,southern
SJF,F29,10,2018-08-10,16:35,48 31.212,124 34.479,16:46,48 31.277,124 34.658,17:15,48 31.578,124 37.501,17:21,48 31.661,124 37.805,150,80,80,16:50,17:12,94-123 fm,3.2-4.9,big catch,go through all samples for 20,Camera installed.,southern
SJF,F27,11,2018-08-10,20:20,48 28.477,124 30.917,20:29,48 28.341,124 30.823,21:04,48 28.994,124 32.067,21:09,48 28.807,124 32.219,213,200,200,20:36,20:57,275-330 fm,~2.3,1 basket,-,,southern
SJF,F21,12,2018-08-11,19:10,48 26.358,124 17.188,19:19,48 26.396,124 17.286,19:46,48 27.058,124 19.415,19:53,48 26.991,124 19.777,115,25,25,19:22,19:41,50-129 fm,3.1-4.5,~10 baskets,-,,southern
SJF,F19,13,2018-08-11,23:08,48 24.352,124 16.443,23:15,48 24.256,124 15.890,23:29,48 23.720,124 14.280,23:36,48 23.353,124 13.691,194,115-140,127.5,23:20,23:25,126-163 fm,4.5-6.1,-,-,Lots of fish larvae.,southern
SB,S2,14,2018-08-12,17:01,48 32.552,125 02.033,17:09,48 32.586,125 02.228,17:27,48 32.223,125 03.875,17:32,48 32.298,125 04.248,80,50-60,55,17:14,17:23,100 fm,3.5-4.0,1.5 baskets,-,,southern
SB,S2,15,2018-08-12,20:00,48 34.071,124 48.563,20:12,48 34.029,124 48.516,20:12,48 33.730,124 50.100,20:36,48 33.738,124 50.234,89,70,70,20:15,20:30,56-71 fm,3.2-4.2,big catch,subsample,,southern
SB,S4,16,2018-08-13,15:23,48 37.028,124 56.671,15:32,48 36.999,124 56.913,15:57,48 36.744,124 59.958,16:03,48 36.923,125 00.542,64,20,20,15:35,15:55,43 fm,3.9-5.7,1/4 basket,-,,southern
JS,-,1,2018-08-01,17:02,50 32.558 ,126 44.733,17:11,50 32.585,126 44.657,17:36,50 32.412,126 43.095,17:46,50 32.680,126 42.608,442,50,50,17:14,17:34,,3,almost 0 (very small),"Counted all, measured all (exept jellyfish )",,northern
JS,-,2,2018-08-02,0:14,50 29.629,126 29.957,0:22,50 29.627,126 30.214,0:57,50 29.883,126 32.521,1:11,50 30.088,126 33.240,382,120,120,0:28,0:52,,2.7-3.3,-,-,,northern
MI,M1,3,2018-08-02,15:30,50 41.229,126 52.860,15:39,50 41.253,126 52.961,15:53,50 41.965,126 53.297,16:01,50 42.246,126 53.192,193,100-120,110,15:43,15:50,,3.7-3.9,2 baskets full,-,,northern
MI,M2,4,2018-08-02,17:23,50 41.023,126 56.259,17:33,50 40.967,126 56.403,18:04,50 41.741,126 58.626,18:10,50 41.748,126 58.931,165,130-140,135,17:40,18:00,,~3.2,4 baskets,-,,northern
JS,-,5,2018-08-03,16:07,50 32.130,126 40.264,16:16,50 32.202,126 40.396,16:48,50 31.462,126 38.241,17:05,50 30.993,126 37.756,408,100,100,16:22,16:43,,3,almost 0,-,,northern
JS,-,6,2018-08-04,17:39,50 30.275,126 22.190,17:47,50 30.323,126 22.029,18:24,50 30.060,126 19.101,18:30,50 29.987,126 18.877,383,200,200,17:54,18:14,,~3.4,2 baskets,-,,northern
JS,J24,7,2018-08-04,21:45,50 29.342,126 15.979,21:55,50 29.250,126 16.147,22:30,50 29.230,126 19.043,22:37,50 29.177,126 19.534,371,160,160,22:03,22:23,,~3.5,-,-,,northern
