"","psi","p11","p10","PoO.0","PoO.1","PoO.2","PoO.3"
"ASV1",0.924802276693181,0.828406493050068,0.0626531275006483,0.070154650924668,0.84494599660919,0.997465736353275,0.999964824659757
"ASV2",0.731795903687162,0.700028484845859,0.0644332889462487,0.0825161164956808,0.752932529614914,0.990408780416487,0.999714283650041
"ASV3",0.935608205383919,0.872073721206455,0.0568032585360021,0.0349840752826499,0.804057474956039,0.997851748347187,0.999980980968512
"ASV4",0.595046713189194,0.749789906283292,0.0592183158023114,0.0268999542319859,0.568224304954696,0.984289369500989,0.999664835764958
"ASV5",0.687371907199745,0.687874461935598,0.0590321167055289,0.0742855480482247,0.738150698170029,0.99000284327396,0.999712625049967
"ASV6",0.157471790936233,0.689123384502408,0.0383437550006461,0.00627464678059155,0.259829665916091,0.951257597600862,0.999079180402403
"ASV7",0.40682381447106,0.792657825844152,0.0601617527463378,0.00731037646676281,0.305459957837836,0.963323781987792,0.999362904188045
"ASV8",0.231844623161518,0.86929249867369,0.0574565262493848,0.000804258933003525,0.0807267359901996,0.905488879385177,0.999044221934778
"ASV9",0.545260346494136,0.353077593058032,0.0612637676833884,0.281833246869516,0.76645857850402,0.964845950004081,0.99566217970344
"ASV10",0.198507435458888,0.690332027121784,0.0149104313737093,0.00763502426733225,0.531209044702281,0.994043762259531,0.999959318064388
"ASV11",0.123422641604328,0.682129420484682,0.0153801076897472,0.00471516786170602,0.394248443996435,0.988939655212523,0.999918597481285
"ASV12",0.185786440261644,0.821507212220957,0.0245943794378899,0.00139628835220453,0.203329639966302,0.978985733378831,0.999882416410599
"ASV13",0.18465904084422,0.660462488962624,0.0364890799944317,0.0098138971258801,0.33734088204351,0.963164420257324,0.999255971268228
"ASV14",0.172066582308361,0.729958355301844,0.0583133235171994,0.00487697859509618,0.176232065040502,0.903275958820566,0.99755294367757
"ASV15",0.336271976783301,0.65580430249579,0.0392665954963443,0.0227670244431543,0.520629016969623,0.980631291952757,0.999576491167801
"ASV16",0.332496590660878,0.15666686948047,0.0259690785441431,0.244316543938985,0.692564969556366,0.940107020468977,0.990939512596194
"ASV17",0.09872953575417,0.792664976033718,0.0292189951658624,0.00106606314021667,0.119374219887174,0.945110360157216,0.999542978807921
"ASV18",0.135597292026285,0.633698994498449,0.0432037106640949,0.0087253883626262,0.252188927604893,0.928163214914609,0.997983943268312
"ASV19",0.328423102759633,0.233433209234148,0.0517340342575058,0.205304405712577,0.590498844750915,0.889487937394847,0.978225796575709
"ASV20",0.348494965957783,0.193125817535758,0.0557910372267213,0.250264786049379,0.574859950790444,0.845615197664004,0.956873131197279
"ASV21",0.215690522797831,0.548883560501136,0.0483952850316493,0.0284641765993205,0.412092053221151,0.943725006791749,0.997513755824528
"ASV22",0.16720571520535,0.34421705180605,0.0155939759564275,0.0560310380025001,0.662936711682599,0.984887498900445,0.999537130047807
"ASV23",0.208105095828279,0.393030135015369,0.0286371134625644,0.0602535619035207,0.584762543286829,0.968682475053295,0.998530206880852
