"","psi","p11","p10","PoO.0","PoO.1","PoO.2"
"ASV1",0.94450369227642,0.923704622751501,0.0520216369987492,0.0992938392575059,0.960507704335622,0.999813670638958
"ASV2",0.912443655886489,0.762181392238317,0.0528033480560577,0.396480096207117,0.974205357242553,0.999539650339401
"ASV3",0.79152080660477,0.905117309788104,0.0518319077037758,0.0366266787641721,0.869015849056698,0.999137001439692
"ASV4",0.593397918687694,0.657614839803816,0.052594085792578,0.160090821028474,0.868327890526176,0.995636299737827
"ASV5",0.405547403146715,0.277735560698664,0.0569796452680353,0.285815204535231,0.718063389504647,0.94188982132543
"ASV6",0.307289188605112,0.706237423551054,0.0469561377987036,0.0404420965099255,0.672832726838668,0.990133081547156
"ASV7",0.368846325219208,0.653884610537101,0.0506423508839444,0.0720781850910632,0.733403556413412,0.989840314234718
"ASV8",0.492699784434597,0.780749976947999,0.0507877006221415,0.0492640188009616,0.77521187233923,0.995662017892546
"ASV9",0.423505829284449,0.521188801085147,0.0535674064034397,0.15826628790165,0.783364218142904,0.98582424782811
"ASV10",0.363491503669899,0.268522884262796,0.0540401017040113,0.25454629152317,0.686936037356764,0.933775010660845
"ASV11",0.50876840472379,0.297781642255347,0.0593729395184676,0.365974051442086,0.794994240819447,0.963035099960274
"ASV12",0.352124111965649,0.559694994652223,0.0513856561806141,0.104819575107059,0.733173319544175,0.984728090333273
"ASV13",0.449513135723313,0.596462475590543,0.0525559558162068,0.129021884393833,0.797864656383081,0.990581700471749
"ASV14",0.374975558066473,0.647307967959459,0.0505575821867884,0.0764569775835454,0.740486696015415,0.989934136688269
"ASV15",0.591323993956507,0.660030689328195,0.0534623671365301,0.157298257420162,0.865156359566495,0.995486048112178
"ASV16",0.326065898576222,0.262325049013513,0.0488064498480192,0.225401531170274,0.66851467182674,0.933230820910766
"ASV17",0.337946031540734,0.255278961388638,0.0494706327076166,0.238580155236291,0.673598821710115,0.931470137630829
"ASV18",0.319238482689877,0.243809528745925,0.0414228741961097,0.22590376692675,0.685275585321742,0.942014870954774
"ASV19",0.360524559582234,0.268553053406173,0.0545106990806556,0.252288506938975,0.682413482045186,0.931897876910005
"ASV20",0.460901835898927,0.284851522312673,0.0586160039137415,0.330387166377829,0.759398889453214,0.9528088539451
"ASV21",0.321893689071303,0.240488630385487,0.0416308121936743,0.229665963380573,0.684858761242701,0.94061999881849
"ASV23",0.316545625996247,0.24604437627398,0.0414910583707815,0.222737658057197,0.683584937705268,0.942153508863247
"ASV24",0.308615300901622,0.246880514359949,0.0410000745259089,0.215863799147681,0.678538319710649,0.941808370202034
"ASV25",0.323960980970471,0.258859510183631,0.0492814438730638,0.225537384724635,0.66241664598869,0.929684172538834
"ASV26",0.361511522699653,0.266355164221084,0.0542604079059551,0.254132126391447,0.683149541804638,0.931710230130552
"ASV27",0.350217554391732,0.563780672564809,0.0511192747244081,0.102260271069536,0.732095945589009,0.984975347899488
"ASV28",0.234172680681635,0.500447556808207,0.041062737047028,0.0766241498777765,0.660021662757364,0.978456571338464
"ASV29",0.631626035916662,0.579925033498614,0.0541931213853245,0.252747617652289,0.890702651634188,0.994932808985042
"ASV30",0.312951586939327,0.244581267614385,0.0411000545891536,0.220391679722982,0.681064342412119,0.941625040007738
"ASV31",0.342039386597492,0.252002133919645,0.0490129424385189,0.243346359246207,0.677658877026879,0.932168515332198
"ASV32",0.431063080809455,0.51340839790804,0.0530174970501099,0.166696098730868,0.790357066928106,0.986120753393045
"ASV33",0.337953475527395,0.251870549788505,0.0491918850498419,0.240142196181307,0.672832194767739,0.930470910355012
"ASV34",0.418141819245002,0.404842446789208,0.0554059586301475,0.221962848997153,0.767897229087712,0.97459845550173
"ASV36",0.336637036851007,0.25394558841317,0.0488958016507822,0.237947178135403,0.673989822778177,0.931918508928342
"ASV37",0.288207752076666,0.459618232330084,0.0486882260984547,0.115552676160878,0.684663790071001,0.973033245461705
"ASV39",0.303622619732996,0.250132216661464,0.0410774798618744,0.210496883564235,0.674917190182963,0.941747656712812
"ASV40",0.309965051261194,0.248000435442809,0.0413112264279869,0.21654009095452,0.679000603686035,0.941822038966838
"ASV42",0.314758199320857,0.245636490093322,0.041170460654161,0.221379567802185,0.68315860614932,0.942366834332311
"ASV43",0.307473484678341,0.250796488813005,0.0412285118542145,0.213284137696618,0.678505462382638,0.942625323032689
"ASV45",0.282097355100436,0.462769004513927,0.0481231845111636,0.111244007922423,0.680783493849772,0.97321716830556
"ASV46",0.311279189263709,0.248813713587281,0.0415668081626016,0.217305521527845,0.67952953248603,0.941841188080852
"ASV47",0.696277667833015,0.561170797534841,0.0540348641933428,0.33036022944974,0.916974740129103,0.995971908270897
"ASV48",0.319068590623449,0.241836003034672,0.0411153552539806,0.226567127859232,0.685454119482432,0.941898215793872
"ASV49",0.318014646066264,0.246316709007263,0.041225386182367,0.223692161726004,0.686534974813252,0.943332452172214
"ASV52",0.403979688133126,0.278468916856351,0.0576944543709684,0.284383975989881,0.714691742164758,0.940440951256521
"ASV53",0.314584146833924,0.2455050096263,0.0415004756315344,0.221419207110699,0.681249054600134,0.941389923431736
"ASV54",0.311316504039057,0.249734740937328,0.0411539230146926,0.216771754592804,0.682179187421801,0.943330920473197
"ASV55",0.227690964171053,0.676843609020412,0.039695604524934,0.0323072384981556,0.628477398530991,0.988467698787329
"ASV57",0.558676200207817,0.383979217969747,0.0565014304407068,0.350501148129203,0.848874346230369,0.983183515442487
"ASV58",0.337333606259579,0.254997729461616,0.0492348624926512,0.238130049615403,0.67383317075894,0.931763921612418
"ASV59",0.313131979229109,0.245660018912798,0.0413737308587908,0.220142929608999,0.680512243143974,0.941425036606136
"ASV60",0.332598968530502,0.258065941639567,0.0491976324249896,0.232804009409179,0.671035044568061,0.932029180263636
"ASV61",0.324953057858853,0.264106253353382,0.0487735385074449,0.223665067734983,0.668497134261804,0.933839789033304
"ASV62",0.306747902854439,0.246809087281316,0.0412007446376431,0.214486060906865,0.675557143595783,0.940752143233252
"ASV63",0.309705322363778,0.246655700665138,0.0411825227456622,0.216894894186249,0.678590928190939,0.941500774405431
"ASV64",0.287657225918574,0.461033189937391,0.0481338013789681,0.114626496619549,0.686525478567962,0.973716558467414
"ASV67",0.319181755555606,0.24514971657932,0.0413542734799145,0.225213444710749,0.686360017456347,0.942775822055764
"ASV68",0.312288550315828,0.248922183395134,0.041047636864909,0.217872793818298,0.683225149721082,0.943500887958815
"ASV72",0.40860935057901,0.274247929213059,0.0573663314377862,0.29056207130171,0.717762226899469,0.940443869351614
"ASV73",0.313426564020702,0.249142037978565,0.0411720797328167,0.218720492692398,0.683871140090133,0.943554445386495
"ASV74",0.314453435812576,0.248358325860406,0.0414315474777377,0.219986860981385,0.683146168712011,0.942798879794305
"ASV76",0.315595114150927,0.247003207586804,0.04094219164626,0.221340718678463,0.685951663687994,0.943767812401312
"ASV80",0.31627493528315,0.245141972437135,0.0410307569254132,0.222768933269173,0.685085452152611,0.942896285953596
"ASV82",0.311843433830216,0.247685939359246,0.0413999179807638,0.218205381208544,0.680277514284337,0.941928272967142
