#Query ID	#Subject	#Subject accession	#Subject Taxonomy ID	#Identity percentage	#Coverage	#evalue	#bitscore	#Source	#Taxonomy
ASV1	Clupea pallasii CBM:ZF:20436 mitochondrial gene for 12S rRNA, partial sequence	LC552350	30724	100.000	100	8.90e-83	318	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea pallasii
ASV1	Clupea pallasii mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:151385	LC091582	30724	100.000	100	8.90e-83	318	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea pallasii
ASV1	Clupea pallasii mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:112517	LC091581	30724	100.000	100	8.90e-83	318	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea pallasii
ASV1	Clupea pallasii mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:049684	LC091580	30724	100.000	100	8.90e-83	318	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea pallasii
ASV1	Clupea pallasii mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: HUMZ:192191	LC020932	30724	100.000	100	8.90e-83	318	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea pallasii
ASV1	Clupea pallasii mitochondrial DNA, complete genome	AP009134	30724	100.000	100	8.90e-83	318	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea pallasii
ASV1	Clupea harengus mitochondrion, complete genome	MN122931	7950	99.419	100	4.14e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea harengus
ASV1	Clupea harengus isolate SF77 12S ribosomal RNA gene, partial sequence; mitochondrial	MH194498	7950	99.419	100	4.14e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea harengus
ASV1	Clupea pallasii mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:048004	LC091579	30724	99.419	100	4.14e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea pallasii
ASV1	Sprattus sprattus isolate SEA0267 small subunit ribosomal RNA gene, partial sequence; mitochondrial	MW818344	196075	99.419	100	4.14e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Sprattus / Sprattus sprattus
ASV2	Gadus chalcogrammus voucher UW152907 mitochondrion, complete genome	MH035604	1042646	100.000	100	1.13e-81	315	Genbank	Eukaryota / Chordata / Actinopteri / Gadiformes / Gadidae / Gadus / Gadus chalcogrammus
ASV2	Gadus chalcogrammus voucher UW152898 mitochondrion, complete genome	MH035602	1042646	100.000	100	1.13e-81	315	Genbank	Eukaryota / Chordata / Actinopteri / Gadiformes / Gadidae / Gadus / Gadus chalcogrammus
ASV2	Gadus chalcogrammus voucher UW151990_5 mitochondrion, complete genome	MH035600	1042646	100.000	100	1.13e-81	315	Genbank	Eukaryota / Chordata / Actinopteri / Gadiformes / Gadidae / Gadus / Gadus chalcogrammus
ASV2	Gadus chalcogrammus voucher UW151990_4 mitochondrion, complete genome	MH035599	1042646	100.000	100	1.13e-81	315	Genbank	Eukaryota / Chordata / Actinopteri / Gadiformes / Gadidae / Gadus / Gadus chalcogrammus
ASV2	Gadus chalcogrammus voucher UW151990_2 mitochondrion, complete genome	MH035597	1042646	100.000	100	1.13e-81	315	Genbank	Eukaryota / Chordata / Actinopteri / Gadiformes / Gadidae / Gadus / Gadus chalcogrammus
ASV2	Gadus chalcogrammus voucher UW151990_1 mitochondrion, complete genome	MH035596	1042646	100.000	100	1.13e-81	315	Genbank	Eukaryota / Chordata / Actinopteri / Gadiformes / Gadidae / Gadus / Gadus chalcogrammus
ASV2	Gadus chalcogrammus voucher UW151985_3 mitochondrion, complete genome	MH035593	1042646	100.000	100	1.13e-81	315	Genbank	Eukaryota / Chordata / Actinopteri / Gadiformes / Gadidae / Gadus / Gadus chalcogrammus
ASV2	Gadus chalcogrammus voucher UW151985_2 mitochondrion, complete genome	MH035592	1042646	100.000	100	1.13e-81	315	Genbank	Eukaryota / Chordata / Actinopteri / Gadiformes / Gadidae / Gadus / Gadus chalcogrammus
ASV2	Gadus chalcogrammus voucher UW151985_1 mitochondrion, complete genome	MH035591	1042646	100.000	100	1.13e-81	315	Genbank	Eukaryota / Chordata / Actinopteri / Gadiformes / Gadidae / Gadus / Gadus chalcogrammus
ASV2	Gadus chalcogrammus voucher UW151042 mitochondrion, complete genome	MH035590	1042646	100.000	100	1.13e-81	315	Genbank	Eukaryota / Chordata / Actinopteri / Gadiformes / Gadidae / Gadus / Gadus chalcogrammus
ASV3	Merluccius productus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:152923	LC091818	89952	100.000	100	1.13e-81	315	Genbank	Eukaryota / Chordata / Actinopteri / Gadiformes / Merlucciidae / Merluccius / Merluccius productus
ASV3	Merluccius productus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:150138	LC091817	89952	100.000	100	1.13e-81	315	Genbank	Eukaryota / Chordata / Actinopteri / Gadiformes / Merlucciidae / Merluccius / Merluccius productus
ASV3	Merluccius productus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:047718	LC091816	89952	100.000	100	1.13e-81	315	Genbank	Eukaryota / Chordata / Actinopteri / Gadiformes / Merlucciidae / Merluccius / Merluccius productus
