#Query ID	#Subject	#Subject accession	#Subject Taxonomy ID	#Identity percentage	#Coverage	#evalue	#bitscore	#Source	#Taxonomy
ASV1	Clupea pallasii CBM:ZF:20436 mitochondrial gene for 12S rRNA, partial sequence	LC552350	30724	100.000	100	8.90e-83	318	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea pallasii
ASV1	Clupea pallasii mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:151385	LC091582	30724	100.000	100	8.90e-83	318	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea pallasii
ASV1	Clupea pallasii mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:112517	LC091581	30724	100.000	100	8.90e-83	318	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea pallasii
ASV1	Clupea pallasii mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:049684	LC091580	30724	100.000	100	8.90e-83	318	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea pallasii
ASV1	Clupea pallasii mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: HUMZ:192191	LC020932	30724	100.000	100	8.90e-83	318	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea pallasii
ASV1	Clupea pallasii mitochondrial DNA, complete genome	AP009134	30724	100.000	100	8.90e-83	318	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea pallasii
ASV1	Clupea harengus mitochondrion, complete genome	MN122931	7950	99.419	100	4.14e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea harengus
ASV1	Clupea harengus isolate SF77 12S ribosomal RNA gene, partial sequence; mitochondrial	MH194498	7950	99.419	100	4.14e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea harengus
ASV1	Clupea pallasii mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:048004	LC091579	30724	99.419	100	4.14e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea pallasii
ASV1	Sprattus sprattus isolate SEA0267 small subunit ribosomal RNA gene, partial sequence; mitochondrial	MW818344	196075	99.419	100	4.14e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Sprattus / Sprattus sprattus
ASV2	Squalus suckleyi mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:047291	LC091559	7798	100.000	100	9.42e-88	335	Genbank	Eukaryota / Chordata / Chondrichthyes / Squaliformes / Squalidae / Squalus / Squalus suckleyi
ASV2	Squalus acanthia complete mitochondrial genome	Y18134	7797	100.000	100	9.42e-88	335	Genbank	Eukaryota / Chordata / Chondrichthyes / Squaliformes / Squalidae / Squalus / Squalus acanthias
ASV2	Squalus acanthias isolate RF52 12S small subunit ribosomal RNA gene, partial sequence; mitochondrial	MH377805	7797	100.000	98	1.58e-85	327	Genbank	Eukaryota / Chordata / Chondrichthyes / Squaliformes / Squalidae / Squalus / Squalus acanthias
ASV2	Squalus mitsukurii mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: CBM:ZF:16988	LC277707	134996	97.238	100	2.05e-79	307	Genbank	Eukaryota / Chordata / Chondrichthyes / Squaliformes / Squalidae / Squalus / Squalus mitsukurii
ASV2	Squalus japonicus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: CBM:ZF:16601	LC193288	42864	97.238	100	2.05e-79	307	Genbank	Eukaryota / Chordata / Chondrichthyes / Squaliformes / Squalidae / Squalus / Squalus japonicus
ASV2	Squalus japonicus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: OCF(Okinawa Churashima Foundation)-P20030410-16	AB974457	42864	97.238	100	2.05e-79	307	Genbank	Eukaryota / Chordata / Chondrichthyes / Squaliformes / Squalidae / Squalus / Squalus japonicus
ASV2	Squalus mitsukurii Kuroshio Biological Research Foundation, Ichthyology, Kochi, Japan 1333 mitochondrial genes for 12S rRNA, tRNA-Val, 16S rRNA, partial and complete sequence	LC635111	134996	97.238	100	2.05e-79	307	Genbank	Eukaryota / Chordata / Chondrichthyes / Squaliformes / Squalidae / Squalus / Squalus mitsukurii
ASV2	Squalus formosus Kuroshio Biological Research Foundation, Ichthyology, Kochi, Japan 1172 mitochondrial genes for 12S rRNA, tRNA-Val, 16S rRNA, partial and complete sequence	LC635110	1443580	97.238	100	2.05e-79	307	Genbank	Eukaryota / Chordata / Chondrichthyes / Squaliformes / Squalidae / Squalus / Squalus formosus
ASV2	Squalus sp. 'nagasaki-tsuno-zame' NSMT:P:72728 mitochondrial gene for 12S rRNA, partial sequence	LC578888	2768206	97.238	100	2.05e-79	307	Genbank	Eukaryota / Chordata / Chondrichthyes / Squaliformes / Squalidae / Squalus / Squalus sp. 'nagasaki-tsuno-zame'
ASV2	Squalus megalops isolate s05 tRNA-Phe gene, partial sequence; 12S ribosomal RNA and tRNA-Val genes, complete sequence; and 16S ribosomal RNA gene, partial sequence; mitochondrial	GU130625	335062	97.238	100	2.05e-79	307	Genbank	Eukaryota / Chordata / Chondrichthyes / Squaliformes / Squalidae / Squalus / Squalus megalops
ASV3	Homo sapiens isolate PNG99 haplogroup Q1a mitochondrion, complete genome	MN849868	9606	100.000	100	3.18e-82	316	Genbank	Eukaryota / Chordata / Mammalia / Primates / Hominidae / Homo / Homo sapiens
